Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue
SRR6188338,RNA-Seq,180,5134655700,PRJNA414787,SAMN07810251,4002061302,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298354,GSM2819767,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819767,Liver,SRP120360,adjacent non-tumour
SRR6188339,RNA-Seq,180,5021158500,PRJNA414787,SAMN07810250,3879705431,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298355,GSM2819768,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819768,Liver,SRP120360,tumor
SRR6188340,RNA-Seq,180,5051783340,PRJNA414787,SAMN07810249,3893316926,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298356,GSM2819769,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819769,Liver,SRP120360,adjacent non-tumour
SRR6188341,RNA-Seq,180,5061688200,PRJNA414787,SAMN07810248,3910211425,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298357,GSM2819770,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819770,Liver,SRP120360,tumor
SRR6188342,RNA-Seq,180,5084481420,PRJNA414787,SAMN07810247,3992226084,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298358,GSM2819771,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819771,Liver,SRP120360,adjacent non-tumour
SRR6188343,RNA-Seq,180,5037222960,PRJNA414787,SAMN07810246,3966295929,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298359,GSM2819772,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819772,Liver,SRP120360,tumor
SRR6188344,RNA-Seq,180,5088436740,PRJNA414787,SAMN07810245,4010877024,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298360,GSM2819773,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819773,Liver,SRP120360,adjacent non-tumour
SRR6188345,RNA-Seq,180,5066879940,PRJNA414787,SAMN07810244,3921167226,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298361,GSM2819774,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819774,Liver,SRP120360,tumor
SRR6188346,RNA-Seq,180,5089493340,PRJNA414787,SAMN07810243,3937578565,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298362,GSM2819775,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819775,Liver,SRP120360,adjacent non-tumour
SRR6188347,RNA-Seq,180,5043500100,PRJNA414787,SAMN07810235,3917469437,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298363,GSM2819776,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819776,Liver,SRP120360,tumor
SRR6188348,RNA-Seq,180,5142292200,PRJNA414787,SAMN07810242,4014882960,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298364,GSM2819777,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819777,Liver,SRP120360,adjacent non-tumour
SRR6188349,RNA-Seq,180,5112538380,PRJNA414787,SAMN07810241,3995681542,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298365,GSM2819778,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819778,Liver,SRP120360,tumor
SRR6188350,RNA-Seq,180,5030931600,PRJNA414787,SAMN07810240,3967493534,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298366,GSM2819779,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819779,Liver,SRP120360,adjacent non-tumour
SRR6188351,RNA-Seq,180,5031892440,PRJNA414787,SAMN07810239,3977451126,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298367,GSM2819780,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819780,Liver,SRP120360,tumor
SRR6188352,RNA-Seq,180,5102175240,PRJNA414787,SAMN07810238,4034247817,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298368,GSM2819781,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819781,Liver,SRP120360,adjacent non-tumour
SRR6188353,RNA-Seq,180,5045097600,PRJNA414787,SAMN07810237,4000320132,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298369,GSM2819782,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819782,Liver,SRP120360,tumor
SRR6188354,RNA-Seq,180,5048097120,PRJNA414787,SAMN07810236,3980936022,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298370,GSM2819783,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819783,Liver,SRP120360,adjacent non-tumour
SRR6188355,RNA-Seq,180,5202670140,PRJNA414787,SAMN07810234,4096921914,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298371,GSM2819784,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819784,Liver,SRP120360,tumor
SRR6188356,RNA-Seq,180,5072680080,PRJNA414787,SAMN07810331,4015969896,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298372,GSM2819785,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819785,Liver,SRP120360,adjacent non-tumour
SRR6188357,RNA-Seq,180,5029070580,PRJNA414787,SAMN07810330,3957676873,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298373,GSM2819786,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819786,Liver,SRP120360,tumor
SRR6188358,RNA-Seq,180,5170730400,PRJNA414787,SAMN07810329,4063404595,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298374,GSM2819787,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819787,Liver,SRP120360,adjacent non-tumour
SRR6188359,RNA-Seq,180,5054392440,PRJNA414787,SAMN07810328,3946969788,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298375,GSM2819788,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819788,Liver,SRP120360,tumor
SRR6188360,RNA-Seq,180,5178647700,PRJNA414787,SAMN07810327,3994714120,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298376,GSM2819789,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819789,Liver,SRP120360,adjacent non-tumour
SRR6188361,RNA-Seq,180,5114133000,PRJNA414787,SAMN07810326,3971293333,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298377,GSM2819790,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819790,Liver,SRP120360,tumor
SRR6188362,RNA-Seq,180,2582962200,PRJNA414787,SAMN07810325,1794891459,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298378,GSM2819791,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819791,Liver,SRP120360,adjacent non-tumour
SRR6188363,RNA-Seq,180,2567532240,PRJNA414787,SAMN07810700,1797376640,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298379,GSM2819792,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819792,Liver,SRP120360,adjacent non-tumour
SRR6188364,RNA-Seq,180,5095650780,PRJNA414787,SAMN07810624,3945182317,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298380,GSM2819793,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819793,Liver,SRP120360,tumor
SRR6188365,RNA-Seq,180,5136740460,PRJNA414787,SAMN07810623,3999225351,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298381,GSM2819794,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819794,Liver,SRP120360,adjacent non-tumour
SRR6188366,RNA-Seq,180,5071806180,PRJNA414787,SAMN07810622,3948688384,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298382,GSM2819795,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819795,Liver,SRP120360,tumor
SRR6188367,RNA-Seq,180,5035640220,PRJNA414787,SAMN07810621,3999387704,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298383,GSM2819796,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819796,Liver,SRP120360,adjacent non-tumour
SRR6188368,RNA-Seq,180,5195477160,PRJNA414787,SAMN07810620,4155865315,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298384,GSM2819797,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819797,Liver,SRP120360,tumor
SRR6188369,RNA-Seq,180,5055730020,PRJNA414787,SAMN07810619,3983479650,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298385,GSM2819798,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819798,Liver,SRP120360,adjacent non-tumour
SRR6188370,RNA-Seq,180,5077189440,PRJNA414787,SAMN07810618,3988235482,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298386,GSM2819799,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819799,Liver,SRP120360,tumor
SRR6188371,RNA-Seq,180,5039092800,PRJNA414787,SAMN07810718,3991708004,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298387,GSM2819800,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819800,Liver,SRP120360,adjacent non-tumour
SRR6188372,RNA-Seq,180,5083656480,PRJNA414787,SAMN07810717,3962252716,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298388,GSM2819801,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819801,Liver,SRP120360,tumor
SRR6188373,RNA-Seq,180,5135611860,PRJNA414787,SAMN07810716,3997998383,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298389,GSM2819802,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819802,Liver,SRP120360,adjacent non-tumour
SRR6188374,RNA-Seq,180,5047395480,PRJNA414787,SAMN07810715,3983193892,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298390,GSM2819803,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819803,Liver,SRP120360,tumor
SRR6188375,RNA-Seq,180,5027891400,PRJNA414787,SAMN07810714,3973757516,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298391,GSM2819804,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819804,Liver,SRP120360,adjacent non-tumour
SRR6188376,RNA-Seq,180,5052348180,PRJNA414787,SAMN07810713,3987416293,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298392,GSM2819805,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819805,Liver,SRP120360,tumor
SRR6188377,RNA-Seq,180,5099708700,PRJNA414787,SAMN07810712,3969099446,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298393,GSM2819806,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819806,Liver,SRP120360,adjacent non-tumour
SRR6188378,RNA-Seq,180,5111343720,PRJNA414787,SAMN07810711,4019039219,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298394,GSM2819807,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819807,Liver,SRP120360,tumor
SRR6188379,RNA-Seq,180,5095192140,PRJNA414787,SAMN07810710,4022337630,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298395,GSM2819808,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819808,Liver,SRP120360,adjacent non-tumour
SRR6188380,RNA-Seq,180,5092896780,PRJNA414787,SAMN07810709,4046506200,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298396,GSM2819809,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819809,Liver,SRP120360,tumor
SRR6188381,RNA-Seq,180,5005396440,PRJNA414787,SAMN07810708,3879265212,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298397,GSM2819810,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819810,Liver,SRP120360,adjacent non-tumour
SRR6188382,RNA-Seq,180,5036417460,PRJNA414787,SAMN07810707,3992660118,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298398,GSM2819811,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819811,Liver,SRP120360,tumor
SRR6188383,RNA-Seq,180,5126023440,PRJNA414787,SAMN07810706,4023943420,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298399,GSM2819812,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819812,Liver,SRP120360,adjacent non-tumour
SRR6188384,RNA-Seq,180,5194738440,PRJNA414787,SAMN07810705,4048404992,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298400,GSM2819813,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819813,Liver,SRP120360,tumor
SRR6188385,RNA-Seq,180,5018661900,PRJNA414787,SAMN07810704,3888719441,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298401,GSM2819814,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819814,Liver,SRP120360,adjacent non-tumour
SRR6188386,RNA-Seq,180,5113548180,PRJNA414787,SAMN07810703,4023574232,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298402,GSM2819815,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819815,Liver,SRP120360,tumor
SRR6188387,RNA-Seq,180,2499988320,PRJNA414787,SAMN07810702,1945009521,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298403,GSM2819816,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819816,Liver,SRP120360,adjacent non-tumour
SRR6188388,RNA-Seq,180,2724730920,PRJNA414787,SAMN07810699,2127075505,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298404,GSM2819817,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819817,Liver,SRP120360,adjacent non-tumour
SRR6188389,RNA-Seq,180,5125913640,PRJNA414787,SAMN07810701,4009977985,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298405,GSM2819818,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,GSM2819818,Liver,SRP120360,tumor
