Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,fraction,GEO_Accession (exp),Group,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR6292235,RNA-Seq,51,646052037,PRJNA418402,SAMN08026840,458930006,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393346,Total RNA,GSM2857267,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857267,Lung tumor tissue_LU2756A,SRP125001,Lung tissue
SRR6292236,RNA-Seq,51,1069438074,PRJNA418402,SAMN08026839,760789712,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393347,"Heavy, Polyribosomal-bound RNA",GSM2857268,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857268,Lung tumor tissue_LU2756A,SRP125001,Lung tissue
SRR6292237,RNA-Seq,51,1088331993,PRJNA418402,SAMN08026838,772895104,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393348,Total RNA,GSM2857269,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857269,Tissue adjacent to lung tumor_LU2756B,SRP125001,Lung tissue
SRR6292238,RNA-Seq,51,1205477412,PRJNA418402,SAMN08026837,857485566,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393349,"Heavy, Polyribosomal-bound RNA",GSM2857270,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857270,Tissue adjacent to lung tumor_LU2756B,SRP125001,Lung tissue
SRR6292239,RNA-Seq,51,1075653801,PRJNA418402,SAMN08026836,790677415,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393350,Total RNA,GSM2857271,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857271,Emphysematous lung from non-cancer lungs_276977,SRP125001,Lung tissue
SRR6292240,RNA-Seq,51,1305237543,PRJNA418402,SAMN08026835,921507618,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393351,"Heavy, Polyribosomal-bound RNA",GSM2857272,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857272,Emphysematous lung from non-cancer lungs_276977,SRP125001,Lung tissue
SRR6292241,RNA-Seq,51,1091156169,PRJNA418402,SAMN08026834,773133189,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393352,Total RNA,GSM2857273,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857273,Emphysematous lung from non-cancer lungs_295167,SRP125001,Lung tissue
SRR6292242,RNA-Seq,51,1328250528,PRJNA418402,SAMN08026833,933587348,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393353,"Heavy, Polyribosomal-bound RNA",GSM2857274,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857274,Emphysematous lung from non-cancer lungs_295167,SRP125001,Lung tissue
SRR6292243,RNA-Seq,51,824120322,PRJNA418402,SAMN08026832,586136377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393354,Total RNA,GSM2857275,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857275,Lung tumor tissue_LU2465A,SRP125001,Lung tissue
SRR6292244,RNA-Seq,51,770646720,PRJNA418402,SAMN08026831,546683602,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393355,"Heavy, Polyribosomal-bound RNA",GSM2857276,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857276,Lung tumor tissue_LU2465A,SRP125001,Lung tissue
SRR6292245,RNA-Seq,51,1252771752,PRJNA418402,SAMN08026830,885677247,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393356,Total RNA,GSM2857277,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857277,Tissue adjacent to lung tumor_LU2465B,SRP125001,Lung tissue
SRR6292246,RNA-Seq,51,1003363698,PRJNA418402,SAMN08026829,711755671,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393357,"Heavy, Polyribosomal-bound RNA",GSM2857278,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857278,Tissue adjacent to lung tumor_LU2465B,SRP125001,Lung tissue
SRR6292247,RNA-Seq,51,996144903,PRJNA418402,SAMN08026828,737012055,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393358,Total RNA,GSM2857279,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857279,Emphysematous lung from non-cancer lungs_291578,SRP125001,Lung tissue
SRR6292248,RNA-Seq,51,932649240,PRJNA418402,SAMN08026827,663120843,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393359,"Heavy, Polyribosomal-bound RNA",GSM2857280,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857280,Emphysematous lung from non-cancer lungs_291578,SRP125001,Lung tissue
SRR6292249,RNA-Seq,51,985599735,PRJNA418402,SAMN08026826,699271810,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393360,Total RNA,GSM2857281,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857281,Emphysematous lung from non-cancer lungs_235584,SRP125001,Lung tissue
