Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Group,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,time,tissue
SRR9906516,RNA-Seq,99,313868792,PRJNA427961,SAMN12499912,148231672,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657518,GSM4008561,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008561,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906517,RNA-Seq,99,305425402,PRJNA427961,SAMN12499910,144382356,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657519,GSM4008562,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008562,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906518,RNA-Seq,99,268123050,PRJNA427961,SAMN12499909,126852113,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657520,GSM4008563,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008563,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906519,RNA-Seq,99,248928384,PRJNA427961,SAMN12499908,118490393,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657521,GSM4008564,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008564,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906520,RNA-Seq,99,279374232,PRJNA427961,SAMN12499907,132297152,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657522,GSM4008565,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008565,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906521,RNA-Seq,99,275717720,PRJNA427961,SAMN12499906,130300544,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657523,GSM4008566,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008566,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906522,RNA-Seq,99,257668622,PRJNA427961,SAMN12499904,122591693,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657524,GSM4008567,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008567,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906523,RNA-Seq,99,244761950,PRJNA427961,SAMN12499903,115790403,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657525,GSM4008568,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008568,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906524,RNA-Seq,99,286945755,PRJNA427961,SAMN12499901,135623322,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657526,GSM4008569,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008569,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906525,RNA-Seq,99,232947025,PRJNA427961,SAMN12499900,111080525,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657527,GSM4008570,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008570,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
