Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue_type,tnm
SRR6495623,RNA-Seq,180,14996990160,PRJNA430130,SAMN08366086,11187892246,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Normal tissue,SRX3584945,GSM2935184,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-08T00:00:00Z,GSM2935184,Colorectal tissues_Normal tissue,SRP130989,Colorectal tissues,Normal
SRR6495624,RNA-Seq,180,12596193360,PRJNA430130,SAMN08366085,9290959209,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Normal tissue,SRX3584946,GSM2935185,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-08T00:00:00Z,GSM2935185,Colorectal tissues_Normal tissue,SRP130989,Colorectal tissues,Normal
SRR6495625,RNA-Seq,180,14293651320,PRJNA430130,SAMN08366084,11881459784,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Normal tissue,SRX3584947,GSM2935186,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-08T00:00:00Z,GSM2935186,Colorectal tissues_Normal tissue,SRP130989,Colorectal tissues,Normal
SRR6495626,RNA-Seq,180,12722090940,PRJNA430130,SAMN08366083,8556192822,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",well-differentiated,SRX3584948,GSM2935187,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-08T00:00:00Z,GSM2935187,Colorectal tumor tissues_well-differentiated,SRP130989,Colorectal tumor tissues,T4NXM0
SRR6495627,RNA-Seq,180,13512122460,PRJNA430130,SAMN08366082,9409747642,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",well-differentiated,SRX3584949,GSM2935188,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-08T00:00:00Z,GSM2935188,Colorectal tumor tissues_well-differentiated,SRP130989,Colorectal tumor tissues,T2N0M0
SRR6495628,RNA-Seq,180,17080942500,PRJNA430130,SAMN08366081,11713030299,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",well-differentiated,SRX3584950,GSM2935189,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-08T00:00:00Z,GSM2935189,Colorectal tumor tissues_well-differentiated,SRP130989,Colorectal tumor tissues,T4N0M0
SRR6495629,RNA-Seq,180,14936767740,PRJNA430130,SAMN08366080,10304940196,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",well-differentiated,SRX3584951,GSM2935190,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-08T00:00:00Z,GSM2935190,Colorectal tumor tissues_well-differentiated,SRP130989,Colorectal tumor tissues,T4N0M0
SRR6495630,RNA-Seq,180,13880815920,PRJNA430130,SAMN08366079,9576573907,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",moderately-differentiated,SRX3584952,GSM2935191,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-08T00:00:00Z,GSM2935191,Colorectal tumor tissues_moderately-differentiated,SRP130989,Colorectal tumor tissues,T4N0MX
SRR6495631,RNA-Seq,180,22766017140,PRJNA430130,SAMN08366078,15627542234,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",moderately-differentiated,SRX3584953,GSM2935192,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-08T00:00:00Z,GSM2935192,Colorectal tumor tissues_moderately-differentiated,SRP130989,Colorectal tumor tissues,T4N0M0
SRR6495632,RNA-Seq,180,15316454520,PRJNA430130,SAMN08366077,10145547731,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",moderately-differentiated,SRX3584954,GSM2935193,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-08T00:00:00Z,GSM2935193,Colorectal tumor tissues_moderately-differentiated,SRP130989,Colorectal tumor tissues,T4N0M0
