Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,Experiment,GEO_Accession (exp),Group,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue
SRR6814785,RNA-Seq,104,2588772846,PRJNA437298,SAMN08647976,1775032799,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Heathy individual,SRX3771767,GSM3032615,control side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032615,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814786,RNA-Seq,110,1503331408,PRJNA437298,SAMN08647975,988537456,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Heathy individual,SRX3771768,GSM3032616,control side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032616,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814788,RNA-Seq,111,1313973725,PRJNA437298,SAMN08647973,871116950,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Heathy individual,SRX3771770,GSM3032618,control side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032618,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814790,RNA-Seq,109,2006229795,PRJNA437298,SAMN08647971,1323148321,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Heathy individual,SRX3771772,GSM3032620,control side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032620,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814792,RNA-Seq,107,2753976062,PRJNA437298,SAMN08647969,1852691421,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Heathy individual,SRX3771774,GSM3032622,control side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032622,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814794,RNA-Seq,105,1897023374,PRJNA437298,SAMN08647967,1339571413,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",Heathy individual,SRX3771776,GSM3032624,Prewound side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032624,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814796,RNA-Seq,111,2695695682,PRJNA437298,SAMN08647965,1821370461,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",Heathy individual,SRX3771778,GSM3032626,Prewound side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032626,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814798,RNA-Seq,110,2496658633,PRJNA437298,SAMN08647963,1645425111,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Heathy individual,SRX3771780,GSM3032628,Prewound side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032628,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814800,RNA-Seq,110,1876901635,PRJNA437298,SAMN08647978,1255512263,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Heathy individual,SRX3771782,GSM3032630,Prewound side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032630,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814784,RNA-Seq,106,1168609997,PRJNA437298,SAMN08647977,811730364,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Heathy individual,SRX3771766,GSM3032614,control side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032614,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814787,RNA-Seq,110,2460742853,PRJNA437298,SAMN08647974,1615188372,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",Heathy individual,SRX3771769,GSM3032617,control side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032617,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814789,RNA-Seq,110,2943951039,PRJNA437298,SAMN08647972,1921062753,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Heathy individual,SRX3771771,GSM3032619,control side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032619,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814791,RNA-Seq,109,2043710291,PRJNA437298,SAMN08647970,1338700736,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Heathy individual,SRX3771773,GSM3032621,control side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032621,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814793,RNA-Seq,106,1850510326,PRJNA437298,SAMN08647968,1271470045,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Heathy individual,SRX3771775,GSM3032623,Prewound side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032623,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814795,RNA-Seq,110,2270774770,PRJNA437298,SAMN08647966,1521555696,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Heathy individual,SRX3771777,GSM3032625,Prewound side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032625,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814797,RNA-Seq,111,2221453861,PRJNA437298,SAMN08647964,1478339413,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",Heathy individual,SRX3771779,GSM3032627,Prewound side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032627,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814799,RNA-Seq,110,2469519286,PRJNA437298,SAMN08647962,1632098522,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Heathy individual,SRX3771781,GSM3032629,Prewound side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032629,human gingival tissue sample,SRP134099,palatal gingival tissue
SRR6814801,RNA-Seq,107,2559239832,PRJNA437298,SAMN08647979,1710093797,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Heathy individual,SRX3771783,GSM3032631,Prewound side,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-03-06T00:00:00Z,GSM3032631,human gingival tissue sample,SRP134099,palatal gingival tissue
