!Sample_title	!Sample_geo_accession	!Sample_status	!Sample_submission_date	!Sample_last_update_date	!Sample_type	!Sample_channel_count	!Sample_source_name_ch1	!Sample_organism_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_molecule_ch1	!Sample_extract_protocol_ch1	!Sample_extract_protocol_ch1	!Sample_taxid_ch1	!Sample_description	!Sample_data_processing	!Sample_data_processing	!Sample_data_processing	!Sample_data_processing	!Sample_data_processing	!Sample_data_processing	!Sample_platform_id	!Sample_contact_name	!Sample_contact_email	!Sample_contact_department	!Sample_contact_institute	!Sample_contact_address	!Sample_contact_city	!Sample_contact_state	!Sample_contact_zip/postal_code	!Sample_contact_country	!Sample_data_row_count	!Sample_instrument_model	!Sample_library_selection	!Sample_library_source	!Sample_library_strategy	!Sample_relation	!Sample_relation	!Sample_supplementary_file_1	!series_matrix_table_begin	ID_REF	!series_matrix_table_end
1365_01con [RNA-Seq]	GSM3032614	Public on Mar 06 2021	Mar 07 2018	Mar 06 2021	SRA	1	human gingival tissue sample	Homo sapiens	tissue: palatal gingival tissue	disease: Heathy individual	group: control side	total RNA	Two biopsies in the form of free gingival grafts (FGG) were harvested in the same appointment from each volunteer, one from each side of the palate.One side is preqounded 5 days before harvesting.	cDNA libraries were constructed using Ion Ampliseq Transcriptome Human Gene Expression Kit  from Life Technologies (Cat# A26325) per the manufacturer's protocol, at the PrimBio Research Institute LLC (Exton, PA).  The amplified cDNA libraries were purified using Nucleic Acid binding beads, binding buffers and run on Agilent 2100 Bioanalyzer to determine the yield and size distribution of each library.For all the DNA libraries, further template amplification and enrichment were performed on the Ion Chef system followed by sequencing on an Ion Proton sequencer (PrimBio Research Institute LLC ,Exton, PA).	9606	control side of Volunteer #1	IonTorrent software was used for base-calling.	The raw sequences were aligned to the human hg19   reference sequence by  Ion Torrent Suite alignment tool	Quality control was assessed by the StrandNGS program, which determined the pre- and post-alignment quality of the reads for each sample.	The aligned reads were normalized and quantified using the Quantile algorithm by the StrandNGS program.	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files include raw counts and Quantile normalization values for all samples.	GPL17303	Dimitris,,Tatakis	tatakis.1@osu.edu	Periodontology	The Ohio State University	305 W. 12th ave	Columbus	OH	43210	USA	0	Ion Torrent Proton	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08647977	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3771766	NONE		GSM3032614	
1367_02con [RNA-Seq]	GSM3032615	Public on Mar 06 2021	Mar 07 2018	Mar 06 2021	SRA	1	human gingival tissue sample	Homo sapiens	tissue: palatal gingival tissue	disease: Heathy individual	group: control side	total RNA	Two biopsies in the form of free gingival grafts (FGG) were harvested in the same appointment from each volunteer, one from each side of the palate.	cDNA libraries were constructed using Ion Ampliseq Transcriptome Human Gene Expression Kit  from Life Technologies (Cat# A26325) per the manufacturer's protocol, at the PrimBio Research Institute LLC (Exton, PA).  The amplified cDNA libraries were purified using Nucleic Acid binding beads, binding buffers and run on Agilent 2100 Bioanalyzer to determine the yield and size distribution of each library.For all the DNA libraries, further template amplification and enrichment were performed on the Ion Chef system followed by sequencing on an Ion Proton sequencer (PrimBio Research Institute LLC ,Exton, PA).	9606	control side of Volunteer #2	IonTorrent software was used for base-calling.	The raw sequences were aligned to the human hg19   reference sequence by  Ion Torrent Suite alignment tool	Quality control was assessed by the StrandNGS program, which determined the pre- and post-alignment quality of the reads for each sample.	The aligned reads were normalized and quantified using the Quantile algorithm by the StrandNGS program.	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files include raw counts and Quantile normalization values for all samples.	GPL17303	Dimitris,,Tatakis	tatakis.1@osu.edu	Periodontology	The Ohio State University	305 W. 12th ave	Columbus	OH	43210	USA	0	Ion Torrent Proton	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08647976	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3771767	NONE		GSM3032615	
1369_03con [RNA-Seq]	GSM3032616	Public on Mar 06 2021	Mar 07 2018	Mar 06 2021	SRA	1	human gingival tissue sample	Homo sapiens	tissue: palatal gingival tissue	disease: Heathy individual	group: control side	total RNA	Two biopsies in the form of free gingival grafts (FGG) were harvested in the same appointment from each volunteer, one from each side of the palate.	cDNA libraries were constructed using Ion Ampliseq Transcriptome Human Gene Expression Kit  from Life Technologies (Cat# A26325) per the manufacturer's protocol, at the PrimBio Research Institute LLC (Exton, PA).  The amplified cDNA libraries were purified using Nucleic Acid binding beads, binding buffers and run on Agilent 2100 Bioanalyzer to determine the yield and size distribution of each library.For all the DNA libraries, further template amplification and enrichment were performed on the Ion Chef system followed by sequencing on an Ion Proton sequencer (PrimBio Research Institute LLC ,Exton, PA).	9606	control side of Volunteer #3	IonTorrent software was used for base-calling.	The raw sequences were aligned to the human hg19   reference sequence by  Ion Torrent Suite alignment tool	Quality control was assessed by the StrandNGS program, which determined the pre- and post-alignment quality of the reads for each sample.	The aligned reads were normalized and quantified using the Quantile algorithm by the StrandNGS program.	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files include raw counts and Quantile normalization values for all samples.	GPL17303	Dimitris,,Tatakis	tatakis.1@osu.edu	Periodontology	The Ohio State University	305 W. 12th ave	Columbus	OH	43210	USA	0	Ion Torrent Proton	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08647975	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3771768	NONE		GSM3032616	
1371_04con [RNA-Seq]	GSM3032617	Public on Mar 06 2021	Mar 07 2018	Mar 06 2021	SRA	1	human gingival tissue sample	Homo sapiens	tissue: palatal gingival tissue	disease: Heathy individual	group: control side	total RNA	Two biopsies in the form of free gingival grafts (FGG) were harvested in the same appointment from each volunteer, one from each side of the palate.	cDNA libraries were constructed using Ion Ampliseq Transcriptome Human Gene Expression Kit  from Life Technologies (Cat# A26325) per the manufacturer's protocol, at the PrimBio Research Institute LLC (Exton, PA).  The amplified cDNA libraries were purified using Nucleic Acid binding beads, binding buffers and run on Agilent 2100 Bioanalyzer to determine the yield and size distribution of each library.For all the DNA libraries, further template amplification and enrichment were performed on the Ion Chef system followed by sequencing on an Ion Proton sequencer (PrimBio Research Institute LLC ,Exton, PA).	9606	control side of Volunteer #4	IonTorrent software was used for base-calling.	The raw sequences were aligned to the human hg19   reference sequence by  Ion Torrent Suite alignment tool	Quality control was assessed by the StrandNGS program, which determined the pre- and post-alignment quality of the reads for each sample.	The aligned reads were normalized and quantified using the Quantile algorithm by the StrandNGS program.	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files include raw counts and Quantile normalization values for all samples.	GPL17303	Dimitris,,Tatakis	tatakis.1@osu.edu	Periodontology	The Ohio State University	305 W. 12th ave	Columbus	OH	43210	USA	0	Ion Torrent Proton	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08647974	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3771769	NONE		GSM3032617	
1373_06con [RNA-Seq]	GSM3032618	Public on Mar 06 2021	Mar 07 2018	Mar 06 2021	SRA	1	human gingival tissue sample	Homo sapiens	tissue: palatal gingival tissue	disease: Heathy individual	group: control side	total RNA	Two biopsies in the form of free gingival grafts (FGG) were harvested in the same appointment from each volunteer, one from each side of the palate.	cDNA libraries were constructed using Ion Ampliseq Transcriptome Human Gene Expression Kit  from Life Technologies (Cat# A26325) per the manufacturer's protocol, at the PrimBio Research Institute LLC (Exton, PA).  The amplified cDNA libraries were purified using Nucleic Acid binding beads, binding buffers and run on Agilent 2100 Bioanalyzer to determine the yield and size distribution of each library.For all the DNA libraries, further template amplification and enrichment were performed on the Ion Chef system followed by sequencing on an Ion Proton sequencer (PrimBio Research Institute LLC ,Exton, PA).	9606	control side of Volunteer #6	IonTorrent software was used for base-calling.	The raw sequences were aligned to the human hg19   reference sequence by  Ion Torrent Suite alignment tool	Quality control was assessed by the StrandNGS program, which determined the pre- and post-alignment quality of the reads for each sample.	The aligned reads were normalized and quantified using the Quantile algorithm by the StrandNGS program.	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files include raw counts and Quantile normalization values for all samples.	GPL17303	Dimitris,,Tatakis	tatakis.1@osu.edu	Periodontology	The Ohio State University	305 W. 12th ave	Columbus	OH	43210	USA	0	Ion Torrent Proton	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08647973	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3771770	NONE		GSM3032618	
1375_07con [RNA-Seq]	GSM3032619	Public on Mar 06 2021	Mar 07 2018	Mar 06 2021	SRA	1	human gingival tissue sample	Homo sapiens	tissue: palatal gingival tissue	disease: Heathy individual	group: control side	total RNA	Two biopsies in the form of free gingival grafts (FGG) were harvested in the same appointment from each volunteer, one from each side of the palate.	cDNA libraries were constructed using Ion Ampliseq Transcriptome Human Gene Expression Kit  from Life Technologies (Cat# A26325) per the manufacturer's protocol, at the PrimBio Research Institute LLC (Exton, PA).  The amplified cDNA libraries were purified using Nucleic Acid binding beads, binding buffers and run on Agilent 2100 Bioanalyzer to determine the yield and size distribution of each library.For all the DNA libraries, further template amplification and enrichment were performed on the Ion Chef system followed by sequencing on an Ion Proton sequencer (PrimBio Research Institute LLC ,Exton, PA).	9606	control side of Volunteer #7	IonTorrent software was used for base-calling.	The raw sequences were aligned to the human hg19   reference sequence by  Ion Torrent Suite alignment tool	Quality control was assessed by the StrandNGS program, which determined the pre- and post-alignment quality of the reads for each sample.	The aligned reads were normalized and quantified using the Quantile algorithm by the StrandNGS program.	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files include raw counts and Quantile normalization values for all samples.	GPL17303	Dimitris,,Tatakis	tatakis.1@osu.edu	Periodontology	The Ohio State University	305 W. 12th ave	Columbus	OH	43210	USA	0	Ion Torrent Proton	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08647972	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3771771	NONE		GSM3032619	
1377_08con [RNA-Seq]	GSM3032620	Public on Mar 06 2021	Mar 07 2018	Mar 06 2021	SRA	1	human gingival tissue sample	Homo sapiens	tissue: palatal gingival tissue	disease: Heathy individual	group: control side	total RNA	Two biopsies in the form of free gingival grafts (FGG) were harvested in the same appointment from each volunteer, one from each side of the palate.	cDNA libraries were constructed using Ion Ampliseq Transcriptome Human Gene Expression Kit  from Life Technologies (Cat# A26325) per the manufacturer's protocol, at the PrimBio Research Institute LLC (Exton, PA).  The amplified cDNA libraries were purified using Nucleic Acid binding beads, binding buffers and run on Agilent 2100 Bioanalyzer to determine the yield and size distribution of each library.For all the DNA libraries, further template amplification and enrichment were performed on the Ion Chef system followed by sequencing on an Ion Proton sequencer (PrimBio Research Institute LLC ,Exton, PA).	9606	control side of Volunteer #8	IonTorrent software was used for base-calling.	The raw sequences were aligned to the human hg19   reference sequence by  Ion Torrent Suite alignment tool	Quality control was assessed by the StrandNGS program, which determined the pre- and post-alignment quality of the reads for each sample.	The aligned reads were normalized and quantified using the Quantile algorithm by the StrandNGS program.	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files include raw counts and Quantile normalization values for all samples.	GPL17303	Dimitris,,Tatakis	tatakis.1@osu.edu	Periodontology	The Ohio State University	305 W. 12th ave	Columbus	OH	43210	USA	0	Ion Torrent Proton	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08647971	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3771772	NONE		GSM3032620	
1379_09con [RNA-Seq]	GSM3032621	Public on Mar 06 2021	Mar 07 2018	Mar 06 2021	SRA	1	human gingival tissue sample	Homo sapiens	tissue: palatal gingival tissue	disease: Heathy individual	group: control side	total RNA	Two biopsies in the form of free gingival grafts (FGG) were harvested in the same appointment from each volunteer, one from each side of the palate.	cDNA libraries were constructed using Ion Ampliseq Transcriptome Human Gene Expression Kit  from Life Technologies (Cat# A26325) per the manufacturer's protocol, at the PrimBio Research Institute LLC (Exton, PA).  The amplified cDNA libraries were purified using Nucleic Acid binding beads, binding buffers and run on Agilent 2100 Bioanalyzer to determine the yield and size distribution of each library.For all the DNA libraries, further template amplification and enrichment were performed on the Ion Chef system followed by sequencing on an Ion Proton sequencer (PrimBio Research Institute LLC ,Exton, PA).	9606	control side of Volunteer #9	IonTorrent software was used for base-calling.	The raw sequences were aligned to the human hg19   reference sequence by  Ion Torrent Suite alignment tool	Quality control was assessed by the StrandNGS program, which determined the pre- and post-alignment quality of the reads for each sample.	The aligned reads were normalized and quantified using the Quantile algorithm by the StrandNGS program.	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files include raw counts and Quantile normalization values for all samples.	GPL17303	Dimitris,,Tatakis	tatakis.1@osu.edu	Periodontology	The Ohio State University	305 W. 12th ave	Columbus	OH	43210	USA	0	Ion Torrent Proton	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08647970	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3771773	NONE		GSM3032621	
1383_11con [RNA-Seq]	GSM3032622	Public on Mar 06 2021	Mar 07 2018	Mar 06 2021	SRA	1	human gingival tissue sample	Homo sapiens	tissue: palatal gingival tissue	disease: Heathy individual	group: control side	total RNA	Two biopsies in the form of free gingival grafts (FGG) were harvested in the same appointment from each volunteer, one from each side of the palate.	cDNA libraries were constructed using Ion Ampliseq Transcriptome Human Gene Expression Kit  from Life Technologies (Cat# A26325) per the manufacturer's protocol, at the PrimBio Research Institute LLC (Exton, PA).  The amplified cDNA libraries were purified using Nucleic Acid binding beads, binding buffers and run on Agilent 2100 Bioanalyzer to determine the yield and size distribution of each library.For all the DNA libraries, further template amplification and enrichment were performed on the Ion Chef system followed by sequencing on an Ion Proton sequencer (PrimBio Research Institute LLC ,Exton, PA).	9606	control side of Volunteer #11	IonTorrent software was used for base-calling.	The raw sequences were aligned to the human hg19   reference sequence by  Ion Torrent Suite alignment tool	Quality control was assessed by the StrandNGS program, which determined the pre- and post-alignment quality of the reads for each sample.	The aligned reads were normalized and quantified using the Quantile algorithm by the StrandNGS program.	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files include raw counts and Quantile normalization values for all samples.	GPL17303	Dimitris,,Tatakis	tatakis.1@osu.edu	Periodontology	The Ohio State University	305 W. 12th ave	Columbus	OH	43210	USA	0	Ion Torrent Proton	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08647969	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3771774	NONE		GSM3032622	
1366_01pw [RNA-Seq]	GSM3032623	Public on Mar 06 2021	Mar 07 2018	Mar 06 2021	SRA	1	human gingival tissue sample	Homo sapiens	tissue: palatal gingival tissue	disease: Heathy individual	group: Prewound side	total RNA	Two biopsies in the form of free gingival grafts (FGG) were harvested in the same appointment from each volunteer, one from each side of the palate.	cDNA libraries were constructed using Ion Ampliseq Transcriptome Human Gene Expression Kit  from Life Technologies (Cat# A26325) per the manufacturer's protocol, at the PrimBio Research Institute LLC (Exton, PA).  The amplified cDNA libraries were purified using Nucleic Acid binding beads, binding buffers and run on Agilent 2100 Bioanalyzer to determine the yield and size distribution of each library.For all the DNA libraries, further template amplification and enrichment were performed on the Ion Chef system followed by sequencing on an Ion Proton sequencer (PrimBio Research Institute LLC ,Exton, PA).	9606	Prewound side of Volunteer #1	IonTorrent software was used for base-calling.	The raw sequences were aligned to the human hg19   reference sequence by  Ion Torrent Suite alignment tool	Quality control was assessed by the StrandNGS program, which determined the pre- and post-alignment quality of the reads for each sample.	The aligned reads were normalized and quantified using the Quantile algorithm by the StrandNGS program.	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files include raw counts and Quantile normalization values for all samples.	GPL17303	Dimitris,,Tatakis	tatakis.1@osu.edu	Periodontology	The Ohio State University	305 W. 12th ave	Columbus	OH	43210	USA	0	Ion Torrent Proton	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08647968	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3771775	NONE		GSM3032623	
