Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR7591901,RNA-Seq,202,7394850340,PRJNA471801,SAMN09714846,4972543144,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Dysplastic nodule,SRX4456960,GSM3305720,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3305720,liver tissue,SRP148066
SRR7591903,RNA-Seq,202,7855296412,PRJNA471801,SAMN09714844,5251837920,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Dysplastic nodule,SRX4456962,GSM3305722,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3305722,liver tissue,SRP148066
SRR7591905,RNA-Seq,202,10005628630,PRJNA471801,SAMN09714842,6735569175,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Dysplastic nodule,SRX4456964,GSM3305724,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3305724,liver tissue,SRP148066
SRR7591907,RNA-Seq,202,7090692476,PRJNA471801,SAMN09714840,4585468467,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Dysplastic nodule,SRX4456966,GSM3305726,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3305726,liver tissue,SRP148066
SRR7591909,RNA-Seq,202,8058169658,PRJNA471801,SAMN09714838,5217515197,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Dysplastic nodule,SRX4456968,GSM3305728,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3305728,liver tissue,SRP148066
SRR7591910,RNA-Seq,202,7875741236,PRJNA471801,SAMN09714837,5117419957,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Dysplastic nodule,SRX4456969,GSM3305729,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3305729,liver tissue,SRP148066
SRR7591902,RNA-Seq,202,6354439846,PRJNA471801,SAMN09714845,4263682938,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Dysplastic nodule,SRX4456961,GSM3305721,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3305721,liver tissue,SRP148066
SRR7591904,RNA-Seq,202,10125651980,PRJNA471801,SAMN09714843,6710225893,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Dysplastic nodule,SRX4456963,GSM3305723,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3305723,liver tissue,SRP148066
SRR7591906,RNA-Seq,202,8321433026,PRJNA471801,SAMN09714841,5390580274,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Dysplastic nodule,SRX4456965,GSM3305725,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3305725,liver tissue,SRP148066
SRR7591908,RNA-Seq,202,7045795552,PRJNA471801,SAMN09714839,4550621861,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Dysplastic nodule,SRX4456967,GSM3305727,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3305727,liver tissue,SRP148066
SRR7175258,RNA-Seq,202,4914726054,PRJNA471801,SAMN09217997,3187483641,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092830,GSM3144913,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144913,liver tissue,SRP148066
SRR7175259,RNA-Seq,202,5708493134,PRJNA471801,SAMN09217996,3626714556,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092831,GSM3144914,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144914,liver tissue,SRP148066
SRR7175260,RNA-Seq,202,5602945508,PRJNA471801,SAMN09217995,3624693581,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092832,GSM3144915,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144915,liver tissue,SRP148066
SRR7175261,RNA-Seq,202,4297079542,PRJNA471801,SAMN09217994,2806551221,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092833,GSM3144916,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144916,liver tissue,SRP148066
