Run,Assay Type,AssemblyName,AvgSpotLen,Bases,Batch,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,transfected_plasmid,treatment,
SRR7293176,RNA-Seq,GCA_000001405.16,76,946091548,1,PRJNA475639,SAMN09397139,227203705,HEK293,GEO,public,"sra,bam","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX4195838,GSM3186592,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186592,Transfected HEK293,SRP150287,Untransfected,Untreated,Untreated - Untransfected
SRR7293177,RNA-Seq,GCA_000001405.16,76,947644000,1,PRJNA475639,SAMN09397138,225793279,HEK293,GEO,public,"sra,bam","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX4195839,GSM3186593,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186593,Transfected HEK293,SRP150287,Empty Vector,Untreated,Untreated - Empty Vector
SRR7293178,RNA-Seq,GCA_000001405.16,76,834838720,1,PRJNA475639,SAMN09397137,198332447,HEK293,GEO,public,"sra,bam","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4195840,GSM3186594,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186594,Transfected HEK293,SRP150287,EVI1 WT,Untreated,Untreated - EVI1 WT
SRR7293179,RNA-Seq,GCA_000001405.16,76,862210652,1,PRJNA475639,SAMN09397136,206208420,HEK293,GEO,public,"sra,bam","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX4195841,GSM3186595,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186595,Transfected HEK293,SRP150287,EVI1 AQA,Untreated,Untreated - EVI1 AQA
SRR7293180,RNA-Seq,GCA_000001405.16,76,897826152,1,PRJNA475639,SAMN09397135,224281071,HEK293,GEO,public,"sra,bam","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4195842,GSM3186596,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186596,Transfected HEK293,SRP150287,Untransfected,H2O2,H2O2 - Untransfected
SRR7293181,RNA-Seq,GCA_000001405.16,76,792264584,1,PRJNA475639,SAMN09397134,193755820,HEK293,GEO,public,"bam,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4195843,GSM3186597,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186597,Transfected HEK293,SRP150287,Empty Vector,H2O2,H2O2 - Empty Vector
SRR7293182,RNA-Seq,GCA_000001405.16,76,975512744,1,PRJNA475639,SAMN09397133,235975076,HEK293,GEO,public,"sra,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4195844,GSM3186598,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186598,Transfected HEK293,SRP150287,EVI1 WT,H2O2,H2O2 - EVI1 WT
SRR7293183,RNA-Seq,GCA_000001405.16,76,1093970068,1,PRJNA475639,SAMN09397132,262547257,HEK293,GEO,public,"sra,bam","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4195845,GSM3186599,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186599,Transfected HEK293,SRP150287,EVI1 AQA,H2O2,H2O2 - EVI1 AQA
SRR7293184,RNA-Seq,GCA_000001405.16,76,939700784,2,PRJNA475639,SAMN09397131,228923663,HEK293,GEO,public,"sra,bam","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX4195846,GSM3186600,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186600,Transfected HEK293,SRP150287,Untransfected,Untreated,Untreated - Untransfected
SRR7293185,RNA-Seq,GCA_000001405.16,76,836835772,2,PRJNA475639,SAMN09397130,198134267,HEK293,GEO,public,"bam,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX4195847,GSM3186601,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186601,Transfected HEK293,SRP150287,Empty Vector,Untreated,Untreated - Empty Vector
