!Series_title	"M1hot tumour associated macrophages are positively associated with tissue-resident memory T cell responses and survival outcomes in human lung cancer (bulk)."
!Series_geo_accession	"GSE116946"
!Series_status	"Public on Jul 29 2020"
!Series_submission_date	"Jul 11 2018"
!Series_last_update_date	"Jul 29 2020"
!Series_pubmed_id	"32699181"
!Series_summary	"Tumour-associated macrophages (TAMs) are classified as M1 (“anti-tumour”) and M2 (“pro-tumour”), but their balance has not yet been accurately established in human cancer tissue. Here, we present bulk and single-cell transcriptomic data from human TAMs isolated from lung cancer compared with autologous non-tumour involved lung tissue macrophages (N-TAM). TAMs have a profoundly different transcriptomic profile from N-TAMs and displayed a broad M2 pro-tumour signature that was homogeneous across all the lung cancer patients studied. However, in some tumours, we found TAM populations that simultaneously displayed strong M1 gene expression pattern. These M1hot TAMs appeared to contribute to effective anti-tumour immunity via expression of T cell chemo-attractants (CXCL9, 10 and 11). We found that M1hot TAMs expressed low levels of FABP3, 4 and 5, take up less fatty acids and showed “metabolic generosity” to tissue resident memory T cells (TRM) by allowing them access to this essential nutrient resource that is required for their maintenance. Importantly, tumours harbouring M1hot TAMs were highly enriched for TRM cells and were also associated with improved overall survival outcomes. Our findings suggest that immunotherapeutic approaches aimed at inducing the expression of M1hot program in TAMs rather than generically eliminating all TAMs are likely to be beneficial."
!Series_overall_design	"mRNA profiles of Tumour Associated Macrophages isolated from human lung cancer and macrophages from paired lung were generated by deep sequencing, using Illumina HiSeq 2500."
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Eva,M,Garrido-Martin"
!Series_contributor	"Tilman,,Sanchez-Elsner"
!Series_contributor	"Pandurangan,,Vijayanand"
!Series_contributor	"Christian,H,Ottensmeier"
!Series_sample_id	"GSM3265027 GSM3265028 GSM3265029 GSM3265030 GSM3265031 GSM3265032 GSM3265033 GSM3265034 GSM3265035 GSM3265036 GSM3265037 GSM3265038 GSM3265039 GSM3265040 GSM3265041 GSM3265042 GSM3265043 GSM3265044 GSM3265045 GSM3265046 GSM3265047 GSM3265048 GSM3265049 GSM3265050 GSM3265051 GSM3265052 GSM3265053 GSM3265054 GSM3265055 GSM3265056 GSM3265057 GSM3265058 GSM3265059 GSM3265060 GSM3265061 GSM3265062 GSM3265063 GSM3265064 GSM3265065 GSM3265066 GSM3265067 GSM3265068 GSM3265069 GSM3265070 GSM3265071 GSM3265072 GSM3265073 GSM3265074 GSM3265075 GSM3265076 GSM3265077 GSM3265078 GSM3265079 GSM3265080 GSM3265081 GSM3265082 GSM3265083 GSM3265084 GSM3265085 GSM3265086 GSM3265087 GSM3265088 GSM3265089 GSM3265090 GSM3265091 GSM3265092 GSM3265093 GSM3265094 GSM3265095 GSM3265096 GSM3265097 GSM3265098 GSM3265099 GSM3265100 "
!Series_contact_name	"Eva,,Garrido-Martin"
!Series_contact_email	"evamgarridomartin@gmail.com"
!Series_contact_institute	"University of Southampton"
!Series_contact_address	"University Road"
!Series_contact_city	"Southampton"
!Series_contact_zip/postal_code	"SO16 6YD"
!Series_contact_country	"United Kingdom"
