Run;Assay Type;AvgSpotLen;Bases;BioProject;BioSample;Bytes;Cell_Line;Cell_type;Center Name;Consent;DATASTORE filetype;DATASTORE provider;DATASTORE region;Experiment;GEO_Accession (exp);Instrument;LibraryLayout;LibrarySelection;LibrarySource;Organism;Platform;ReleaseDate;Sample Name;source_name;SRA Study;;;
SRR7820893;RNA-Seq;256;12896005343;PRJNA490436;SAMN10036399;5226575528;3028;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672060;GSM3384758;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384758;glioblastoma multiforme;SRP161553;;SRR7820893;SRR7820893
SRR7820894;RNA-Seq;245;9431153436;PRJNA490436;SAMN10036398;3909454930;3128;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672061;GSM3384759;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384759;glioblastoma multiforme;SRP161553;;SRR7820894;SRR7820894
SRR7820895;RNA-Seq;264;12399508660;PRJNA490436;SAMN10036397;4755771252;2229;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672062;GSM3384760;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384760;glioblastoma multiforme;SRP161553;;SRR7820895;SRR7820895
SRR7820896;RNA-Seq;266;17917706428;PRJNA490436;SAMN10036396;6798392265;3655;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672063;GSM3384761;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384761;glioblastoma multiforme;SRP161553;;SRR7820896;SRR7820896
SRR7820897;RNA-Seq;240;5890514367;PRJNA490436;SAMN10036395;2458268973;2223;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672064;GSM3384762;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384762;glioblastoma multiforme;SRP161553;;SRR7820897;SRR7820897
SRR7820898;RNA-Seq;256;12468874856;PRJNA490436;SAMN10036394;5094713662;3332;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672065;GSM3384763;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384763;glioblastoma multiforme;SRP161553;;SRR7820898;SRR7820898
SRR7820899;RNA-Seq;245;10818736376;PRJNA490436;SAMN10036393;4565220699;CW2012;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672066;GSM3384764;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384764;glioblastoma multiforme;SRP161553;;SRR7820899;SRR7820899
SRR7820900;RNA-Seq;249;10626696229;PRJNA490436;SAMN10036392;4433112798;DI28;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672067;GSM3384765;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384765;glioblastoma multiforme;SRP161553;;SRR7820900;SRR7820900
SRR7820901;RNA-Seq;254;8164922932;PRJNA490436;SAMN10036391;3331755036;3214;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672068;GSM3384766;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384766;glioblastoma multiforme;SRP161553;;SRR7820901;SRR7820901
SRR7820902;RNA-Seq;254;12789025890;PRJNA490436;SAMN10036390;5259540334;2455;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672069;GSM3384767;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384767;glioblastoma multiforme;SRP161553;;SRR7820902;SRR7820902
SRR7820903;RNA-Seq;256;10465409806;PRJNA490436;SAMN10036389;4237196151;2481;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672070;GSM3384768;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384768;glioblastoma multiforme;SRP161553;;SRR7820903;SRR7820903
SRR7820904;RNA-Seq;256;13105941786;PRJNA490436;SAMN10036388;5310181015;2489;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672071;GSM3384769;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384769;glioblastoma multiforme;SRP161553;;SRR7820904;SRR7820904
SRR7820905;RNA-Seq;262;15422915484;PRJNA490436;SAMN10036387;5971048558;2519;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672072;GSM3384770;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384770;glioblastoma multiforme;SRP161553;;SRR7820905;SRR7820905
SRR7820906;RNA-Seq;254;11966729968;PRJNA490436;SAMN10036386;4904108922;3264;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672073;GSM3384771;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384771;glioblastoma multiforme;SRP161553;;SRR7820906;SRR7820906
SRR7820907;RNA-Seq;255;13024050343;PRJNA490436;SAMN10036385;5294156727;2566;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672074;GSM3384772;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384772;glioblastoma multiforme;SRP161553;;SRR7820907;SRR7820907
SRR7820908;RNA-Seq;257;13310226380;PRJNA490436;SAMN10036384;5390180788;2576;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672075;GSM3384773;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384773;glioblastoma multiforme;SRP161553;;SRR7820908;SRR7820908
SRR7820909;RNA-Seq;264;14966371680;PRJNA490436;SAMN10036383;5702755275;2647;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672076;GSM3384774;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384774;glioblastoma multiforme;SRP161553;;SRR7820909;SRR7820909
SRR7820910;RNA-Seq;247;12170465121;PRJNA490436;SAMN10036382;5083879592;2687;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672077;GSM3384775;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384775;glioblastoma multiforme;SRP161553;;SRR7820910;SRR7820910
