Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,day_post-induction,Experiment,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sequencing__batch,source_name,SRA Study
SRR7868104,RNA-Seq,201,6401144490,PRJNA491651,SAMN10081446,2674092547,Tal1_2,"patient1,vascular smooth muscle cells",GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Day17,SRX4707284,C1,RR WT,GSM3393178,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393178,Set2,hiPSC,SRP161997
SRR7868105,RNA-Seq,201,6776377119,PRJNA491651,SAMN10081445,2810545616,Tal1_2,"patient1,mesenchymal progenitors",GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Day3,SRX4707285,C1,RR WT,GSM3393179,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393179,Set2,hiPSC,SRP161997
SRR7868106,RNA-Seq,201,6294254499,PRJNA491651,SAMN10081444,2617334728,Tal1_9,"patient1,vascular smooth muscle cells",GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Day17,SRX4707286,C1,RR KO,GSM3393180,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393180,Set2,hiPSC,SRP161997
SRR7868107,RNA-Seq,201,6719113224,PRJNA491651,SAMN10081443,2792994135,Tal1_9,"patient1,mesenchymal progenitors",GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Day3,SRX4707287,C1,RR KO,GSM3393181,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393181,Set2,hiPSC,SRP161997
SRR7868108,RNA-Seq,201,7076811015,PRJNA491651,SAMN10081442,2945122902,Tal2_24,"vascular smooth muscle cells,patient1",GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Day17,SRX4707288,C1,RR KO,GSM3393182,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393182,Set2,hiPSC,SRP161997
SRR7868109,RNA-Seq,201,5741764794,PRJNA491651,SAMN10081441,2382057227,Tal2_24,"patient1,mesenchymal progenitors",GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Day3,SRX4707289,C1,RR KO,GSM3393183,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393183,Set2,hiPSC,SRP161997
SRR7868110,RNA-Seq,201,6341126091,PRJNA491651,SAMN10081440,2633890448,Tal2_3,"patient1,vascular smooth muscle cells",GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Day17,SRX4707290,C1,RR WT,GSM3393184,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393184,Set2,hiPSC,SRP161997
SRR7868111,RNA-Seq,201,6472196985,PRJNA491651,SAMN10081439,2698744526,Tal2_3,"mesenchymal progenitors,patient1",GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Day3,SRX4707291,C1,RR WT,GSM3393185,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393185,Set2,hiPSC,SRP161997
SRR7868112,RNA-Seq,201,5982749925,PRJNA491651,SAMN10081438,2499584810,wb46,"vascular smooth muscle cells,patient1",GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Day17,SRX4707292,C1,RR KO,GSM3393186,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393186,Set2,hiPSC,SRP161997
SRR7868113,RNA-Seq,201,5807114919,PRJNA491651,SAMN10081437,2405332010,wb46,"patient1,mesenchymal progenitors",GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Day3,SRX4707293,C1,RR KO,GSM3393187,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393187,Set2,hiPSC,SRP161997
