!Series_title	"Unveiling the Role of the Most Impactful Cardiovascular Risk Locus Through Haplotype Editing at Cell"
!Series_geo_accession	"GSE120099"
!Series_status	"Public on Dec 05 2018"
!Series_submission_date	"Sep 18 2018"
!Series_last_update_date	"Mar 27 2019"
!Series_pubmed_id	"30528432"
!Series_summary	"The 9p21.3 cardiovascular disease locus is the most influential common genetic risk factor for coronary artery disease, accounting for ~10-15% of disease among non-African populations. The ~60kb risk haplotype is human-specific and lacks coding genes, hindering efforts to decipher its function. Genetic studies implicate the 9p21.3 locus and other risk genes to effects in the vascular wall. Here,  we use genome editing to delete the entire risk on non-risk haplotype from the genomes of human iPSCs and perform genomewide transcriptional profiling along the timecourse of their differentiation into vascular smooth muscle cells (VSMCs). These studies identify a network of ~3000 genes governed by the risk haplotype in VSMCs that predict deficits in cell division, adhesion and contraction, which we confirmufunctionally. Remarkably, deleting the risk haplotype reverts VSMCs to resemble the non-risk VSMCs, suggesting that the risk region drives a cell state transition.  transcriptionally and functionally. . Deleting the risk haplotype reverts these cells to reverted to the non-risk of iPSCs we show that the non-risk haplotype has little effect on locus we produce iPSCs from risk and non-risk individuals, delete each haplotype using genome editing and generate vascular smooth muscle cells (VSMCs). We show that risk VSMCs exhibit aberrant adhesion and contraction, concomitant with dramatically altered global transcriptional changes that are enriched in previously identified cardiovascular disease genes and pathways. Unexpectedly, deleting the risk haplotype rescues VSMC transcriptional identity and function, while expressing the 9p21.3-associated long non-coding RNA ANRIL induces risk phenotypes in non-risk VSMCs. This studies shows that the risk haplotype dominantly predisposes VSMCs to adopt perturbed phenotypes associated with cardiovascular disease and establishes haplotype-edited iPSCs as powerful tools for functionally annotating human-specific variation in non-coding genomic regions."
!Series_overall_design	"RNA-seq proiles of 3 stages of human SMC differentiation starting from iPSC"
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Kristin,,Baldwin"
!Series_contributor	"Ali,,Torkamani"
!Series_contributor	"Valentina,,Lo Sardo"
!Series_contributor	"Pavel,,Chubukov"
!Series_sample_id	"GSM3393178 GSM3393179 GSM3393180 GSM3393181 GSM3393182 GSM3393183 GSM3393184 GSM3393185 GSM3393186 GSM3393187 GSM3393188 GSM3393189 GSM3393190 GSM3393191 GSM3393192 GSM3393193 GSM3393194 GSM3393195 GSM3393196 GSM3393197 GSM3393198 GSM3393199 GSM3393200 GSM3393201 GSM3393202 GSM3393203 GSM3393204 GSM3393205 GSM3393206 GSM3393207 GSM3393208 GSM3393209 GSM3393210 GSM3393211 GSM3393212 GSM3393213 GSM3393214 GSM3393215 GSM3393216 GSM3393217 GSM3393218 GSM3393219 GSM3393220 GSM3393221 GSM3393222 GSM3393223 GSM3393224 GSM3393225 GSM3393226 GSM3393227 GSM3393228 GSM3393229 GSM3393230 GSM3393231 GSM3393232 GSM3393233 GSM3393234 GSM3393235 GSM3393236 GSM3393237 GSM3393238 GSM3393239 GSM3393240 GSM3393241 GSM3393242 GSM3393243 GSM3393244 GSM3393245 GSM3393246 GSM3393247 GSM3393248 GSM3393249 GSM3393250 GSM3393251 GSM3393252 GSM3393253 GSM3393254 GSM3393255 GSM3393256 GSM3393257 GSM3393258 GSM3393259 GSM3393260 GSM3393261 GSM3393262 GSM3393263 GSM3393264 GSM3393265 GSM3393266 GSM3393267 GSM3393268 GSM3393269 "
!Series_contact_name	"Kristin,,Baldwin"
!Series_contact_email	"kbaldwin@scripps.edu"
!Series_contact_department	"Department of Neuroscience"
!Series_contact_institute	"The Scripps Research Institute"
!Series_contact_address	"10550 North Torrey Pines Road"
!Series_contact_city	"La Jolla"
!Series_contact_state	"California"
!Series_contact_zip/postal_code	"92037"
!Series_contact_country	"USA"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120099/suppl/GSE120099_bulk_combat-batch-corrected_normalized_counts-log-scale.txt.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120099/suppl/GSE120099_bulk_normalized_counts_log-scale.txt.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120099/suppl/GSE120099_bulk_rawcounts.txt.gz"
!Series_platform_id	"GPL16791"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA491651"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP161997"

