Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR7965776,RNA-Seq,51,414378723,PRJNA494710,SAMN10177823,269730105,GEO,Not Failing,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799399,GSM3417066,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417066,Right Ventricle,SRP163478,Right Ventricle
SRR7965777,RNA-Seq,51,631489191,PRJNA494710,SAMN10177852,430736088,GEO,Not Failing,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799400,GSM3417067,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417067,Right Ventricle,SRP163478,Right Ventricle
SRR7965778,RNA-Seq,51,735674847,PRJNA494710,SAMN10177851,475270106,GEO,Not Failing,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799401,GSM3417068,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417068,Right Ventricle,SRP163478,Right Ventricle
SRR7965779,RNA-Seq,51,401465676,PRJNA494710,SAMN10177850,258362836,GEO,Not Failing,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799402,GSM3417069,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417069,Right Ventricle,SRP163478,Right Ventricle
SRR7965780,RNA-Seq,51,535717821,PRJNA494710,SAMN10177849,365933594,GEO,Not Failing,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799403,GSM3417070,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417070,Right Ventricle,SRP163478,Right Ventricle
SRR7965781,RNA-Seq,50,553039487,PRJNA494710,SAMN10177848,380693776,GEO,Left Ventricle Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799404,GSM3417071,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417071,Right Ventricle,SRP163478,Right Ventricle
SRR7965782,RNA-Seq,51,802214292,PRJNA494710,SAMN10177847,546707364,GEO,Left Ventricle Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799405,GSM3417072,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417072,Right Ventricle,SRP163478,Right Ventricle
SRR7965783,RNA-Seq,51,585120654,PRJNA494710,SAMN10177846,398632902,GEO,Left Ventricle Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799406,GSM3417073,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417073,Right Ventricle,SRP163478,Right Ventricle
SRR7965784,RNA-Seq,51,869706111,PRJNA494710,SAMN10177845,595696306,GEO,Left Ventricle Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799407,GSM3417074,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417074,Right Ventricle,SRP163478,Right Ventricle
SRR7965785,RNA-Seq,51,697657713,PRJNA494710,SAMN10177844,476643108,GEO,Left Ventricle Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799408,GSM3417075,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417075,Right Ventricle,SRP163478,Right Ventricle
