!Series_title	"Wipi1 is a Genetic Hub that Mediates Right Ventricular Failure"
!Series_geo_accession	"GSE120852"
!Series_status	"Public on Oct 05 2018"
!Series_submission_date	"Oct 04 2018"
!Series_last_update_date	"May 08 2019"
!Series_pubmed_id	"31021818"
!Series_summary	"Right ventricular dysfunction (RVD) independently predicts worse outcomes in both heart failure (HF) and pulmonary hypertension (PH), irrespective of their etiologies. Yet no evidence-based therapies exist for RVD and progression towards RV failure (RVF) can occur in spite of optimal medical treatment of HF or PH. This disparity reflects our insufficient understanding of the molecular pathophysiology of RVF. To identify molecular mechanisms that may uniquely underlie RVF, we investigated the cardiac ventricular transcriptome of advanced HF patients, with and without RVF. Using weighted gene co-expression network and module-phenotype analyses, we identified a 279-member gene module that correlated significantly and specifically with RVF. Within this module, WIPI1 served as a genetic hub, HSPB6, SNAP47, and MAP4 as drivers, and PRDX5 as a repressor of RVF. We subsequently confirmed the ventricular specificity and temporal relationship of Wipi1, Hspb6, and Map4 transcript expression changes in murine models of pressure overload induced RV failure versus LV failure and subsequently uncovered differential dysregulation of autophagy in the failing RV versus the failing LV, namely a shift towards excessive non-canonical, Beclin1-independent, Wipi1/LC3II-mediated autophagy in RVF. In vitro siRNA silencing of Wipi1 partially protected isolated neonatal rat ventricular cardiac myocytes against aldosterone-induced failing phenotype. Moreover, silencing Wipi1 blunted mitochondrial superoxide production and limited non-canonical autophagy in this in vitro RVF model. Our findings suggest that Wipi1 regulates mitochondrial oxidative signaling and autophagy in cardiac myocytes. Inhibition of Wipi1 may hold promise as a therapeutic target for RVF."
!Series_overall_design	"Examination of RNAseq results from Left and Right Ventricles of 15 individuals, 5 control, 5 left-sided Heart Failure, 5 bi-ventricular Heart Failure"
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Christoph,,Rau"
!Series_contributor	"Emily,,Tsai"
!Series_sample_id	"GSM3417066 GSM3417067 GSM3417068 GSM3417069 GSM3417070 GSM3417071 GSM3417072 GSM3417073 GSM3417074 GSM3417075 GSM3417076 GSM3417077 GSM3417078 GSM3417079 GSM3417080 GSM3417081 GSM3417082 GSM3417083 GSM3417084 GSM3417085 GSM3417086 GSM3417087 GSM3417088 GSM3417089 GSM3417090 GSM3417091 GSM3417092 GSM3417093 GSM3417094 GSM3417095 "
!Series_contact_name	"Christoph,Daniel,Rau"
!Series_contact_email	"chrau@ucla.edu"
!Series_contact_institute	"UCLA"
!Series_contact_address	"675 Charles E Young Drive S"
!Series_contact_city	"Los Angeles"
!Series_contact_state	"United States"
!Series_contact_zip/postal_code	"90095"
!Series_contact_country	"USA"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120852/suppl/GSE120852_Heart_BiV_Results.csv.gz"
!Series_platform_id	"GPL16791"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA494710"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP163478"

!Sample_title	"NF_RV1"	"NF_RV2"	"NF_RV3"	"NF_RV4"	"NF_RV5"	"LV-HF_RV1"	"LV-HF_RV2"	"LV-HF_RV3"	"LV-HF_RV4"	"LV-HF_RV5"	"BiV-HF_RV1"	"BiV-HF_RV2"	"BiV-HF_RV3"	"BiV-HF_RV4"	"BiV-HF_RV5"	"NF_LV1"	"NF_LV2"	"NF_LV3"	"NF_LV4"	"NF_LV5"	"LV-HF_LV1"	"LV-HF_LV2"	"LV-HF_LV3"	"LV-HF_LV4"	"LV-HF_LV5"	"BiV-HF_LV1"	"BiV-HF_LV2"	"BiV-HF_LV3"	"BiV-HF_LV4"	"BiV-HF_LV5"
!Sample_geo_accession	"GSM3417066"	"GSM3417067"	"GSM3417068"	"GSM3417069"	"GSM3417070"	"GSM3417071"	"GSM3417072"	"GSM3417073"	"GSM3417074"	"GSM3417075"	"GSM3417076"	"GSM3417077"	"GSM3417078"	"GSM3417079"	"GSM3417080"	"GSM3417081"	"GSM3417082"	"GSM3417083"	"GSM3417084"	"GSM3417085"	"GSM3417086"	"GSM3417087"	"GSM3417088"	"GSM3417089"	"GSM3417090"	"GSM3417091"	"GSM3417092"	"GSM3417093"	"GSM3417094"	"GSM3417095"
!Sample_status	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"	"Public on Oct 05 2018"
!Sample_submission_date	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"	"Oct 04 2018"
!Sample_last_update_date	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"	"Oct 08 2018"
!Sample_type	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Right Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"	"Left Ventricle"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
