Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,time_point,tissue,dangling_references (run)
SRR8197969,RNA-Seq,GRCh37.p13,116,2380025886,PRJNA505785,SAMN10435212,1418476341,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017346,GSM3476367,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476367,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197970,RNA-Seq,GRCh37,114,1970528752,PRJNA505785,SAMN10435211,1172640182,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017347,GSM3476368,Infected with M Smeg,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476368,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197971,RNA-Seq,GRCh37.p13,115,2402465719,PRJNA505785,SAMN10435210,1430241891,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017348,GSM3476369,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476369,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197972,RNA-Seq,GRCh37.p13,114,1967947873,PRJNA505785,SAMN10435209,1189670980,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017349,GSM3476370,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476370,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197973,RNA-Seq,GRCh37.p13,115,2489133939,PRJNA505785,SAMN10435208,1462394680,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017350,GSM3476371,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476371,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197974,RNA-Seq,GRCh37.p13,115,3617744824,PRJNA505785,SAMN10435207,2084635079,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017351,GSM3476372,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476372,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197975,RNA-Seq,GRCh37.p13,115,2230697872,PRJNA505785,SAMN10435206,1322504561,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017352,GSM3476373,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476373,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197976,RNA-Seq,GRCh37.p13,116,2029704952,PRJNA505785,SAMN10435205,1216216160,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017353,GSM3476374,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476374,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197977,RNA-Seq,GRCh37.p13,116,2968745289,PRJNA505785,SAMN10435204,1739152788,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017354,GSM3476375,Infected with M Smeg,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476375,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197978,RNA-Seq,GRCh37.p13,116,2213866192,PRJNA505785,SAMN10435203,1335265484,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017355,GSM3476376,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476376,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
