!Series_title	"Global transcriptomic investigation of the human macrophage response towards pathogenic/non-pathogenic mycobacteria"
!Series_geo_accession	"GSE122619"
!Series_status	"Public on Dec 02 2019"
!Series_submission_date	"Nov 16 2018"
!Series_last_update_date	"Mar 16 2020"
!Series_pubmed_id	"32052695"
!Series_summary	"We present an infection study with pathogenic and non-pathogenic mycobacterial strains that have vastly different characteristics. The early/late host response to infection with these detergent-free cultured strains will be analysed through Ampliseq and further validated through qPCR in an attempt to provide information on the subtleties which may ultimately contribute to the virulent phenotype. Proceeding to the next objective of the study is to knock-down (siRNA)/knock-up (saRNA) selected differentially expressed mRNA to study their role in the intracellular survival of M. tuberculosis"
!Series_overall_design	"PBMC isolated from human blood, infected with either pathogenic (R179) or non-pathogenic (M. bovis BCG or M. Smegmatis). Total RNA extracted and subjected to Ion AmpliSeq to detect differentially expressed genes. DE genes detected was validated using qPCR"
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Abhilasha,,Madhvi"
!Series_contributor	"Bienyameen,,Baker"
!Series_sample_id	"GSM3476367 GSM3476368 GSM3476369 GSM3476370 GSM3476371 GSM3476372 GSM3476373 GSM3476374 GSM3476375 GSM3476376 GSM3476377 GSM3476378 GSM3476379 GSM3476380 GSM3476381 GSM3476382 GSM3476383 GSM3476384 GSM3476385 GSM3476386 GSM3476387 GSM3476388 GSM3476389 GSM3476390 GSM3476391 GSM3476392 GSM3476393 GSM3476394 GSM3476395 GSM3476396 GSM3476397 GSM3476398 GSM3476399 GSM3476400 GSM3476401 GSM3476402 GSM3476403 GSM3476404 GSM3476405 GSM3476406 GSM3476407 GSM3476408 GSM3476409 GSM3476410 GSM3476411 GSM3476412 GSM3476413 GSM3476414 GSM3476415 GSM3476416 GSM3476417 GSM3476418 GSM3476419 GSM3476420 GSM3476421 GSM3476422 GSM3476423 GSM3476424 GSM3476425 GSM3476426 GSM3476427 GSM3476428 GSM3476429 GSM3476430 GSM3476431 GSM3476432 GSM3476433 GSM3476434 GSM3476435 GSM3476436 GSM3476437 GSM3476438 GSM3476439 GSM3476440 GSM3476441 GSM3476442 GSM3476443 GSM3476444 GSM3476445 GSM3476446 GSM3476447 GSM3476448 GSM3476449 GSM3476450 "
!Series_contact_name	"Abhilasha,,Madhvi"
!Series_contact_institute	"Stellenbosch University"
!Series_contact_address	"Francie van Zijl Drive. Tygerberg"
!Series_contact_city	"Bellville"
!Series_contact_state	"Western Cape"
!Series_contact_zip/postal_code	"7505"
!Series_contact_country	"South Africa"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122619/suppl/GSE122619_Key_file_Sample_metadata-to-header.xls.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122619/suppl/GSE122619_Normalized_gene_counts.txt.gz"
!Series_platform_id	"GPL17303"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA505785"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP169071"

!Sample_title	"HC1_12hrs_UI"	"HC1_12hrs_Msmeg"	"HC1_12hrs_BCG"	"HC1_12hrs_R179"	"HC1_96hrs_UI"	"HC1_96hrs_BCG"	"HC1_96hrs_R179"	"HC2_12hrs_UI"	"HC2_12hrs_Msmeg"	"HC2_12hrs_BCG"	"HC2_12hrs_R179"	"HC2_96hrs_UI"	"HC2_96hrs_BCG"	"HC2_96hrs_R179"	"HC3_12hrs_UI"	"HC3_12hrs_Msmeg"	"HC3_12hrs_BCG"	"HC3_12hrs_R179"	"HC3_96hrs_UI"	"HC3_96hrs_BCG"	"HC3_96hrs_R179"	"HC4_12hrs_UI"	"HC4_12hrs_Msmeg"	"HC4_12hrs_BCG"	"HC4_12hrs_R179"	"HC4_96hrs_UI"	"HC4_96hrs_BCG"	"HC4_96hrs_R179"	"HC5_12hrs_UI"	"HC5_12hrs_Msmeg"	"HC5_12hrs_BCG"	"HC5_12hrs_R179"	"HC5_96hrs_UI"	"HC5_96hrs_BCG"	"HC5_96hrs_R179"	"HC6_12hrs_UI"	"HC6_12hrs_Msmeg"	"HC6_12hrs_BCG"	"HC6_12hrs_R179"	"HC6_96hrs_UI"	"HC6_96hrs_BCG"	"HC6_96hrs_R179"	"HC7_12hrs_UI"	"HC7_12hrs_Msmeg"	"HC7_12hrs_BCG"	"HC7_12hrs_R179"	"HC7_96hrs_UI"	"HC7_96hrs_BCG"	"HC7_96hrs_R179"	"HC8_12hrs_UI"	"HC8_12hrs_Msmeg"	"HC8_12hrs_BCG"	"HC8_12hrs_R179"	"HC8_96hrs_UI"	"HC8_96hrs_BCG"	"HC8_96hrs_R179"	"HC9_12hrs_UI"	"HC9_12hrs_Msmeg"	"HC9_12hrs_BCG"	"HC9_12hrs_R179"	"HC9_96hrs_UI"	"HC9_96hrs_BCG"	"HC9_96hrs_R179"	"HC10_12hrs_UI"	"HC10_12hrs_Msmeg"	"HC10_12hrs_BCG"	"HC10_12hrs_R179"	"HC10_96hrs_UI"	"HC10_96hrs_BCG"	"HC10_96hrs_R179"	"HC11_12hrs_UI"	"HC11_12hrs_Msmeg"	"HC11_12hrs_BCG"	"HC11_12hrs_R179"	"HC11_96hrs_UI"	"HC11_96hrs_BCG"	"HC11_96hrs_R179"	"HC12_12hrs_UI"	"HC12_12hrs_Msmeg"	"HC12_12hrs_BCG"	"HC12_12hrs_R179"	"HC12_96hrs_UI"	"HC12_96hrs_BCG"	"HC12_96hrs_R179"
!Sample_geo_accession	"GSM3476367"	"GSM3476368"	"GSM3476369"	"GSM3476370"	"GSM3476371"	"GSM3476372"	"GSM3476373"	"GSM3476374"	"GSM3476375"	"GSM3476376"	"GSM3476377"	"GSM3476378"	"GSM3476379"	"GSM3476380"	"GSM3476381"	"GSM3476382"	"GSM3476383"	"GSM3476384"	"GSM3476385"	"GSM3476386"	"GSM3476387"	"GSM3476388"	"GSM3476389"	"GSM3476390"	"GSM3476391"	"GSM3476392"	"GSM3476393"	"GSM3476394"	"GSM3476395"	"GSM3476396"	"GSM3476397"	"GSM3476398"	"GSM3476399"	"GSM3476400"	"GSM3476401"	"GSM3476402"	"GSM3476403"	"GSM3476404"	"GSM3476405"	"GSM3476406"	"GSM3476407"	"GSM3476408"	"GSM3476409"	"GSM3476410"	"GSM3476411"	"GSM3476412"	"GSM3476413"	"GSM3476414"	"GSM3476415"	"GSM3476416"	"GSM3476417"	"GSM3476418"	"GSM3476419"	"GSM3476420"	"GSM3476421"	"GSM3476422"	"GSM3476423"	"GSM3476424"	"GSM3476425"	"GSM3476426"	"GSM3476427"	"GSM3476428"	"GSM3476429"	"GSM3476430"	"GSM3476431"	"GSM3476432"	"GSM3476433"	"GSM3476434"	"GSM3476435"	"GSM3476436"	"GSM3476437"	"GSM3476438"	"GSM3476439"	"GSM3476440"	"GSM3476441"	"GSM3476442"	"GSM3476443"	"GSM3476444"	"GSM3476445"	"GSM3476446"	"GSM3476447"	"GSM3476448"	"GSM3476449"	"GSM3476450"
!Sample_status	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"	"Public on Dec 02 2019"
