Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Condition,dkk1_level,source_name,tissue
SRR8648244,RNA-Seq,202,2722105742,PRJNA524920,SAMN11038728,1380472868,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX5446024,GSM3636104,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636104,SRP187151,Tumor,upregulated,Lung Tumor Sample,Lung
SRR8648249,RNA-Seq,202,3022427424,PRJNA524920,SAMN11038723,1543031058,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX5446029,GSM3636109,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636109,SRP187151,Tumor,downregulated,Lung Tumor Sample,Lung
SRR8648252,RNA-Seq,202,2485486982,PRJNA524920,SAMN11038720,1257844446,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX5446032,GSM3636112,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636112,SRP187151,Tumor,upregulated,Lung Tumor Sample,Lung
SRR8648254,RNA-Seq,202,2774587362,PRJNA524920,SAMN11038717,1433971768,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX5446035,GSM3636114,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636114,SRP187151,Normal,none,Lung Normal Sample,Lung
SRR8648257,RNA-Seq,202,2903179552,PRJNA524920,SAMN11038714,1466465929,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX5446038,GSM3636117,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636117,SRP187151,Normal,none,Lung Normal Sample,Lung
SRR8648245,RNA-Seq,202,2657795204,PRJNA524920,SAMN11038727,1343991473,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX5446025,GSM3636105,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636105,SRP187151,,,,
SRR8648246,RNA-Seq,202,3084410316,PRJNA524920,SAMN11038726,1590012712,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX5446026,GSM3636106,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636106,SRP187151,,,,
SRR8648247,RNA-Seq,202,2894710904,PRJNA524920,SAMN11038725,1465396343,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX5446027,GSM3636107,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636107,SRP187151,Normal,none,Lung Normal Sample,Lung
SRR8648248,RNA-Seq,202,3102785246,PRJNA524920,SAMN11038724,1579584218,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX5446028,GSM3636108,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636108,SRP187151,,,,
SRR8648250,RNA-Seq,202,2623393190,PRJNA524920,SAMN11038722,1354232092,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX5446030,GSM3636110,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636110,SRP187151,,,,
SRR8648251,RNA-Seq,202,2779081458,PRJNA524920,SAMN11038721,1405984869,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX5446031,GSM3636111,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636111,SRP187151,,,,
SRR8648253,RNA-Seq,202,3008764952,PRJNA524920,SAMN11038718,1524249465,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX5446033,GSM3636113,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636113,SRP187151,Tumor,upregulated,Lung Tumor Sample,Lung
SRR8648255,RNA-Seq,202,2970523726,PRJNA524920,SAMN11038716,1491430251,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX5446036,GSM3636115,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636115,SRP187151,Normal,none,Lung Normal Sample,Lung
SRR8648256,RNA-Seq,202,2607032604,PRJNA524920,SAMN11038715,1328809466,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX5446037,GSM3636116,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM3636116,SRP187151,Tumor,upregulated,Lung Tumor Sample,Lung
