!Series_title	"Epigenetic footprint of hepatoblastoma defines a novel integrative molecular classification with clinical implications [RNA-seq]"
!Series_geo_accession	"GSE133039"
!Series_status	"Public on Mar 23 2020"
!Series_submission_date	"Jun 19 2019"
!Series_last_update_date	"Jul 08 2020"
!Series_pubmed_id	"32240714"
!Series_summary	"Hepatoblastoma (HB) is the predominant pediatric liver cancer with limited therapeutic options for patients with aggressive tumors. Nevertheless, it is a rare disease. Here, we performed a high-throughput molecular study of 32 patients with HB and major findings were validated in additional 80 cases. We unveiled an epigenetic footprint including downregulation of RNA-editing, hyperediting of the tumor suppressor BLCAP,14q32 DLK1-DIO3 locus overexpression, DNA hypomethylation and CpG island hypermethylation. Based on these findings, we defined an integrative molecular classification of HB that improve current clinical stratification, and identified CHKA as a therapeutic target for the poor prognostic subclass."
!Series_overall_design	"66 RNA samples sequenced from 32 patients with hepatoblastoma."
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Juan,,Carrillo-Reixach"
!Series_contributor	"Laura,,Torrens"
!Series_contributor	"Marina,,Simon-Coma"
!Series_contributor	"Laura,,Royo"
!Series_contributor	"Montserrat,,Domingo-Sàbat"
!Series_contributor	"Jordi,,Abril-Fornaguera"
!Series_contributor	"Nicholas,,Akers"
!Series_contributor	"Margarita,,Sala"
!Series_contributor	"Sonia,,Ragull"
!Series_contributor	"Magdalena,,Arnal"
!Series_contributor	"Núria,,Villalmanzo"
!Series_contributor	"Stefano,,Cairo"
!Series_contributor	"Alberto,,Villanueva"
!Series_contributor	"Roland,,Kappler"
!Series_contributor	"Marta,,Garrido"
!Series_contributor	"Laura,,Guerra"
!Series_contributor	"Constantino,,Sábado"
!Series_contributor	"Gabriela,,Guillén"
!Series_contributor	"Mar,,Mallo"
!Series_contributor	"David,,Piñeyro"
!Series_contributor	"María,,Vázquez-Vitali"
!Series_contributor	"Olga,,Kuchuk"
!Series_contributor	"María Elena,,Mateos"
!Series_contributor	"Gema,,Ramírez"
!Series_contributor	"Manuel,,López-Santamaría"
!Series_contributor	"Yasmina,,Mozo"
!Series_contributor	"Aroa,,Soriano"
!Series_contributor	"Michael,,Grotzer"
!Series_contributor	"Sophie,,Branchereau"
!Series_contributor	"Nagore,,García de Andoin"
!Series_contributor	"Blanca,,López-Ibor"
!Series_contributor	"Ricardo,,López-Almaraz"
!Series_contributor	"José Antonio,,Salinas"
!Series_contributor	"Bárbara,,Torres"
!Series_contributor	"Francisco,,Hernández"
!Series_contributor	"José Javier,,Uriz"
!Series_contributor	"Monique,,Fabre"
!Series_contributor	"Julià,,Blanco"
!Series_contributor	"Claudia,,Paris"
!Series_contributor	"Viera,,Bajčiová"
!Series_contributor	"Geneviève,,Laureys"
!Series_contributor	"Helena,,Masnou"
!Series_contributor	"Ariadna,,Clos"
!Series_contributor	"Cristina,,Belendez"
!Series_contributor	"Catherine,,Guettier"
!Series_contributor	"Lauro,,Sumoy"
!Series_contributor	"Ramón,,Planas"
!Series_contributor	"Mireia,,Jordà"
!Series_contributor	"Lara,,Nonell"
!Series_sample_id	"GSM3898697 GSM3898698 GSM3898699 GSM3898700 GSM3898701 GSM3898702 GSM3898703 GSM3898704 GSM3898705 GSM3898706 GSM3898707 GSM3898708 GSM3898709 GSM3898710 GSM3898711 GSM3898712 GSM3898713 GSM3898714 GSM3898715 GSM3898716 GSM3898717 GSM3898718 GSM3898719 GSM3898720 GSM3898721 GSM3898722 GSM3898723 GSM3898724 GSM3898725 GSM3898726 GSM3898727 GSM3898728 GSM3898729 GSM3898730 GSM3898731 GSM3898732 GSM3898733 GSM3898734 GSM3898735 GSM3898736 GSM3898737 GSM3898738 GSM3898739 GSM3898740 GSM3898741 GSM3898742 GSM3898743 GSM3898744 GSM3898745 GSM3898746 GSM3898747 GSM3898748 GSM3898749 GSM3898750 GSM3898751 GSM3898752 GSM3898753 GSM3898754 GSM3898755 GSM3898756 GSM3898757 GSM3898758 GSM3898759 GSM3898760 GSM3898761 GSM3898762 "
!Series_contact_name	"Carolina,,Armengol"
!Series_contact_email	"carmengol@igtp.cat"
!Series_contact_phone	"+34670799690"
!Series_contact_institute	"Germans Trias i Pujol Health Research Institute"
!Series_contact_address	"Crta Can Ruti; cami de les escoles, S/N"
!Series_contact_city	"Badalona"
!Series_contact_state	"Barcelona"
!Series_contact_zip/postal_code	"08916"
!Series_contact_country	"Spain"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133039/suppl/GSE133039_RNAseq_counts_32patients.txt.gz"
!Series_platform_id	"GPL16791"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
