Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Patient,source_name,Tissue
SRR10043500,RNA-Seq,152,2939091304,PRJNA562898,SAMN12658271,1079006083,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX6778278,GSM4053402,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-23T00:00:00Z,GSM4053402,SRP219837,COAD-004,Tumor,Colorectal tumor
SRR10043502,RNA-Seq,152,4495939144,PRJNA562898,SAMN12658269,1644947122,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX6778280,GSM4053404,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-23T00:00:00Z,GSM4053404,SRP219837,COAD-014,Tumor,Colorectal tumor
SRR10043504,RNA-Seq,152,5475118432,PRJNA562898,SAMN12658267,2018992973,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX6778282,GSM4053406,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-23T00:00:00Z,GSM4053406,SRP219837,,,
SRR10043506,RNA-Seq,152,5093000920,PRJNA562898,SAMN12658265,1891094577,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX6778284,GSM4053408,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-23T00:00:00Z,GSM4053408,SRP219837,COAD-004,Adjacent Normal,Adjacent normal colon
SRR10043508,RNA-Seq,152,6080365864,PRJNA562898,SAMN12658263,2229989145,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6778286,GSM4053410,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-23T00:00:00Z,GSM4053410,SRP219837,COAD-014,Adjacent Normal,Adjacent normal colon
SRR10043499,RNA-Seq,152,2259785672,PRJNA562898,SAMN12658249,900665714,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX6778277,GSM4053401,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-23T00:00:00Z,GSM4053401,SRP219837,COAD-001,Tumor,Colorectal tumor
SRR10043501,RNA-Seq,152,4711476664,PRJNA562898,SAMN12658270,1751496261,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX6778279,GSM4053403,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-23T00:00:00Z,GSM4053403,SRP219837,COAD-012,Tumor,Colorectal tumor
SRR10043503,RNA-Seq,152,2530755464,PRJNA562898,SAMN12658268,931830560,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX6778281,GSM4053405,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-23T00:00:00Z,GSM4053405,SRP219837,,,
SRR10043505,RNA-Seq,152,4723809792,PRJNA562898,SAMN12658266,1741594926,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX6778283,GSM4053407,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-23T00:00:00Z,GSM4053407,SRP219837,COAD-017,Tumor,Colorectal tumor
SRR10043507,RNA-Seq,152,5279971256,PRJNA562898,SAMN12658264,1969500173,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX6778285,GSM4053409,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-23T00:00:00Z,GSM4053409,SRP219837,COAD-012,Adjacent Normal,Adjacent normal colon
SRR10043509,RNA-Seq,152,5473731888,PRJNA562898,SAMN12658262,2060167797,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX6778287,GSM4053411,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-23T00:00:00Z,GSM4053411,SRP219837,COAD-016,Adjacent Normal,Adjacent normal colon
SRR10043510,RNA-Seq,152,5219357912,PRJNA562898,SAMN12658261,1952934767,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX6778288,GSM4053412,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-23T00:00:00Z,GSM4053412,SRP219837,COAD-017,Adjacent Normal,Adjacent normal colon
