Run;Assay Type;AvgSpotLen;Bases;BioProject;BioSample;Bytes;Cell_Line;Center Name;Consent;DATASTORE filetype;DATASTORE provider;DATASTORE region;disease_state;Experiment;genome_build;GEO_Accession (exp);Instrument;LibraryLayout;LibrarySelection;LibrarySource;Organism;Platform;ReleaseDate;Sample Name;source_name;SRA Study;Tissue
SRR10961193;RNA-Seq;150;958076850;PRJNA603068;SAMN13916505;404422621;AD2-01;GEO;public;fastq,sra;gs,s3;gs.US,s3.us-east-1;healthy control;SRX7626950;GRCh38;GSM4282807;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282807;AD2 IPSC;SRP244622;IPSC
SRR10961194;RNA-Seq;150;1150755300;PRJNA603068;SAMN13916505;450616985;AD2-01;GEO;public;fastq,sra;ncbi,s3,gs;s3.us-east-1,ncbi.public,gs.US;healthy control;SRX7626950;GRCh38;GSM4282807;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282807;AD2 IPSC;SRP244622;IPSC
SRR10961195;RNA-Seq;150;1154836800;PRJNA603068;SAMN13916505;453040410;AD2-01;GEO;public;sra,fastq;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626950;GRCh38;GSM4282807;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282807;AD2 IPSC;SRP244622;IPSC
SRR10961196;RNA-Seq;150;1155909900;PRJNA603068;SAMN13916505;455540182;AD2-01;GEO;public;fastq,sra;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626950;GRCh38;GSM4282807;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282807;AD2 IPSC;SRP244622;IPSC
SRR10961197;RNA-Seq;150;1290471300;PRJNA603068;SAMN13916504;544226289;AD3-01;GEO;public;sra,fastq;gs,s3;gs.US,s3.us-east-1;healthy control;SRX7626951;GRCh38;GSM4282808;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282808;AD3 IPSC;SRP244622;IPSC
SRR10961198;RNA-Seq;150;1556215500;PRJNA603068;SAMN13916504;606857552;AD3-01;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626951;GRCh38;GSM4282808;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282808;AD3 IPSC;SRP244622;IPSC
SRR10961199;RNA-Seq;150;1560914850;PRJNA603068;SAMN13916504;609840704;AD3-01;GEO;public;fastq,sra;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626951;GRCh38;GSM4282808;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282808;AD3 IPSC;SRP244622;IPSC
SRR10961200;RNA-Seq;150;1560634200;PRJNA603068;SAMN13916504;612437685;AD3-01;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626951;GRCh38;GSM4282808;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282808;AD3 IPSC;SRP244622;IPSC
SRR10961201;RNA-Seq;150;1266183450;PRJNA603068;SAMN13916503;521953822;AH017;GEO;public;sra,fastq;gs,s3;gs.US,s3.us-east-1;healthy control;SRX7626952;GRCh38;GSM4282809;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282809;AH017 IPSC;SRP244622;IPSC
SRR10961202;RNA-Seq;150;1512023850;PRJNA603068;SAMN13916503;570907375;AH017;GEO;public;fastq,sra;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626952;GRCh38;GSM4282809;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282809;AH017 IPSC;SRP244622;IPSC
