Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,subject_status,tumor/non-tumor,AssemblyName,GEO_Accession (exp),intentional_duplicate (run),Library Name
SRR10969185,RNA-Seq,274,18588732236,PRJNA603277,SAMN13927134,3026335050,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX7634784,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284605,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GRCH38,GSM4284605,,
SRR10969186,RNA-Seq,268,22612795901,PRJNA603277,SAMN13927133,4137007065,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX7634785,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284606,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284606,,
SRR10969187,RNA-Seq,260,15785380633,PRJNA603277,SAMN13927132,2428573218,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX7634786,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284607,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284607,,
SRR10969188,RNA-Seq,272,19381948272,PRJNA603277,SAMN13927131,3358906676,GEO,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX7634787,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284608,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284608,,
SRR10969189,RNA-Seq,262,17751335824,PRJNA603277,SAMN13927130,2833836551,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634788,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284609,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284609,,
SRR10969190,RNA-Seq,269,18443350608,PRJNA603277,SAMN13927129,2934010062,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634789,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284610,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284610,,
SRR10969191,RNA-Seq,272,16307635158,PRJNA603277,SAMN13927128,2197456240,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX7634790,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284611,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284611,,
SRR10969192,RNA-Seq,269,24160369498,PRJNA603277,SAMN13927127,3773747990,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX7634791,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284612,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284612,,
SRR10969193,RNA-Seq,263,17361311998,PRJNA603277,SAMN13927126,2879967605,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634792,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284613,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284613,,
SRR10969194,RNA-Seq,267,15266618001,PRJNA603277,SAMN13927125,2978374262,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX7634793,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284614,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284614,,
SRR10969195,RNA-Seq,270,17959253951,PRJNA603277,SAMN13927124,2782693607,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX7634794,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284615,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284615,,
SRR10969196,RNA-Seq,273,19441584885,PRJNA603277,SAMN13927123,3330239876,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX7634795,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284616,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284616,,
SRR10969197,RNA-Seq,270,17588498423,PRJNA603277,SAMN13927122,2356548007,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX7634796,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284617,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284617,,
SRR10969198,RNA-Seq,271,20718449973,PRJNA603277,SAMN13927121,3307776984,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX7634797,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284618,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284618,,
SRR10969199,RNA-Seq,256,16355470261,PRJNA603277,SAMN13927120,3403011612,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX7634798,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284619,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284619,,
