Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_day,Experiment,Genotype,GEO_Accession (exp),Instrument,integration_detected,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sequencing_batch,sex,source_name,SRA Study,Tissue
SRR11015300,RNA-Seq,150,14535547338,PRJNA604752,SAMN13979732,6288979546,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",22,SRX7670906,Control,GSM4294492,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294492,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015301,RNA-Seq,152,18500458688,PRJNA604752,SAMN13979731,7465213872,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",22,SRX7670907,Control,GSM4294493,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294493,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015302,RNA-Seq,150,18803781920,PRJNA604752,SAMN13979730,8233471720,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",22,SRX7670908,Control,GSM4294494,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294494,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015303,RNA-Seq,150,14372524872,PRJNA604752,SAMN13979729,6026521470,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",22,SRX7670909,Control,GSM4294495,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294495,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015304,RNA-Seq,150,17856726995,PRJNA604752,SAMN13979728,7809116436,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",22,SRX7670910,Control,GSM4294496,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294496,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015305,RNA-Seq,150,29111703011,PRJNA604752,SAMN13979727,13013537626,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",22,SRX7670911,Control,GSM4294497,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294497,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015306,RNA-Seq,150,22748119323,PRJNA604752,SAMN13979726,9410971556,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",22,SRX7670912,Control,GSM4294498,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294498,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015307,RNA-Seq,150,17126548711,PRJNA604752,SAMN13979725,7192827316,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",22,SRX7670913,Control,GSM4294499,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294499,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015308,RNA-Seq,150,16573872111,PRJNA604752,SAMN13979724,7443958303,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",22,SRX7670914,16p11.2 deletion,GSM4294500,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294500,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015309,RNA-Seq,152,13935148872,PRJNA604752,SAMN13979770,5173622794,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",22,SRX7670915,16p11.2 deletion,GSM4294501,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294501,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
