!Series_title	"Chromatin accessibility and gene expression maps of Plasma Cells and Myeloma Plasma Cells [RNA-seq]"
!Series_geo_accession	"GSE153380"
!Series_status	"Public on Jun 29 2021"
!Series_submission_date	"Jun 26 2020"
!Series_last_update_date	"Jun 29 2021"
!Series_summary	"We report the application of paired Assay for Transposase-Accessible Chromatin (ATAC-seq) and RNA-seq data to profile the regulatory landscape and expression of 5 primary Plasma Cell (PC), 28 Multiple Myeloma (MM) PC as well as 5 cell lines samples. Findings discriminated MM and MM subgroup-specific changes such as the exclusive overexpression of CCND1 and CCND2 oncogenes. DNA accessibility changes were correlated to gene expression in a topologically constrained manner to elucidate novel enhancer - promoter interactions, genes and pathways critical for myeloma biology and developmentally activated or de novo formed enhancers. Additionally, the MM subgroup-specific TF network dependencies were studied to help identify prognostic markers. Finally, we discover and functionally validate the critical enhancer that regulates ectopic expression of CCND2 in MM."
!Series_overall_design	"Examination of paired ATAC-seq and RNA-seq data of 5 primary Plasma Cell (PC), 28 Multiple Myeloma (MM) PC as well as 5 cell lines samples."
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Jaime,,Alvarez-Benayas"
!Series_contributor	"Alexia,,Katsarou"
!Series_contributor	"Nikolaos,,Trasanidis"
!Series_contributor	"Aristeidis,,Chaidos"
!Series_contributor	"Kanagaraju,,Ponnusamy"
!Series_contributor	"Xiaolin,,Xiao"
!Series_contributor	"Marco,,Bua"
!Series_contributor	"Maria,,Atta"
!Series_contributor	"Irene,A,Roberts"
!Series_contributor	"Holger,W,Auner"
!Series_contributor	"Evdoxia,,Hatjiharissi"
!Series_contributor	"Maria,,Papaioannou"
!Series_contributor	"Valentina,S,Caputo"
!Series_contributor	"Ian,M,Sudbery"
!Series_contributor	"Anastasios,,Karadimitris"
!Series_contributor	"Philippa,C,May"
!Series_sample_id	"GSM4643258 GSM4643259 GSM4643260 GSM4643261 GSM4643262 GSM4643263 GSM4643264 GSM4643265 GSM4643266 GSM4643267 GSM4643268 GSM4643269 GSM4643270 GSM4643271 GSM4643272 GSM4643273 GSM4643274 GSM4643275 GSM4643276 GSM4643277 GSM4643278 GSM4643279 GSM4643280 GSM4643281 GSM4643282 GSM4643283 GSM4643284 GSM4643285 GSM4643286 GSM4643287 GSM4643288 GSM4643289 GSM4643290 GSM4643291 GSM4643292 GSM4643293 GSM4643294 GSM4643295 "
!Series_contact_name	"Ian,,Sudbery"
!Series_contact_email	"i.sudbery@sheffield.ac.uk"
!Series_contact_laboratory	"Sudbery Lab for Computational Genomics"
!Series_contact_department	"Molecular Biology and Biotechnology"
!Series_contact_institute	"University of Sheffield"
!Series_contact_address	"Firth Court, Western Bank"
!Series_contact_city	"Sheffield"
!Series_contact_zip/postal_code	"S11 8HG"
!Series_contact_country	"United Kingdom"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153380/suppl/GSE153380_Raw_counts_in_57992_quantified_genes.tsv.gz"
!Series_platform_id	"GPL20301"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"SubSeries of: GSE153381"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA642175"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP268939"

!Sample_title	"RNA-seq_A17.9"	"RNA-seq_A19.1"	"RNA-seq_A19.2"	"RNA-seq_A19.5"	"RNA-seq_A19.8"	"RNA-seq_A24.7"	"RNA-seq_A19.6"	"RNA-seq_A24.4"	"RNA-seq_A28.13"	"RNA-seq_A28c.14"	"RNA-seq_A26.6B"	"RNA-seq_A26.15B"	"RNA-seq_A27.20"	"RNA-seq_A26.8"	"RNA-seq_A26.9B"	"RNA-seq_A26.10B"	"RNA-seq_A26.12"	"RNA-seq_A26.13"	"RNA-seq_A27.12"	"RNA-seq_A27.18"	"RNA-seq_A26.1"	"RNA-seq_A26.18"	"RNA-seq_A26.19"	"RNA-seq_A27.21"	"RNA-seq_A27.22"	"RNA-seq_A24.10"	"RNA-seq_A24.11"	"RNA-seq_A24.8"	"RNA-seq_A17.5"	"RNA-seq_A26.14"	"RNA-seq_A26.11"	"RNA-seq_A27.19"	"RNA-seq_A28.15"	"RNA-seq_A28.7"	"RNA-seq_A28c.3"	"RNA-seq_A28c.5"	"RNA-seq_A28c.6"	"RNA-seq_AJJN3.1"
!Sample_geo_accession	"GSM4643258"	"GSM4643259"	"GSM4643260"	"GSM4643261"	"GSM4643262"	"GSM4643263"	"GSM4643264"	"GSM4643265"	"GSM4643266"	"GSM4643267"	"GSM4643268"	"GSM4643269"	"GSM4643270"	"GSM4643271"	"GSM4643272"	"GSM4643273"	"GSM4643274"	"GSM4643275"	"GSM4643276"	"GSM4643277"	"GSM4643278"	"GSM4643279"	"GSM4643280"	"GSM4643281"	"GSM4643282"	"GSM4643283"	"GSM4643284"	"GSM4643285"	"GSM4643286"	"GSM4643287"	"GSM4643288"	"GSM4643289"	"GSM4643290"	"GSM4643291"	"GSM4643292"	"GSM4643293"	"GSM4643294"	"GSM4643295"
!Sample_status	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"	"Public on Jun 29 2021"
!Sample_submission_date	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"	"Jun 26 2020"
!Sample_last_update_date	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"	"Jun 29 2021"
!Sample_type	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Plasma cell CD19 plus, donor 230218"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell CD19 plus 160617"	"Plasma cell CD19 minus, donor 160617"	"Plasma cell CD19 plus, donor 271017"	"Plasma cell CD19 minus, donor 271017"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"Primary plasma cell multiple myeloma"	"OPM2 multiple myeloma cell line t(4;14) MMSET"	"MM1S multiple myeloma cell line t(14;16) MAF"	"KMS12BM multiple myeloma cell line t(11;14) CCND1"	"U266 multiple myeloma cell line - t(11;14) CCND1"	"JJN3 multiple myeloma cell line t(14;16) MAF"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
!Sample_characteristics_ch1	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: Bone marrow"	"tissue: multiple myeloma cell line"	"tissue: multiple myeloma cell line"	"tissue: multiple myeloma cell line"	"tissue: multiple myeloma cell line"	"tissue: multiple myeloma cell line"
!Sample_characteristics_ch1	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: PC"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: PC"	"condition: PC"	"condition: PC"	"condition: PC"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"cell line: OPM2"	"cell line: MM1S"	"cell line: KMS12BM"	"cell line: U266"	"cell line: JJN3"
!Sample_characteristics_ch1	"cytogenetics: hyperdiploid, TP53 deletion, IgH rearranged"	"cytogenetics: hyperdiploid, +1q"	"cytogenetics: t(11;14) - CCND1, pending in house FISH"	"cytogenetics: hyperdiploid, +9q subclonal"	"cytogenetics: t(4;14) - MMSET"	"cytogenetics: hyperdiploid with subclonal gain of 1q"	"selected surface markers: CD138+"	"cytogenetics: hyperdiploid, +1q"	"cytogenetics: t(4;14) - MMSET"	"primary subgroup: ND"	"cytogenetics: hyperdiploid, subclonal +1q (30%)"	"cytogenetics: hyperdiploid (+17, +9, +15)"	"cytogenetics: TP53 deletion"	"cytogenetics: t(11;14) - CCND1"	"cytogenetics: hyperdiploid, TP53 del, +1q"	"cytogenetics: t(4;14) - MMSET"	"cytogenetics: t(14;16) - MAF, p53 del (-17p), +1q"	"cytogenetics: hyperdiploid"	"cytogenetics: hyperdiploid"	"selected surface markers: CD138+"	"cytogenetics: hyperdiploid, +1q"	"primary subgroup: ND"	"primary subgroup: ND"	"primary subgroup: ND"	"primary subgroup: ND"	"selected surface markers: CD138+"	"cytogenetics: hyperdiploid, +1q"	"cytogenetics: hyperdiploid, +1q"	"selected surface markers: CD138+"	"cytogenetics: t(11;14) - CCND1, gain of 1q and partial deletion of TP53"	"cytogenetics: t(14;16) - MAF, pseudohyperdiploid, cMAF, +1q"	"cytogenetics: t(4;14) - MMSET"	"cytogenetics: t(11;14) - CCND1"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"	"condition: MM"
!Sample_characteristics_ch1	"primary subgroup: HD"	"primary subgroup: HD"	"primary subgroup: CCND1"	"primary subgroup: HD"	"primary subgroup: MMSET"	"primary subgroup: HD"	"sequencing batch: 1"	"primary subgroup: HD"	"primary subgroup: MMSET"	"pc cd19 status: plus"	"primary subgroup: HD"	"primary subgroup: HD"	"selected surface markers: CD138+"	"primary subgroup: CCND1"	"primary subgroup: HD"	"primary subgroup: MMSET"	"primary subgroup: MAF"	"primary subgroup: HD"	"primary subgroup: HD"	"sequencing batch: 2"	"primary subgroup: HD"	"pc cd19 status: plus"	"pc cd19 status: minus"	"pc cd19 status: plus"	"pc cd19 status: minus"	"sequencing batch: 1"	"primary subgroup: HD"	"primary subgroup: HD"	"sequencing batch: 2"	"primary subgroup: CCND1"	"primary subgroup: MAF"	"primary subgroup: MMSET"	"primary subgroup: CCND1"	"cytogenetics: OPM2 t(4;14) MMSET"	"cytogenetics: MM1S t(14;16) MAF"	"cytogenetics: KMS12BM t(11;14) CCND1"	"cytogenetics: U266 - t(11;14) CCND1"	"cytogenetics: JJN3 t(14;16) MAF"
!Sample_characteristics_ch1	"selected surface markers: CD138+"	"selected surface markers: CD138+"	"selected surface markers: CD138+"	"selected surface markers: CD138+"	"selected surface markers: CD138+"	"selected surface markers: CD138+"	""	"selected surface markers: CD138+"	"selected surface markers: CD138+"	"pc donor id: 230218"	"selected surface markers: CD138+"	"selected surface markers: CD138+"	"sequencing batch: 2"	"selected surface markers: CD138+"	"selected surface markers: CD138+"	"selected surface markers: CD138+"	"selected surface markers: CD138+"	"sequencing batch: 1"	"selected surface markers: CD138+"	""	"selected surface markers: CD138+"	"pc donor id: 160617"	"pc donor id: 160617"	"pc donor id: 271017"	"pc donor id: 271017"	""	"selected surface markers: CD138+"	"selected surface markers: CD138+"	""	"selected surface markers: CD138+"	"selected surface markers: CD138+"	"selected surface markers: CD138+"	"selected surface markers: CD138+"	"selected surface markers: NA"	"selected surface markers: NA"	"selected surface markers: NA"	"selected surface markers: NA"	"selected surface markers: NA"
!Sample_characteristics_ch1	"sequencing batch: 2"	"sequencing batch: 1"	"sequencing batch: 1"	"sequencing batch: 1"	"sequencing batch: 1"	"sequencing batch: 1"	""	"sequencing batch: 3"	"sequencing batch: 3"	"selected surface markers: CD3-; CD14-; CD138+; CD319+, CD27+ CD45+ CD38+; CD2-;CD16+; CD19+"	"sequencing batch: 1"	"sequencing batch: 1"	""	"sequencing batch: 1"	"sequencing batch: 1"	"sequencing batch: 1"	"sequencing batch: 1"	""	"sequencing batch: 1"	""	"sequencing batch: 3"	"selected surface markers: CD3-; CD14-; CD138+; CD319+, CD27+ CD45+ CD38+; CD2-;CD16+; CD19+"	"selected surface markers: CD3-; CD14-; CD138+; CD319+, CD27+ CD45+ CD38+; CD2-;CD16+; CD19-"	"selected surface markers: CD3-; CD14-; CD138+; CD319+, CD27+ CD45+ CD38+; CD2-;CD16+; CD19+"	"selected surface markers: CD3-; CD14-; CD138+; CD319+, CD27+ CD45+ CD38+; CD2-;CD16+; CD19-"	""	"sequencing batch: 2"	"sequencing batch: 1"	""	"sequencing batch: 1"	"sequencing batch: 1"	"sequencing batch: 2"	"sequencing batch: 3"	"sequencing batch: 4"	"sequencing batch: 4"	"sequencing batch: 4"	"sequencing batch: 4"	"sequencing batch: 4"
!Sample_characteristics_ch1	""	""	""	""	""	""	""	""	""	"sequencing batch: 1"	""	""	""	""	""	""	""	""	""	""	""	"sequencing batch: 1"	"sequencing batch: 1"	"sequencing batch: 2"	"sequencing batch: 2"	""	""	""	""	""	""	""	""	""	""	""	""	""
