Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue,Treatment
SRR12174815,RNA-Seq,76,539478096,PRJNA644919,SAMN15483971,228507913,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX8689474,GSM4663005,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663005,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174816,RNA-Seq,76,403070864,PRJNA644919,SAMN15483970,171781686,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX8689475,GSM4663006,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663006,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174817,RNA-Seq,76,468870068,PRJNA644919,SAMN15483969,198684477,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX8689476,GSM4663007,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663007,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174818,RNA-Seq,76,378519824,PRJNA644919,SAMN15483978,148211348,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX8689477,GSM4663008,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663008,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174819,RNA-Seq,76,395376928,PRJNA644919,SAMN15483968,168158049,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX8689478,GSM4663009,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663009,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174820,RNA-Seq,76,624126440,PRJNA644919,SAMN15483967,265117139,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX8689479,GSM4663010,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663010,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174821,RNA-Seq,76,620323172,PRJNA644919,SAMN15483966,260827465,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX8689480,GSM4663011,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663011,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174822,RNA-Seq,76,417680116,PRJNA644919,SAMN15483981,176539373,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX8689481,GSM4663012,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663012,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174823,RNA-Seq,76,425728820,PRJNA644919,SAMN15483980,180801223,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX8689482,GSM4663013,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663013,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174824,RNA-Seq,76,321380440,PRJNA644919,SAMN15483979,129967227,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX8689483,GSM4663014,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663014,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
