!Series_title	"A Molecular Signature associated with prolonged survival in Glioblastoma patients treated with Regorafenib [RNA-seq]"
!Series_geo_accession	"GSE154041"
!Series_status	"Public on Dec 31 2020"
!Series_submission_date	"Jul 08 2020"
!Series_last_update_date	"Apr 01 2021"
!Series_pubmed_id	"32661549"
!Series_summary	"Background: Patients with glioblastoma (GBM) have a dramatically poor prognosis. The recent REGOMA trial suggested an overall survival benefit of regorafenib in recurrent GBM patients. Considering the extreme genetic heterogeneity of GBMs, we aimed to identify molecular biomarkers predictive of differential response to the drug. The study provides evidence that a signature based on the expression of five biomarkers could help identifying a subgroup of GBM patients exhibiting a striking survival advantage when treated with regorafenib. Despite the presented results must be confirmed in larger replication cohorts, the study highlights potential biomarker options to help guiding the clinical decision among regorafenib and other treatments in patients with relapsing GBM.    Methods.Total RNA was extracted from tumor samples of patients enrolled in the REGOMA trial. Genome-wide transcriptome and miRNA profiles were associated with patients' Overall Survival (OS) and Progression Free Survival (PFS). Results. At first step, a set of 11 gene transcripts (HIF1A, CTSK, SLC2A1, KLHL12, CDKN1A, CA12, WDR1, CD53, CBR4, NIFK-AS1, RAB30-DT) and 10 miRNAs (miR-93-5p, miR-203a-3p, miR-17-5p, let-7c-3p, miR-101-3p, miR-3607-3p, miR-6516-3p, miR-301a-3p, miR-23b-3p, miR-222-3p) was filtered by comparing survival between regorafenib and lomustine arms. As second step, a minisignature of two gene transcripts (HIF1A, CDKN1A) and three miRNAs (miR-3607-3p, miR-301a-3p, miR-93-5p) identified a subgroup of patients showing prolonged survival after regorafenib administration (median OS range 10.6 - 20.8 months).    Conclusions. The study provides evidence that a signature based on the expression of five biomarkers could help identifying a subgroup of GBM patients exhibiting a striking survival advantage when treated with regorafenib. Despite the presented results must be confirmed in larger replication cohorts, the study highlights potential biomarker options to help guiding the clinical decision among regorafenib and other treatments in patients with relapsing GBM."
!Series_overall_design	"Among anti-angiogenic drugs for second-line therapy of patients with glioblastoma (GBM), regorafenib has gained interest after the REGOMA clinical trial reported an overall survival advantage of the patients of the regorafenib arm compared to those enrolled in the lomustine arm. Considering the huge molecular variability among GBM tumors, we investigated by genome-wide analyses whether expression levels of transcripts and miRNAs could help identifying patients with specific advantage or disadvantage in the choice of regorafenib as second-line therapy."
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Alessandra,,Santangelo"
!Series_contributor	"Marzia,,Rossato"
!Series_contributor	"Giuseppe,,Lombardi"
!Series_contributor	"Vittorina,,Zagonel"
!Series_contributor	"Giulio,,Cabrini"
!Series_sample_id	"GSM4663005 GSM4663006 GSM4663007 GSM4663008 GSM4663009 GSM4663010 GSM4663011 GSM4663012 GSM4663013 GSM4663014 GSM4663015 GSM4663016 GSM4663017 GSM4663018 GSM4663019 GSM4663020 GSM4663021 GSM4663022 GSM4663023 GSM4663024 GSM4663025 GSM4663026 GSM4663027 GSM4663028 GSM4663029 GSM4663030 GSM4663031 GSM4663032 GSM4663033 GSM4663034 GSM4663035 GSM4663036 GSM4663037 GSM4663038 GSM4663039 GSM4663040 GSM4663041 GSM4663042 GSM4663043 GSM4663044 GSM4663045 GSM4663046 GSM4663047 GSM4663048 GSM4663049 GSM4663050 GSM4663051 GSM4663052 GSM4663053 GSM4663054 GSM4663055 GSM4663056 GSM4663057 GSM4663058 GSM4663059 GSM4663060 GSM4663061 GSM4663062 GSM4663063 GSM4663064 GSM4663065 GSM4663066 GSM4663067 GSM4663068 GSM4663069 GSM4663070 GSM4663071 GSM4663072 GSM4663073 GSM4663074 GSM4663075 "
!Series_contact_name	"Marzia,,Rossato"
!Series_contact_email	"marzia.rossato@univr.it"
!Series_contact_laboratory	"CGF"
!Series_contact_department	"Biotechnology"
!Series_contact_institute	"University of Verona"
!Series_contact_address	"Strada Le Grazie 15"
!Series_contact_city	"Verona"
!Series_contact_zip/postal_code	"37135"
!Series_contact_country	"Italy"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154041/suppl/GSE154041_samples_expression_table_filtered.txt.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154041/suppl/GSE154041_samples_expression_table_not_filtered.txt.gz"
!Series_platform_id	"GPL18573"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"SubSeries of: GSE154043"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA644919"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP270958"

!Sample_title	"Regorafenib, 133_01 (RNA-seq)"	"Lomustine, 133_02 (RNA-seq)"	"Regorafenib, 133_03 (RNA-seq)"	"Lomustine, 133_04 (RNA-seq)"	"Regorafenib, 133_06 (RNA-seq)"	"Regorafenib, 133_07 (RNA-seq)"	"Lomustine, 133_08 (RNA-seq)"	"Regorafenib, 133_09 (RNA-seq)"	"Regorafenib, 133_12 (RNA-seq)"	"Lomustine, 133_13 (RNA-seq)"	"Lomustine, 133_14 (RNA-seq)"	"Lomustine, 133_15 (RNA-seq)"	"Regorafenib, 133_16 (RNA-seq)"	"Regorafenib, 133_17 (RNA-seq)"	"Lomustine, 133_18 (RNA-seq)"	"Regorafenib, 133_19 (RNA-seq)"	"Lomustine, 133_20 (RNA-seq)"	"Lomustine, 133_21 (RNA-seq)"	"Lomustine, 133_22 (RNA-seq)"	"Lomustine, 133_24 (RNA-seq)"	"Regorafenib, 133_25 (RNA-seq)"	"Lomustine, 133_27 (RNA-seq)"	"Lomustine, 133_28 (RNA-seq)"	"Regorafenib, 133_29 (RNA-seq)"	"Regorafenib, 133_30 (RNA-seq)"	"Lomustine, 134_05 (RNA-seq)"	"Regorafenib, 134_06 (RNA-seq)"	"Lomustine, 134_07 (RNA-seq)"	"Regorafenib, 134_08 (RNA-seq)"	"Regorafenib, 134_09 (RNA-seq)"	"Regorafenib, 134_10 (RNA-seq)"	"Lomustine, 134_12 (RNA-seq)"	"Regorafenib, 135_03 (RNA-seq)"	"Lomustine, 135_07 (RNA-seq)"	"Lomustine, 135_08 (RNA-seq)"	"Lomustine, 135_09 (RNA-seq)"	"Regorafenib, 135_10 (RNA-seq)"	"Regorafenib, 135_11 (RNA-seq)"	"Lomustine, 135_12 (RNA-seq)"	"Regorafenib, 135_13 (RNA-seq)"	"Regorafenib, 135_14 (RNA-seq)"	"Lomustine, 136_01 (RNA-seq)"	"Regorafenib, 136_02 (RNA-seq)"	"Lomustine, 136_03 (RNA-seq)"	"Regorafenib, 136_05 (RNA-seq)"	"Regorafenib, 136_06 (RNA-seq)"	"Lomustine, 136_08 (RNA-seq)"	"Regorafenib, 138_01 (RNA-seq)"	"Lomustine, 138_02 (RNA-seq)"	"Lomustine, 138_03 (RNA-seq)"	"Regorafenib, 140_01 (RNA-seq)"	"Lomustine, 140_02 (RNA-seq)"	"Lomustine, 142_01 (RNA-seq)"	"Regorafenib, 142_02 (RNA-seq)"	"Regorafenib, 142_03 (RNA-seq)"	"Lomustine, 142_04 (RNA-seq)"	"Regorafenib, 133_31 (RNA-seq)"	"Lomustine, 133_33 (RNA-seq)"	"Lomustine, 134_13 (RNA-seq)"	"Lomustine, 135_18 (RNA-seq)"	"Regorafenib, 135_19 (RNA-seq)"	"Lomustine, 135_21 (RNA-seq)"	"Regorafenib, 136_10 (RNA-seq)"	"Regorafenib, 136_13 (RNA-seq)"	"Lomustine, 136_16 (RNA-seq)"	"Regorafenib, 136_22 (RNA-seq)"	"Regorafenib, 140_05 (RNA-seq)"	"Lomustine, 142_05 (RNA-seq)"	"Regorafenib, 142_06 (RNA-seq)"	"Lomustine, 142_07 (RNA-seq)"	"Regorafenib, 142_08 (RNA-seq)"
!Sample_geo_accession	"GSM4663005"	"GSM4663006"	"GSM4663007"	"GSM4663008"	"GSM4663009"	"GSM4663010"	"GSM4663011"	"GSM4663012"	"GSM4663013"	"GSM4663014"	"GSM4663015"	"GSM4663016"	"GSM4663017"	"GSM4663018"	"GSM4663019"	"GSM4663020"	"GSM4663021"	"GSM4663022"	"GSM4663023"	"GSM4663024"	"GSM4663025"	"GSM4663026"	"GSM4663027"	"GSM4663028"	"GSM4663029"	"GSM4663030"	"GSM4663031"	"GSM4663032"	"GSM4663033"	"GSM4663034"	"GSM4663035"	"GSM4663036"	"GSM4663037"	"GSM4663038"	"GSM4663039"	"GSM4663040"	"GSM4663041"	"GSM4663042"	"GSM4663043"	"GSM4663044"	"GSM4663045"	"GSM4663046"	"GSM4663047"	"GSM4663048"	"GSM4663049"	"GSM4663050"	"GSM4663051"	"GSM4663052"	"GSM4663053"	"GSM4663054"	"GSM4663055"	"GSM4663056"	"GSM4663057"	"GSM4663058"	"GSM4663059"	"GSM4663060"	"GSM4663061"	"GSM4663062"	"GSM4663063"	"GSM4663064"	"GSM4663065"	"GSM4663066"	"GSM4663067"	"GSM4663068"	"GSM4663069"	"GSM4663070"	"GSM4663071"	"GSM4663072"	"GSM4663073"	"GSM4663074"	"GSM4663075"
!Sample_status	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"	"Public on Dec 31 2020"
