Run;Assay Type;AvgSpotLen;Bases;BioProject;BioSample;Bytes;Center Name;Consent;DATASTORE filetype;DATASTORE provider;DATASTORE region;disease;Experiment;GEO_Accession (exp);Group;Instrument;LibraryLayout;LibrarySelection;LibrarySource;Organism;Platform;ReleaseDate;Sample Name;source_name;SRA Study;Tissue
SRR12401392;RNA-Seq;300;19233900900;PRJNA655677;SAMN15747850;8026860970;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;Normal gastrointestinal stromal;SRX8899560;GSM4712337;Imatinib sensitive patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712337;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401393;RNA-Seq;300;17893591800;PRJNA655677;SAMN15747849;7477513310;GEO;public;fastq,sra;gs,s3;s3.us-east-1,gs.US;Normal gastrointestinal stromal;SRX8899561;GSM4712338;Imatinib sensitive patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712338;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401394;RNA-Seq;300;18452930700;PRJNA655677;SAMN15747848;7687396322;GEO;public;sra,fastq;gs,s3;gs.US,s3.us-east-1;Normal gastrointestinal stromal;SRX8899562;GSM4712339;Imatinib sensitive patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712339;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401395;RNA-Seq;300;20166651600;PRJNA655677;SAMN15747847;8473861142;GEO;public;sra,fastq;gs,s3;gs.US,s3.us-east-1;Normal gastrointestinal stromal;SRX8899563;GSM4712340;Imatinib sensitive patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712340;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401396;RNA-Seq;300;13138376100;PRJNA655677;SAMN15747846;5313221798;GEO;public;sra,fastq;s3,gs;gs.US,s3.us-east-1;Normal gastrointestinal stromal;SRX8899564;GSM4712341;Imatinib sensitive patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712341;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401397;RNA-Seq;300;17259792300;PRJNA655677;SAMN15747845;6957900171;GEO;public;fastq,sra;s3,gs;s3.us-east-1,gs.US;Gastrointestinal stromal tumor;SRX8899565;GSM4712342;Imatinib sensitive patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712342;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401398;RNA-Seq;300;21415486200;PRJNA655677;SAMN15747844;8654661399;GEO;public;sra,fastq;s3,gs;gs.US,s3.us-east-1;Gastrointestinal stromal tumor;SRX8899566;GSM4712343;Imatinib sensitive patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712343;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401399;RNA-Seq;300;23161059300;PRJNA655677;SAMN15747843;9365926878;GEO;public;fastq,sra;gs,s3;s3.us-east-1,gs.US;Gastrointestinal stromal tumor;SRX8899567;GSM4712344;Imatinib sensitive patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712344;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401400;RNA-Seq;300;17650716300;PRJNA655677;SAMN15747882;7242367133;GEO;public;fastq,sra;s3,gs;s3.us-east-1,gs.US;Gastrointestinal stromal tumor;SRX8899568;GSM4712345;Imatinib sensitive patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712345;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401401;RNA-Seq;300;18649664700;PRJNA655677;SAMN15747881;7539650036;GEO;public;fastq,sra;gs,s3;s3.us-east-1,gs.US;Gastrointestinal stromal tumor;SRX8899569;GSM4712346;Imatinib sensitive patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712346;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401402;RNA-Seq;300;23644964100;PRJNA655677;SAMN15747880;9702117265;GEO;public;fastq,sra;gs,s3;gs.US,s3.us-east-1;Normal gastrointestinal stromal;SRX8899570;GSM4712347;Imatinib resistant patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712347;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401403;RNA-Seq;300;21028170600;PRJNA655677;SAMN15747879;8579737305;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;Normal gastrointestinal stromal;SRX8899571;GSM4712348;Imatinib resistant patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712348;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401404;RNA-Seq;300;20783848800;PRJNA655677;SAMN15747878;8730102191;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;Normal gastrointestinal stromal;SRX8899572;GSM4712349;Imatinib resistant patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712349;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401405;RNA-Seq;300;23216212800;PRJNA655677;SAMN15747877;9629653764;GEO;public;fastq,sra;s3,gs;s3.us-east-1,gs.US;Normal gastrointestinal stromal;SRX8899573;GSM4712350;Imatinib resistant patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712350;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401406;RNA-Seq;300;21998239500;PRJNA655677;SAMN15747876;8897446797;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;Normal gastrointestinal stromal;SRX8899574;GSM4712351;Imatinib resistant patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712351;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401407;RNA-Seq;300;20828230200;PRJNA655677;SAMN15747875;8364909796;GEO;public;sra,fastq;gs,s3;gs.US,s3.us-east-1;Gastrointestinal stromal tumor;SRX8899575;GSM4712352;Imatinib resistant patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712352;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401408;RNA-Seq;300;20682798600;PRJNA655677;SAMN15747874;8276741084;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;Gastrointestinal stromal tumor;SRX8899576;GSM4712353;Imatinib resistant patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712353;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401409;RNA-Seq;300;18370043700;PRJNA655677;SAMN15747873;7366993577;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;Gastrointestinal stromal tumor;SRX8899577;GSM4712354;Imatinib resistant patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712354;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401410;RNA-Seq;300;16582578900;PRJNA655677;SAMN15747872;6650384191;GEO;public;fastq,sra;gs,s3;s3.us-east-1,gs.US;Gastrointestinal stromal tumor;SRX8899578;GSM4712355;Imatinib resistant patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712355;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
SRR12401411;RNA-Seq;300;19919370900;PRJNA655677;SAMN15747871;7960039765;GEO;public;sra,fastq;s3,gs;gs.US,s3.us-east-1;Gastrointestinal stromal tumor;SRX8899579;GSM4712356;Imatinib resistant patient;Illumina HiSeq 3000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2021-07-31T00:00:00Z;GSM4712356;Gastrointestinal stromal;SRP276412;Gastrointestinal stromal
