Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,embryo,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue,Cell_Line
SRR13242176,RNA-Seq,197,6017643507,PRJNA684512,SAMN17058936,2818441751,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673965,GSM4971151,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971151,Neocortex,SRP297662,NeoCortex,
SRR13242177,RNA-Seq,197,6048266239,PRJNA684512,SAMN17058935,2815666677,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673966,GSM4971152,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971152,Striatum,SRP297662,Striatum,
SRR13242178,RNA-Seq,196,6146615437,PRJNA684512,SAMN17058934,2873875531,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673967,GSM4971153,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971153,Diencephalon,SRP297662,Diencephalon,
SRR13242179,RNA-Seq,196,7065179247,PRJNA684512,SAMN17058933,3312797133,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673968,GSM4971154,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971154,Midbrain,SRP297662,Midbrain,
SRR13242180,RNA-Seq,197,7217399747,PRJNA684512,SAMN17058932,3353988283,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673969,GSM4971155,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971155,Cerebellum,SRP297662,Cerebellum,
SRR13242181,RNA-Seq,196,5974483659,PRJNA684512,SAMN17058931,2776732574,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673970,GSM4971156,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971156,Anterior Brainstem,SRP297662,Anterior Brainstem,
SRR13242182,RNA-Seq,196,6303942017,PRJNA684512,SAMN17058930,2943809726,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673971,GSM4971157,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971157,Posterior Brainstem,SRP297662,Posterior Brainstem,
SRR13242183,RNA-Seq,198,6930735215,PRJNA684512,SAMN17058929,3220189389,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673972,GSM4971158,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971158,Spinalcord,SRP297662,Spinalcord,
SRR13242184,RNA-Seq,193,7656047714,PRJNA684512,SAMN17058898,3612114507,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9673973,GSM4971159,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971159,Neocortex,SRP297662,NeoCortex,
SRR13242185,RNA-Seq,197,5350059966,PRJNA684512,SAMN17058897,2501806687,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9673974,GSM4971160,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971160,Striatum,SRP297662,Striatum,
SRR13242186,RNA-Seq,196,6308311330,PRJNA684512,SAMN17058896,2957760959,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9673975,GSM4971161,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971161,Diencephalon,SRP297662,Diencephalon,
SRR13242187,RNA-Seq,196,5870135079,PRJNA684512,SAMN17058895,2737329656,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9673976,GSM4971162,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971162,Midbrain,SRP297662,Midbrain,
SRR13242188,RNA-Seq,198,3583920248,PRJNA684512,SAMN17058894,1185381107,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9673977,GSM4971163,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971163,Cerebellum,SRP297662,Cerebellum,
SRR13242189,RNA-Seq,197,3797807835,PRJNA684512,SAMN17058893,1260725406,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9673978,GSM4971164,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971164,Anterior Brainstem,SRP297662,Anterior Brainstem,
SRR13242190,RNA-Seq,197,3459775182,PRJNA684512,SAMN17058892,1147260341,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9673979,GSM4971165,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971165,Posterior Brainstem,SRP297662,Posterior Brainstem,
SRR13242191,RNA-Seq,198,4000464330,PRJNA684512,SAMN17058891,1324524378,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9673980,GSM4971166,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971166,Neocortex,SRP297662,Neocortex,
SRR13242192,RNA-Seq,198,3575004401,PRJNA684512,SAMN17058928,1181609586,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9673981,GSM4971167,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971167,Striatum,SRP297662,Striatum,
SRR13242193,RNA-Seq,198,3944993162,PRJNA684512,SAMN17058927,1303728783,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9673982,GSM4971168,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971168,Diencephalon,SRP297662,Diencephalon,
SRR13242194,RNA-Seq,198,3687208325,PRJNA684512,SAMN17058926,1219380662,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9673983,GSM4971169,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971169,Midbrain,SRP297662,Midbrain,
SRR13242195,RNA-Seq,199,3807102498,PRJNA684512,SAMN17058925,1256186839,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9673984,GSM4971170,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971170,Cerebellum,SRP297662,Cerebellum,
SRR13242196,RNA-Seq,199,3550806112,PRJNA684512,SAMN17058924,1174778015,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9673985,GSM4971171,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971171,Anterior Brainstem,SRP297662,Anterior Brainstem,
SRR13242197,RNA-Seq,198,3495944924,PRJNA684512,SAMN17058923,1167717851,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9673986,GSM4971172,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971172,Posterior Brainstem,SRP297662,Posterior Brainstem,
SRR13242198,RNA-Seq,199,3510930988,PRJNA684512,SAMN17058922,1170805061,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9673987,GSM4971173,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971173,Spinalcord,SRP297662,Spinalcord,
SRR13242199,RNA-Seq,199,3651190366,PRJNA684512,SAMN17058921,1185671912,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673988,GSM4971174,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971174,Posterior Brainstem,SRP297662,Posterior Brainstem,Neural stem cell line
SRR13242200,RNA-Seq,200,3573116876,PRJNA684512,SAMN17058920,1171734334,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673989,GSM4971175,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971175,Posterior Brainstem,SRP297662,Posterior Brainstem,Neural stem cell line
SRR13242201,RNA-Seq,199,3601335125,PRJNA684512,SAMN17058919,1172123564,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673990,GSM4971176,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971176,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242202,RNA-Seq,199,3574938819,PRJNA684512,SAMN17058918,1165580737,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673991,GSM4971177,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971177,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242203,RNA-Seq,199,3421091714,PRJNA684512,SAMN17058917,1174850038,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673992,GSM4971178,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971178,Diencephalon,SRP297662,Diencephalon,Neural stem cell line
SRR13242204,RNA-Seq,199,3536280793,PRJNA684512,SAMN17058916,1164822224,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673993,GSM4971179,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971179,Diencephalon,SRP297662,Diencephalon,Neural stem cell line
SRR13242205,RNA-Seq,199,3554770861,PRJNA684512,SAMN17058915,1155923036,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673994,GSM4971180,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971180,Anterior Brainstem,SRP297662,Anterior Brainstem,Neural stem cell line
SRR13242206,RNA-Seq,199,3754333011,PRJNA684512,SAMN17058914,1220257586,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673995,GSM4971181,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971181,Anterior Brainstem,SRP297662,Anterior Brainstem,Neural stem cell line
SRR13242207,RNA-Seq,199,3730145477,PRJNA684512,SAMN17058913,1214033017,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673996,GSM4971182,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971182,Spinalcord,SRP297662,Spinalcord,Neural stem cell line
SRR13242208,RNA-Seq,199,3750874722,PRJNA684512,SAMN17058942,1222743811,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673997,GSM4971183,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971183,Spinalcord,SRP297662,Spinalcord,Neural stem cell line
SRR13242209,RNA-Seq,200,3574181740,PRJNA684512,SAMN17058941,1165638628,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673998,GSM4971184,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971184,Striatum,SRP297662,Striatum,Neural stem cell line
SRR13242210,RNA-Seq,199,3661065499,PRJNA684512,SAMN17058940,1187233358,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS19 - 19.3 pcw,SRX9673999,GSM4971185,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971185,Striatum,SRP297662,Striatum,Neural stem cell line
SRR13242211,RNA-Seq,198,3211091487,PRJNA684512,SAMN17058939,1068463244,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674000,GSM4971186,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971186,Posterior Brainstem,SRP297662,Posterior Brainstem,Neural stem cell line
