Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Diagnosis,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue
SRR13501095,RNA-Seq,152,4746251528,PRJNA693873,SAMN17487511,1650302528,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",Normal,SRX9912875,GSM5029414,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029414,Brain,SRP302777,Brain
SRR13501096,RNA-Seq,152,6792633456,PRJNA693873,SAMN17487510,2386180966,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",Normal,SRX9912876,GSM5029415,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029415,Brain,SRP302777,Brain
SRR13501097,RNA-Seq,152,5685010064,PRJNA693873,SAMN17487509,1992609886,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",Normal,SRX9912877,GSM5029416,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029416,Brain,SRP302777,Brain
SRR13501098,RNA-Seq,152,4255455840,PRJNA693873,SAMN17487508,1485044510,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",Normal,SRX9912878,GSM5029417,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029417,Brain,SRP302777,Brain
SRR13501099,RNA-Seq,152,5272644856,PRJNA693873,SAMN17487507,1867848147,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",GBM,SRX9912879,GSM5029418,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029418,Brain,SRP302777,Brain
SRR13501100,RNA-Seq,152,5400881176,PRJNA693873,SAMN17487506,1904888135,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",GBM,SRX9912880,GSM5029419,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029419,Brain,SRP302777,Brain
SRR13501101,RNA-Seq,152,5240142696,PRJNA693873,SAMN17487505,1838575139,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",GBM,SRX9912881,GSM5029420,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029420,Brain,SRP302777,Brain
SRR13501102,RNA-Seq,152,5294819680,PRJNA693873,SAMN17487504,1866203560,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",GBM,SRX9912882,GSM5029421,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029421,Brain,SRP302777,Brain
SRR13501103,RNA-Seq,152,6096671816,PRJNA693873,SAMN17487503,2145217801,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",GBM,SRX9912883,GSM5029422,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029422,Brain,SRP302777,Brain
SRR13501104,RNA-Seq,152,5453535040,PRJNA693873,SAMN17487502,1909144223,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",GBM,SRX9912884,GSM5029423,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029423,Brain,SRP302777,Brain
SRR13501105,RNA-Seq,152,5018854864,PRJNA693873,SAMN17487501,1741848566,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",GBM,SRX9912885,GSM5029424,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029424,Brain,SRP302777,Brain
SRR13501106,RNA-Seq,152,5391640488,PRJNA693873,SAMN17487500,1867204634,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",GBM,SRX9912886,GSM5029425,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029425,Brain,SRP302777,Brain
SRR13501107,RNA-Seq,152,6483879960,PRJNA693873,SAMN17487499,2272019037,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",GBM,SRX9912887,GSM5029426,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-05-01T00:00:00Z,GSM5029426,Brain,SRP302777,Brain
