!Series_title	"A comprehensive map of alternative polyadenylation in African American and European American lung cancer patients"
!Series_geo_accession	"GSE174330"
!Series_status	"Public on May 13 2021"
!Series_submission_date	"May 12 2021"
!Series_last_update_date	"Oct 27 2021"
!Series_pubmed_id	"34556645"
!Series_summary	"We report the application of a novel method and analysis pipeline that sequences 3’end -enriched RNA to comprehensively map the APA landscape in lung cancer."
!Series_summary	"The goals of this study are to identify the functional role of APA in determining transcriptomic heterogeneity in lung cancer and  population differences in APA."
!Series_overall_design	"Ninety-eight patients with histologically confirmed non-small cell lung cancer were selected from the National Cancer Institute-Maryland (NCI-MD) lung cancer study. The study includes 98 human tumor tissues and 98 adjacent non-involved tissues (n=196 total)."
!Series_overall_design	"AA = African American"
!Series_overall_design	"EA = European American"
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Brid,,Ryan"
!Series_contributor	"Adriana,,Zingone"
