!Series_title	"RNAseq analysis of human CD4+ regulatory Tregs and Tconvs in COVID-19 and healthy donors isolated from peripheral blood."
!Series_geo_accession	"GSE179448"
!Series_status	"Public on Jul 07 2021"
!Series_submission_date	"Jul 05 2021"
!Series_last_update_date	"Oct 06 2021"
!Series_pubmed_id	"34433692"
!Series_summary	"RNAseq analysis of human CD4+ regulatory Tregs and Tconvs in COVID-19 and healthy donors isolated from peripheral blood."
!Series_overall_design	"Human Tregs and Tconvs from COVID-19 patients and healthy donors were magnetically isolated from frozen PBMCs using a Stem Cell kit, as CD4+CD25hiCD127lo and CD4+CD25–, respectively. Around 1,000 isolated cells were directly into lysis buffer for RNA-seq (Smart-seq2)  library preparation following the standard ImmGen low-input protocol (www.immgen.org). Samples were collected and sequenced in two cohorts."
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Silvia,,Galvan Pena"
!Series_contributor	"Juliette,,Leon"
!Series_contributor	"Zachary,,Manickas-Hill"
!Series_contributor	"Jonathan,Z,Li"
!Series_contributor	"Diane,,Mathis"
!Series_contributor	"Christophe,,Benoist"
!Series_sample_id	"GSM5418330 GSM5418331 GSM5418332 GSM5418333 GSM5418334 GSM5418335 GSM5418336 GSM5418337 GSM5418338 GSM5418339 GSM5418340 GSM5418341 GSM5418342 GSM5418343 GSM5418344 GSM5418345 GSM5418346 GSM5418347 GSM5418348 GSM5418349 GSM5418350 GSM5418351 GSM5418352 GSM5418353 GSM5418354 GSM5418355 GSM5418356 GSM5418357 GSM5418358 GSM5418359 GSM5418360 GSM5418361 GSM5418362 GSM5418363 GSM5418364 GSM5418365 GSM5418366 GSM5418367 GSM5418368 GSM5418369 GSM5418370 GSM5418371 GSM5418372 GSM5418373 GSM5418374 GSM5418375 GSM5418376 GSM5418377 GSM5418378 GSM5418379 GSM5418380 GSM5418381 GSM5418382 GSM5418383 GSM5418384 GSM5418385 GSM5418386 GSM5418387 GSM5418388 GSM5418389 GSM5418390 GSM5418391 GSM5418392 GSM5418393 GSM5418394 GSM5418395 GSM5418396 GSM5418397 GSM5418398 GSM5418399 GSM5418400 GSM5418401 GSM5418402 GSM5418403 GSM5418404 GSM5418405 GSM5418406 GSM5418407 GSM5418408 GSM5418409 GSM5418410 GSM5418411 GSM5418412 GSM5418413 GSM5418414 GSM5418415 "
!Series_contact_name	"CBDM,,Lab"
!Series_contact_email	"cbdm@hms.harvard.edu"
!Series_contact_phone	"617-432-7747"
!Series_contact_laboratory	"CBDM"
!Series_contact_department	"Microbiology and Immunobiology"
!Series_contact_institute	"Harvard Medical School"
!Series_contact_address	"77 Avenue Louis Pasteur"
