Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_status,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,RNA_Isolation_Method,Sample Name,sex,source_name,SRA Study
SRR15254225,RNA-Seq,100,1087226800,PRJNA749873,SAMN20423287,391705804,hepatic organoids,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559697,GSM5474274,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474274,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254226,RNA-Seq,100,1071860100,PRJNA749873,SAMN20423287,389528073,hepatic organoids,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559697,GSM5474274,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474274,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254227,RNA-Seq,100,1098712600,PRJNA749873,SAMN20423287,393999536,hepatic organoids,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559697,GSM5474274,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474274,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254228,RNA-Seq,100,809727000,PRJNA749873,SAMN20423286,292329718,hepatic organoids,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559698,GSM5474275,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474275,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254229,RNA-Seq,100,799980300,PRJNA749873,SAMN20423286,291402507,hepatic organoids,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559698,GSM5474275,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474275,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254230,RNA-Seq,100,822074800,PRJNA749873,SAMN20423286,295625493,hepatic organoids,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559698,GSM5474275,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474275,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254231,RNA-Seq,100,960070800,PRJNA749873,SAMN20423285,351108644,hepatic organoids,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559699,GSM5474276,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474276,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254232,RNA-Seq,100,948207300,PRJNA749873,SAMN20423285,349951094,hepatic organoids,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559699,GSM5474276,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474276,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254233,RNA-Seq,100,974915800,PRJNA749873,SAMN20423285,355718711,hepatic organoids,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559699,GSM5474276,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474276,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254234,RNA-Seq,100,893057400,PRJNA749873,SAMN20423284,326371073,hepatic organoids,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559700,GSM5474277,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474277,female,"FDD healthy female liver\, deceased donor",SRP329969
