Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,paired_sample_id,Platform,ReleaseDate,Sample Name,source_name,SRA Study,virus_infection,tissue,quality_book_char (run),tissue_type
SRR074979,OTHER,40,839863520,PRJNA134241,SAMN00139543,595923012,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032919,GSM629246,Illumina Genome Analyzer,GSM629246: A05C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A05,ILLUMINA,2013-11-25T00:00:00Z,GSM629246,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,@,
SRR074980,OTHER,40,897283160,PRJNA134241,SAMN00139544,656550416,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032920,GSM629247,Illumina Genome Analyzer,GSM629247: A05P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A05,ILLUMINA,2013-11-25T00:00:00Z,GSM629247,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
SRR074981,OTHER,40,943449560,PRJNA134241,SAMN00139545,666702163,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032921,GSM629248,Illumina Genome Analyzer,GSM629248: A19C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A19,ILLUMINA,2013-11-25T00:00:00Z,GSM629248,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,,
SRR074982,OTHER,40,833397360,PRJNA134241,SAMN00139546,571536183,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032922,GSM629249,Illumina Genome Analyzer,GSM629249: A19P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A19,ILLUMINA,2013-11-25T00:00:00Z,GSM629249,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
SRR074983,OTHER,40,942547600,PRJNA134241,SAMN00139547,673772870,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032923,GSM629250,Illumina Genome Analyzer,GSM629250: A31C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A31,ILLUMINA,2013-11-25T00:00:00Z,GSM629250,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,,
SRR074984,OTHER,40,845212360,PRJNA134241,SAMN00139548,591439761,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032924,GSM629251,Illumina Genome Analyzer,GSM629251: A31P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A31,ILLUMINA,2013-11-25T00:00:00Z,GSM629251,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
SRR074985,OTHER,40,922410560,PRJNA134241,SAMN00139549,664644584,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032925,GSM629252,Illumina Genome Analyzer,GSM629252: A35C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A35,ILLUMINA,2013-11-25T00:00:00Z,GSM629252,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,@,
SRR074986,OTHER,40,845101280,PRJNA134241,SAMN00139550,586562004,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032926,GSM629253,Illumina Genome Analyzer,GSM629253: A35P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A35,ILLUMINA,2013-11-25T00:00:00Z,GSM629253,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
SRR074987,OTHER,40,848225000,PRJNA134241,SAMN00139551,592299607,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032927,GSM629254,Illumina Genome Analyzer,GSM629254: A57C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A57,ILLUMINA,2013-11-25T00:00:00Z,GSM629254,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,@,
SRR074988,OTHER,60,1251725520,PRJNA134241,SAMN00139552,866021818,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032928,GSM629255,Illumina Genome Analyzer,GSM629255: A57P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A57,ILLUMINA,2013-11-25T00:00:00Z,GSM629255,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
SRR074989,OTHER,40,932601560,PRJNA134241,SAMN00139553,672863577,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032929,GSM629256,Illumina Genome Analyzer,GSM629256: A60C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A60,ILLUMINA,2013-11-25T00:00:00Z,GSM629256,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,@,
SRR074990,OTHER,40,939248760,PRJNA134241,SAMN00139554,679641201,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032930,GSM629257,Illumina Genome Analyzer,GSM629257: A60P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A60,ILLUMINA,2013-11-25T00:00:00Z,GSM629257,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
SRR074991,OTHER,40,885495840,PRJNA134241,SAMN00139555,635204164,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032931,GSM629258,Illumina Genome Analyzer,GSM629258: A63C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A63,ILLUMINA,2013-11-25T00:00:00Z,GSM629258,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,,
SRR074992,OTHER,40,837291840,PRJNA134241,SAMN00139556,581368243,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032932,GSM629259,Illumina Genome Analyzer,GSM629259: A63P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A63,ILLUMINA,2013-11-25T00:00:00Z,GSM629259,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
SRR074993,OTHER,40,842741320,PRJNA134241,SAMN00139557,582106000,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032933,GSM629260,Illumina Genome Analyzer,GSM629260: A82C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A82,ILLUMINA,2013-11-25T00:00:00Z,GSM629260,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,@,
SRR074994,OTHER,40,790042720,PRJNA134241,SAMN00139558,560629965,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032934,GSM629261,Illumina Genome Analyzer,GSM629261: A82P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A82,ILLUMINA,2013-11-25T00:00:00Z,GSM629261,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
SRR074995,OTHER,40,763740760,PRJNA134241,SAMN00139559,541822478,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032935,GSM629262,Illumina Genome Analyzer,GSM629262: A13C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A13,ILLUMINA,2013-11-25T00:00:00Z,GSM629262,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,@,
SRR074996,OTHER,40,823864280,PRJNA134241,SAMN00139559,575920001,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032935,GSM629262,Illumina Genome Analyzer,GSM629262: A13C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A13,ILLUMINA,2013-11-25T00:00:00Z,GSM629262,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,,
SRR074997,OTHER,40,846686440,PRJNA134241,SAMN00139560,594692372,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032936,GSM629263,Illumina Genome Analyzer,GSM629263: A13P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A13,ILLUMINA,2013-11-25T00:00:00Z,GSM629263,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
SRR074998,OTHER,40,779048560,PRJNA134241,SAMN00139560,537578574,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032936,GSM629263,Illumina Genome Analyzer,GSM629263: A13P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A13,ILLUMINA,2013-11-25T00:00:00Z,GSM629263,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
SRR074999,OTHER,40,877784880,PRJNA134241,SAMN00139561,614672244,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032937,GSM629264,Illumina Genome Analyzer,GSM629264: A39C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A39,ILLUMINA,2013-11-25T00:00:00Z,GSM629264,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,@,
SRR075000,OTHER,40,853122040,PRJNA134241,SAMN00139561,594817271,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032937,GSM629264,Illumina Genome Analyzer,GSM629264: A39C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A39,ILLUMINA,2013-11-25T00:00:00Z,GSM629264,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,@,
SRR075001,OTHER,40,861308680,PRJNA134241,SAMN00139561,599768896,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032937,GSM629264,Illumina Genome Analyzer,GSM629264: A39C,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A39,ILLUMINA,2013-11-25T00:00:00Z,GSM629264,"Liver tissues\, Cancer",SRP004768,HBV,Cancer,@,
SRR075002,OTHER,40,838030240,PRJNA134241,SAMN00139562,587578281,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032938,GSM629265,Illumina Genome Analyzer,GSM629265: A39P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A39,ILLUMINA,2013-11-25T00:00:00Z,GSM629265,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
SRR075003,OTHER,40,878380040,PRJNA134241,SAMN00139562,614452145,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032938,GSM629265,Illumina Genome Analyzer,GSM629265: A39P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A39,ILLUMINA,2013-11-25T00:00:00Z,GSM629265,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
SRR075004,OTHER,40,880446560,PRJNA134241,SAMN00139562,609817595,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX032938,GSM629265,Illumina Genome Analyzer,GSM629265: A39P,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A39,ILLUMINA,2013-11-25T00:00:00Z,GSM629265,"Liver tissues\, Non-cancerous adjacent",SRP004768,HBV,Non-cancerous,@,
