!Series_title	"RNA-seq analysis generated a comprehensive landscape of transcriptomes and revealed complex patterns of transcripts in Chinese HBV-related hepatocellular carcinoma"
!Series_geo_accession	"GSE25599"
!Series_status	"Public on Nov 24 2013"
!Series_submission_date	"Nov 24 2010"
!Series_last_update_date	"May 15 2019"
!Series_pubmed_id	"22043308"
!Series_summary	"RNA-seq is a powerful tool for comprehensive characterization of whole transcriptome at both gene and exon levels and with a unique ability of identifying novel splicing variants. To date, RNA-seq analysis of HBV-related HCC has not been reported. In this study, we performed transcriptome analyses for 10 matched pairs of cancer and non-cancerous tissues from Chinese HBV-related hepatocelluar carcinoma patients using 36bp single-end sequencing approach on Solexa/Illumina GAII platform. On average, about 21.6 million sequencing reads and 10.6 million aligned reads were obtained for samples sequenced on each lane, which was able to identify > 50% of all the annotated genes for each sample. Furthermore, from by far the largest database of transcripts expressed in HCC tissues, we identified 1,378 significantly differently expressed genes (DEGs) and 24, 338 differentially expressed exons (DEEs). Comprehensive function analyses indicated that cell growth-related, metabolism-related and immune-related pathways were most significantly enriched by DEGs, pointing to a complex mechanism for HCC carcinogenesis. Positional gene enrichment analysis showed that DEGs were most significantly enriched at chromosome 8q21.3-24.3. The most interesting findings were from the analysis at exon levels where we characterized three major patterns of expression changes between gene levels and exon levels, implying a much complex landscape of transcript-specific differential expressions in HCC. Finally, we identified a novel highly up-regulated exon-exon junction in ATAD2 (ATPase family, AAA domain containing 2) gene in HCC tissues. Overall, to our best knowledge, our study represents the most comprehensive characterization of the HBV-related HCC transcriptome including exon level expression changes and novel splicing variants, which illustrated the power of RNA-seq and provided important clues for understanding the molecular mechanisms of HCC pathogenesis at system-wide levels."
!Series_overall_design	"A comprehensive analysis of transcriptome for 10 match-paired HBV-related Chinese HCC and non-cancerous adjacent tissues."
!Series_overall_design	""
!Series_overall_design	"Processed data files:"
!Series_overall_design	"Exon-level results, gene-level results, differentially expressed exons, and differently expressed genes (DEGs)."
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Jinliang,,Xing"
!Series_contributor	"Biaoyang,,Lin"
!Series_contributor	"Hanqiang,,Liu"
!Series_contributor	"Qichao,,Huang"
!Series_contributor	"Xi,,Ma"
!Series_contributor	"Fan,,Mo"
!Series_contributor	"Wei,,Yu"
!Series_contributor	"Lisha,,Li"
!Series_contributor	"Hongwei,,Li"
!Series_contributor	"Tian,,Tian"
!Series_contributor	"Dong,,Wu"
!Series_contributor	"Feng,,Shen"
!Series_contributor	"Zhinan,,Chen"
!Series_sample_id	"GSM629246 GSM629247 GSM629248 GSM629249 GSM629250 GSM629251 GSM629252 GSM629253 GSM629254 GSM629255 GSM629256 GSM629257 GSM629258 GSM629259 GSM629260 GSM629261 GSM629262 GSM629263 GSM629264 GSM629265 "
!Series_contact_name	"Biaoyang,,Lin"
!Series_contact_laboratory	"Systems Biology Division"
!Series_contact_department	"ZCNI"
!Series_contact_institute	"ZheJiang University"
!Series_contact_address	"866 Yu Hang Tang Road Zi Jin Gang Campus Zhejiang University."
!Series_contact_city	"HangZhou"
!Series_contact_zip/postal_code	"310058"
!Series_contact_country	"China"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25599/suppl/GSE25599_rpkm_exon.txt.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25599/suppl/GSE25599_rpkm_gene_all.txt.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25599/suppl/GSE25599_sig-exons.txt.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25599/suppl/GSE25599_sig-genes.txt.gz"
!Series_platform_id	"GPL9052"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP004768"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA134241"

!Sample_title	"A05C"	"A05P"	"A19C"	"A19P"	"A31C"	"A31P"	"A35C"	"A35P"	"A57C"	"A57P"	"A60C"	"A60P"	"A63C"	"A63P"	"A82C"	"A82P"	"A13C"	"A13P"	"A39C"	"A39P"
!Sample_geo_accession	"GSM629246"	"GSM629247"	"GSM629248"	"GSM629249"	"GSM629250"	"GSM629251"	"GSM629252"	"GSM629253"	"GSM629254"	"GSM629255"	"GSM629256"	"GSM629257"	"GSM629258"	"GSM629259"	"GSM629260"	"GSM629261"	"GSM629262"	"GSM629263"	"GSM629264"	"GSM629265"
!Sample_status	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"	"Public on Nov 24 2013"
!Sample_submission_date	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"	"Nov 24 2010"
!Sample_last_update_date	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"
!Sample_type	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"Liver tissues, Cancer"	"Liver tissues, Non-cancerous adjacent"	"Liver tissues, Cancer"	"Liver tissues, Non-cancerous adjacent"	"Liver tissues, Cancer"	"Liver tissues, Non-cancerous adjacent"	"Liver tissues, Cancer"	"Liver tissues, Non-cancerous adjacent"	"Liver tissues, Cancer"	"Liver tissues, Non-cancerous adjacent"	"Liver tissues, Cancer"	"Liver tissues, Non-cancerous adjacent"	"Liver tissues, Cancer"	"Liver tissues, Non-cancerous adjacent"	"Liver tissues, Cancer"	"Liver tissues, Non-cancerous adjacent"	"Liver tissues, Cancer"	"Liver tissues, Non-cancerous adjacent"	"Liver tissues, Cancer"	"Liver tissues, Non-cancerous adjacent"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
!Sample_characteristics_ch1	"paired sample id: A05"	"paired sample id: A05"	"paired sample id: A19"	"paired sample id: A19"	"paired sample id: A31"	"paired sample id: A31"	"paired sample id: A35"	"paired sample id: A35"	"paired sample id: A57"	"paired sample id: A57"	"paired sample id: A60"	"paired sample id: A60"	"paired sample id: A63"	"paired sample id: A63"	"paired sample id: A82"	"paired sample id: A82"	"paired sample id: A13"	"paired sample id: A13"	"paired sample id: A39"	"paired sample id: A39"
!Sample_characteristics_ch1	"tissue type: Cancer"	"tissue type: Non-cancerous"	"tissue type: Cancer"	"tissue type: Non-cancerous"	"tissue type: Cancer"	"tissue type: Non-cancerous"	"tissue type: Cancer"	"tissue type: Non-cancerous"	"tissue type: Cancer"	"tissue type: Non-cancerous"	"tissue type: Cancer"	"tissue type: Non-cancerous"	"tissue type: Cancer"	"tissue type: Non-cancerous"	"tissue type: Cancer"	"tissue type: Non-cancerous"	"tissue type: Cancer"	"tissue type: Non-cancerous"	"tissue type: Cancer"	"tissue type: Non-cancerous"
!Sample_characteristics_ch1	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"	"virus infection: HBV"
!Sample_molecule_ch1	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"
