!Series_title	"Deep RNA Sequencing Reveals Dynamic Regulation of Myocardial Noncoding RNA in Failing Human Heart and Remodeling with Mechanical Circulatory Support"
!Series_geo_accession	"GSE46224"
!Series_status	"Public on Feb 10 2014"
!Series_submission_date	"Apr 19 2013"
!Series_last_update_date	"May 15 2019"
!Series_pubmed_id	"24429688"
!Series_summary	"Complete transcriptome profiling in human failing and non-failing control hearts using next-gen sequencing"
!Series_overall_design	"Poly-A selected RNA and small RNA sequencing carried out in 5 groups of samples: NF, ICM, NICM, ICM+LVAD, NICM+LVAD"
!Series_type	"Non-coding RNA profiling by high throughput sequencing"
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Kai-Chien,,Yang"
!Series_contributor	"Jeanne,,Nerbonne"
!Series_sample_id	"GSM1126612 GSM1126613 GSM1126614 GSM1126615 GSM1126616 GSM1126617 GSM1126618 GSM1126619 GSM1126620 GSM1126621 GSM1126622 GSM1126623 GSM1126624 GSM1126625 GSM1126626 GSM1126627 GSM1126628 GSM1126629 GSM1126630 GSM1126631 GSM1126632 GSM1126633 GSM1126634 GSM1126635 GSM1126636 GSM1126637 GSM1126638 GSM1126639 GSM1126640 GSM1126641 GSM1126642 GSM1126643 GSM1126644 GSM1126645 GSM1126646 GSM1126647 GSM1126648 GSM1126649 GSM1126650 GSM1126651 GSM1126652 GSM1126653 GSM1126654 GSM1126655 GSM1126656 GSM1126657 GSM1126658 GSM1126659 GSM1126660 GSM1126661 GSM1126662 GSM1126663 GSM1126664 GSM1126665 GSM1126666 GSM1126667 GSM1126668 GSM1126669 GSM1126670 GSM1126671 GSM1126672 GSM1126673 GSM1126674 GSM1126675 GSM1126676 GSM1126677 GSM1126678 GSM1126679 GSM1126680 GSM1126681 GSM1126682 GSM1126683 GSM1126684 GSM1126685 GSM1126686 GSM1126687 GSM1126688 GSM1126689 GSM1126690 GSM1126691 "
!Series_contact_name	"Kai-Chien,,Yang"
!Series_contact_laboratory	"Nerbonne"
!Series_contact_department	"Developmental Biology"
!Series_contact_institute	"Washington University in St Louis"
!Series_contact_address	"660 South Euclid Avenue Box 8103"
!Series_contact_city	"St Louis"
!Series_contact_state	"MO"
!Series_contact_zip/postal_code	"63110-1093"
!Series_contact_country	"USA"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46224/suppl/GSE46224_Yang_et_al_human_heart_RNASeq.txt.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46224/suppl/GSE46224_Yang_et_al_human_heart_miRNASeq.txt.gz"
!Series_platform_id	"GPL11154"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA198165"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP021193"

