!Sample_title	!Sample_geo_accession	!Sample_status	!Sample_submission_date	!Sample_last_update_date	!Sample_type	!Sample_channel_count	!Sample_source_name_ch1	!Sample_organism_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_molecule_ch1	!Sample_extract_protocol_ch1	!Sample_extract_protocol_ch1	!Sample_taxid_ch1	!Sample_data_processing	!Sample_data_processing	!Sample_data_processing	!Sample_data_processing	!Sample_data_processing	!Sample_data_processing	!Sample_platform_id	!Sample_contact_name	!Sample_contact_email	!Sample_contact_department	!Sample_contact_institute	!Sample_contact_address	!Sample_contact_city	!Sample_contact_zip/postal_code	!Sample_contact_country	!Sample_data_row_count	!Sample_instrument_model	!Sample_library_selection	!Sample_library_source	!Sample_library_strategy	!Sample_relation	!Sample_relation	!Sample_supplementary_file_1	!series_matrix_table_begin	ID_REF	!Sample	sample id	group
primary colorectal cancer AMC_2-1	GSM1228184	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353232	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347887	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228184/suppl/GSM1228184_AMC_2.1_FPKM.txt.gz		GSM1228184	primary colorectal cancer AMC	2	1
primary colorectal cancer AMC_3-1	GSM1228185	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353258	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347888	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228185/suppl/GSM1228185_AMC_3.1_FPKM.txt.gz		GSM1228185	primary colorectal cancer AMC	3	1
primary colorectal cancer AMC_5-1	GSM1228186	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353264	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347889	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228186/suppl/GSM1228186_AMC_5.1_FPKM.txt.gz		GSM1228186	primary colorectal cancer AMC	5	1
primary colorectal cancer AMC_6-1	GSM1228187	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353233	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347890	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228187/suppl/GSM1228187_AMC_6.1_FPKM.txt.gz		GSM1228187	primary colorectal cancer AMC	6	1
primary colorectal cancer AMC_7-1	GSM1228188	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353255	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347891	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228188/suppl/GSM1228188_AMC_7.1_FPKM.txt.gz		GSM1228188	primary colorectal cancer AMC	7	1
primary colorectal cancer AMC_8-1	GSM1228189	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353269	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347892	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228189/suppl/GSM1228189_AMC_8.1_FPKM.txt.gz		GSM1228189	primary colorectal cancer AMC	8	1
primary colorectal cancer AMC_9-1	GSM1228190	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353234	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347893	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228190/suppl/GSM1228190_AMC_9.1_FPKM.txt.gz		GSM1228190	primary colorectal cancer AMC	9	1
primary colorectal cancer AMC_10-1	GSM1228191	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353260	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347894	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228191/suppl/GSM1228191_AMC_10.1_FPKM.txt.gz		GSM1228191	primary colorectal cancer AMC	10	1
primary colorectal cancer AMC_12-1	GSM1228192	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353266	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347895	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228192/suppl/GSM1228192_AMC_12.1_FPKM.txt.gz		GSM1228192	primary colorectal cancer AMC	12	1
primary colorectal cancer AMC_13-1	GSM1228193	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353236	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347896	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228193/suppl/GSM1228193_AMC_13.1_FPKM.txt.gz		GSM1228193	primary colorectal cancer AMC	13	1
