Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue_type
SRR1146076,RNA-Seq,79,2021695794,PRJNA236547,SAMN02598104,1373438480,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451304,GSM1315608,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315608,normal_skin,SRP035988,normal skin
SRR1146077,RNA-Seq,79,981726601,PRJNA236547,SAMN02598078,676934050,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451305,GSM1315609,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315609,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146078,RNA-Seq,79,1238671573,PRJNA236547,SAMN02598081,863874741,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451306,GSM1315610,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315610,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146079,RNA-Seq,74,3878850600,PRJNA236547,SAMN02598082,3140509192,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451307,GSM1315612,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315612,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146080,RNA-Seq,74,3551043772,PRJNA236547,SAMN02598080,2868494532,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451308,GSM1315613,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315613,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146081,RNA-Seq,79,921463189,PRJNA236547,SAMN02598079,625617717,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451309,GSM1315615,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315615,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146082,RNA-Seq,71,1800199036,PRJNA236547,SAMN02598085,1222189116,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451310,GSM1315617,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315617,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146083,RNA-Seq,79,3149138211,PRJNA236547,SAMN02598083,1482840140,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451311,GSM1315618,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315618,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146084,RNA-Seq,79,3718759969,PRJNA236547,SAMN02598083,1708287015,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451311,GSM1315618,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315618,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146085,RNA-Seq,79,3571432079,PRJNA236547,SAMN02598089,2228133355,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451312,GSM1315621,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315621,normal_skin,SRP035988,normal skin
SRR1146086,RNA-Seq,79,3428138087,PRJNA236547,SAMN02598089,1543395940,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451312,GSM1315621,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315621,normal_skin,SRP035988,normal skin
SRR1146087,RNA-Seq,79,785631063,PRJNA236547,SAMN02598092,533949817,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451313,GSM1315623,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315623,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146088,RNA-Seq,79,785225635,PRJNA236547,SAMN02598084,536517076,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451314,GSM1315625,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315625,normal_skin,SRP035988,normal skin
SRR1146089,RNA-Seq,71,1731008613,PRJNA236547,SAMN02598090,1173714714,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451315,GSM1315627,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315627,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146090,RNA-Seq,71,1700517166,PRJNA236547,SAMN02598102,1160748752,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451316,GSM1315629,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315629,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146091,RNA-Seq,79,3511764880,PRJNA236547,SAMN02598088,2022776728,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451317,GSM1315630,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315630,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146092,RNA-Seq,79,844625972,PRJNA236547,SAMN02598096,576490025,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451318,GSM1315631,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315631,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146093,RNA-Seq,79,1047048699,PRJNA236547,SAMN02598094,713394030,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451319,GSM1315632,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315632,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146094,RNA-Seq,79,1738794898,PRJNA236547,SAMN02598087,1198409072,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451320,GSM1315633,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315633,Psoriasis_skin,SRP035988,lesional psoriatic skin
