!Series_title	"RNA-seq analysis of human heart failure"
!Series_geo_accession	"GSE55296"
!Series_status	"Public on Apr 28 2014"
!Series_submission_date	"Feb 24 2014"
!Series_last_update_date	"Apr 27 2022"
!Series_pubmed_id	"24599027"
!Series_pubmed_id	"25137373"
!Series_pubmed_id	"25884818"
!Series_pubmed_id	"31009519"
!Series_pubmed_id	"29667349"
!Series_pubmed_id	"27041589"
!Series_pubmed_id	"26710323"
!Series_pubmed_id	"28934278"
!Series_pubmed_id	"29320567"
!Series_pubmed_id	"27936202"
!Series_pubmed_id	"27481317"
!Series_pubmed_id	"31554869"
!Series_pubmed_id	"34829621"
!Series_pubmed_id	"35052814"
!Series_pubmed_id	"35453616"
!Series_summary	"The goal of this study is to compare the transcriptome of heart failure patients (with ischemic or dilated cardiomyopathy) undergoing heart transplantation compared with healthy controls."
!Series_overall_design	"We analyzed 36 human samples. 13 from ischemic and 13 from dilated human hearts compared with 10 healthy control donors."
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Estefanía,,Tarazón"
!Series_contributor	"Esther,,Roselló-Lletí"
!Series_contributor	"Ana,,Ortega"
!Series_contributor	"Maria,M,Molina-Navarro"
!Series_contributor	"Juan,C,Triviño"
!Series_contributor	"Francisca,,Lago"
!Series_contributor	"José,R,González-Juanatey"
!Series_contributor	"Placido,,Orosa"
!Series_contributor	"José,A,Montero"
!Series_contributor	"Antonio,,Salvador"
!Series_contributor	"Manuel,,Portolés"
!Series_contributor	"Miguel,,Rivera"
!Series_sample_id	"GSM1333746 GSM1333747 GSM1333748 GSM1333749 GSM1333750 GSM1333751 GSM1333752 GSM1333753 GSM1333754 GSM1333755 GSM1333756 GSM1333757 GSM1333758 GSM1333759 GSM1333760 GSM1333761 GSM1333762 GSM1333763 GSM1333764 GSM1333765 GSM1333766 GSM1333767 GSM1333768 GSM1333769 GSM1333770 GSM1333771 GSM1333772 GSM1333773 GSM1333774 GSM1333775 GSM1333776 GSM1333777 GSM1333778 GSM1333779 GSM1333780 GSM1333781 "
!Series_contact_name	"Estefanía,Tarazón,Melguizo"
!Series_contact_institute	"Health Research Institute La Fe"
!Series_contact_address	"Avenida Fernando Abril Martorell, 106"
!Series_contact_city	"Valencia"
!Series_contact_state	"Valencia"
!Series_contact_zip/postal_code	"46026"
!Series_contact_country	"Spain"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55296/suppl/GSE55296_count_data.txt.gz"
!Series_platform_id	"GPL16288"
