Run,Assay Type,AvgSpotLen,Bases,Batch,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,passages,Platform,ReleaseDate,Sample Name,shRNA_target_gene_and_trc_accession,source_name,SRA Study
SRR1576833,RNA-Seq,100,1153356600,2,PRJNA261297,SAMN03071881,721138209,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702572,GSM1506106,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506106,CHD8 (TRCN0000016512),human NPCs,SRP047233
SRR1576834,RNA-Seq,100,1151456900,2,PRJNA261297,SAMN03071881,719211313,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702572,GSM1506106,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506106,CHD8 (TRCN0000016512),human NPCs,SRP047233
SRR1576835,RNA-Seq,100,1418644900,2,PRJNA261297,SAMN03071882,889520297,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702573,GSM1506107,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506107,CHD8 (TRCN0000016512),human NPCs,SRP047233
SRR1576836,RNA-Seq,100,1400247900,2,PRJNA261297,SAMN03071882,877068216,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702573,GSM1506107,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506107,CHD8 (TRCN0000016512),human NPCs,SRP047233
SRR1576837,RNA-Seq,100,1767569700,2,PRJNA261297,SAMN03071883,1113032404,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702574,GSM1506108,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506108,CHD8 (TRCN0000016511),human NPCs,SRP047233
SRR1576838,RNA-Seq,100,1761669900,2,PRJNA261297,SAMN03071883,1108272092,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702574,GSM1506108,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506108,CHD8 (TRCN0000016511),human NPCs,SRP047233
SRR1576839,RNA-Seq,100,1856246500,2,PRJNA261297,SAMN03071884,1169255500,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702575,GSM1506109,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506109,CHD8 (TRCN0000016511),human NPCs,SRP047233
SRR1576840,RNA-Seq,100,1845256200,2,PRJNA261297,SAMN03071884,1161324172,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702575,GSM1506109,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506109,CHD8 (TRCN0000016511),human NPCs,SRP047233
SRR1576841,RNA-Seq,100,1089264800,1,PRJNA261297,SAMN03071885,709534939,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702576,GSM1506110,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506110,CHD8 (TRCN0000016510),human NPCs,SRP047233
SRR1576842,RNA-Seq,100,1103200700,1,PRJNA261297,SAMN03071885,721773403,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702576,GSM1506110,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506110,CHD8 (TRCN0000016510),human NPCs,SRP047233
SRR1576843,RNA-Seq,100,1092824700,1,PRJNA261297,SAMN03071885,714492472,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702576,GSM1506110,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506110,CHD8 (TRCN0000016510),human NPCs,SRP047233
SRR1576844,RNA-Seq,100,1064881600,1,PRJNA261297,SAMN03071886,692600862,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702577,GSM1506111,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506111,CHD8 (TRCN0000016510),human NPCs,SRP047233
SRR1576845,RNA-Seq,100,1079577500,1,PRJNA261297,SAMN03071886,705089793,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702577,GSM1506111,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506111,CHD8 (TRCN0000016510),human NPCs,SRP047233
SRR1576846,RNA-Seq,100,1051599200,1,PRJNA261297,SAMN03071886,686566071,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702577,GSM1506111,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506111,CHD8 (TRCN0000016510),human NPCs,SRP047233
SRR1576847,RNA-Seq,100,2098375600,1,PRJNA261297,SAMN03071887,1360463006,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702578,GSM1506112,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506112,CHD8 (TRCN0000360109),human NPCs,SRP047233
SRR1576848,RNA-Seq,100,2126202000,1,PRJNA261297,SAMN03071887,1384492679,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702578,GSM1506112,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506112,CHD8 (TRCN0000360109),human NPCs,SRP047233
SRR1576849,RNA-Seq,100,2086008600,1,PRJNA261297,SAMN03071887,1357418471,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702578,GSM1506112,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506112,CHD8 (TRCN0000360109),human NPCs,SRP047233
