Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,diagnosis,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sequenced_molecule,source_name,SRA Study,tissue
SRR1658409,RNA-Seq,40,379422360,PRJNA268095,SAMN03202961,264780208,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Papillary Thyroid Carcinoma,SRX764770,GSM1551280,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-08-24T00:00:00Z,GSM1551280,mRNA,Thyroid tumor tissue,SRP050087,Thyroid tumor
SRR1658410,RNA-Seq,40,450228840,PRJNA268095,SAMN03202976,321440742,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Papillary Thyroid Carcinoma,SRX764771,GSM1551281,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-08-24T00:00:00Z,GSM1551281,mRNA,Thyroid tumor tissue,SRP050087,Thyroid tumor
SRR1658411,RNA-Seq,40,599362920,PRJNA268095,SAMN03202975,422721148,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Papillary Thyroid Carcinoma,SRX764772,GSM1551282,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-08-24T00:00:00Z,GSM1551282,mRNA,Thyroid tumor tissue,SRP050087,Thyroid tumor
SRR1658412,RNA-Seq,40,463838680,PRJNA268095,SAMN03202983,324511611,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Papillary Thyroid Carcinoma,SRX764773,GSM1551283,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-08-24T00:00:00Z,GSM1551283,mRNA,Thyroid tumor tissue,SRP050087,Thyroid tumor
SRR1658413,RNA-Seq,40,631909480,PRJNA268095,SAMN03202978,444660076,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Papillary Thyroid Carcinoma,SRX764774,GSM1551284,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-08-24T00:00:00Z,GSM1551284,mRNA,Thyroid tumor tissue,SRP050087,Thyroid tumor
SRR1658414,RNA-Seq,40,391402560,PRJNA268095,SAMN03202979,278653584,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Papillary Thyroid Carcinoma,SRX764775,GSM1551285,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-08-24T00:00:00Z,GSM1551285,mRNA,Thyroid tumor tissue,SRP050087,Thyroid tumor
SRR1658415,RNA-Seq,40,434296360,PRJNA268095,SAMN03202962,303241142,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Papillary Thyroid Carcinoma,SRX764776,GSM1551286,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-08-24T00:00:00Z,GSM1551286,mRNA,Thyroid tumor tissue,SRP050087,Thyroid tumor
SRR1658416,RNA-Seq,40,848936800,PRJNA268095,SAMN03202964,588883140,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Papillary Thyroid Carcinoma,SRX764777,GSM1551287,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-08-24T00:00:00Z,GSM1551287,mRNA,Thyroid tumor tissue,SRP050087,Thyroid tumor
SRR1658417,RNA-Seq,40,493386000,PRJNA268095,SAMN03202965,331260464,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Papillary Thyroid Carcinoma,SRX764778,GSM1551288,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-08-24T00:00:00Z,GSM1551288,mRNA,Normal Thyroid tissue,SRP050087,Normal Thyroid
SRR1658418,RNA-Seq,40,617128040,PRJNA268095,SAMN03202972,422982449,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Papillary Thyroid Carcinoma,SRX764779,GSM1551289,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-08-24T00:00:00Z,GSM1551289,mRNA,Normal Thyroid tissue,SRP050087,Normal Thyroid
