Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,source_name,SRA Study,tissue
SRR1686768,RNA-Seq,51,3305629617,PRJNA268971,SAMN03247192,1654975690,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",asthma,SRX791642,GSM1556623,Illumina HiSeq 1500,SINGLE,CAGE,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-02-18T00:00:00Z,GSM1556623,bronchial smooth muscle cells,lung,SRP050390,lung
SRR1686769,RNA-Seq,51,2082588366,PRJNA268971,SAMN03247187,1045542854,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",asthma,SRX791643,GSM1556624,Illumina HiSeq 1500,SINGLE,CAGE,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-02-18T00:00:00Z,GSM1556624,bronchial smooth muscle cells,lung,SRP050390,lung
SRR1686770,RNA-Seq,51,1505129442,PRJNA268971,SAMN03247189,765883397,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",asthma,SRX791644,GSM1556625,Illumina HiSeq 1500,SINGLE,CAGE,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-02-18T00:00:00Z,GSM1556625,bronchial smooth muscle cells,lung,SRP050390,lung
SRR1686771,RNA-Seq,51,1401222960,PRJNA268971,SAMN03247190,707902375,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",asthma,SRX791645,GSM1556626,Illumina HiSeq 1500,SINGLE,CAGE,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-02-18T00:00:00Z,GSM1556626,bronchial smooth muscle cells,lung,SRP050390,lung
SRR1686772,RNA-Seq,51,1088201892,PRJNA268971,SAMN03247191,547915969,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",asthma,SRX791646,GSM1556627,Illumina HiSeq 1500,SINGLE,CAGE,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-02-18T00:00:00Z,GSM1556627,bronchial smooth muscle cells,lung,SRP050390,lung
SRR1686773,RNA-Seq,51,689271222,PRJNA268971,SAMN03247195,351347610,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",asthma,SRX791647,GSM1556628,Illumina HiSeq 1500,SINGLE,CAGE,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-02-18T00:00:00Z,GSM1556628,bronchial smooth muscle cells,lung,SRP050390,lung
SRR1686774,RNA-Seq,51,1358692479,PRJNA268971,SAMN03247194,696220023,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",asthma,SRX791648,GSM1556629,Illumina HiSeq 1500,SINGLE,CAGE,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-02-18T00:00:00Z,GSM1556629,bronchial smooth muscle cells,lung,SRP050390,lung
SRR1686775,RNA-Seq,51,576564231,PRJNA268971,SAMN03247193,291630364,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",asthma,SRX791649,GSM1556630,Illumina HiSeq 1500,SINGLE,CAGE,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-02-18T00:00:00Z,GSM1556630,bronchial smooth muscle cells,lung,SRP050390,lung
SRR1686776,RNA-Seq,51,641380794,PRJNA268971,SAMN03247188,325552936,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX791650,GSM1556631,Illumina HiSeq 1500,SINGLE,CAGE,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-02-18T00:00:00Z,GSM1556631,bronchial smooth muscle cells,lung,SRP050390,lung
SRR1686777,RNA-Seq,51,670451865,PRJNA268971,SAMN03247199,333544386,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX791651,GSM1556632,Illumina HiSeq 1500,SINGLE,CAGE,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-02-18T00:00:00Z,GSM1556632,bronchial smooth muscle cells,lung,SRP050390,lung
