Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_subset,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR3924132,RNA-Seq,50,321307200,PRJNA329186,SAMN05392615,146921810,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950652,GSM2236277,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236277,Cryopreserved PBMC,SRP078560
SRR3924133,RNA-Seq,50,324085400,PRJNA329186,SAMN05392615,147040194,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950652,GSM2236277,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236277,Cryopreserved PBMC,SRP078560
SRR3924134,RNA-Seq,50,323628950,PRJNA329186,SAMN05392615,147239525,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950652,GSM2236277,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236277,Cryopreserved PBMC,SRP078560
SRR3924135,RNA-Seq,50,325054450,PRJNA329186,SAMN05392615,148415465,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950652,GSM2236277,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236277,Cryopreserved PBMC,SRP078560
SRR3924140,RNA-Seq,50,267598200,PRJNA329186,SAMN05392617,124860996,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950654,GSM2236279,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236279,Cryopreserved PBMC,SRP078560
SRR3924141,RNA-Seq,50,264075700,PRJNA329186,SAMN05392617,123001621,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950654,GSM2236279,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236279,Cryopreserved PBMC,SRP078560
SRR3924142,RNA-Seq,50,263894250,PRJNA329186,SAMN05392617,123320672,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950654,GSM2236279,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236279,Cryopreserved PBMC,SRP078560
SRR3924143,RNA-Seq,50,270967050,PRJNA329186,SAMN05392617,126303535,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950654,GSM2236279,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236279,Cryopreserved PBMC,SRP078560
SRR3924148,RNA-Seq,50,247421450,PRJNA329186,SAMN05392619,119752602,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950656,GSM2236281,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236281,Cryopreserved PBMC,SRP078560
SRR3924149,RNA-Seq,50,234705700,PRJNA329186,SAMN05392619,114086992,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950656,GSM2236281,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236281,Cryopreserved PBMC,SRP078560
