Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_status,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR4026683,RNA-Seq,GCA_000001405.13,49,2071862735,PRJNA338808,SAMN05571230,684510059,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018635,GSM2277396,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277396,Airway Epithelial cells,SRP081599
SRR4026650,RNA-Seq,GCA_000001405.13,50,840495056,PRJNA338808,SAMN05571290,336645272,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018602,GSM2277363,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277363,Airway Epithelial cells,SRP081599
SRR4026642,RNA-Seq,GCA_000001405.13,50,934827363,PRJNA338808,SAMN05571298,373943791,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018594,GSM2277355,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277355,Airway Epithelial cells,SRP081599
SRR4026653,RNA-Seq,GCA_000001405.13,50,2689144232,PRJNA338808,SAMN05571287,1151965472,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018605,GSM2277366,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277366,Airway Epithelial cells,SRP081599
SRR4026677,RNA-Seq,GCA_000001405.13,50,1052969286,PRJNA338808,SAMN05571237,444216425,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018629,GSM2277390,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277390,Airway Epithelial cells,SRP081599
SRR4026663,RNA-Seq,GCA_000001405.13,50,1590410430,PRJNA338808,SAMN05571251,719070766,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018615,GSM2277376,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277376,Airway Epithelial cells,SRP081599
SRR4026675,RNA-Seq,GCA_000001405.13,50,1372278100,PRJNA338808,SAMN05571239,657293650,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018627,GSM2277388,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277388,Airway Epithelial cells,SRP081599
SRR4026640,RNA-Seq,GCA_000001405.13,50,2353960829,PRJNA338808,SAMN05571300,903686905,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018592,GSM2277353,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277353,Airway Epithelial cells,SRP081599
SRR4026647,RNA-Seq,GCA_000001405.13,49,1376553660,PRJNA338808,SAMN05571293,466001662,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018599,GSM2277360,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277360,Airway Epithelial cells,SRP081599
SRR4026673,RNA-Seq,GCA_000001405.13,50,2333547108,PRJNA338808,SAMN05571241,1115751378,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018625,GSM2277386,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277386,Airway Epithelial cells,SRP081599
SRR4026703,RNA-Seq,GCA_000001405.13,50,1629103424,PRJNA338808,SAMN05571267,783313930,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018655,GSM2277416,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277416,Airway Epithelial cells,SRP081599
SRR4026689,RNA-Seq,GCA_000001405.13,50,1207123055,PRJNA338808,SAMN05571281,516717599,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018641,GSM2277402,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277402,Airway Epithelial cells,SRP081599
SRR4026700,RNA-Seq,GCA_000001405.13,49,1031760946,PRJNA338808,SAMN05571270,367968133,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018652,GSM2277413,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277413,Airway Epithelial cells,SRP081599
SRR4026634,RNA-Seq,GCA_000001405.13,50,2056130046,PRJNA338808,SAMN05571306,885261674,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018586,GSM2277347,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277347,Airway Epithelial cells,SRP081599
SRR4026687,RNA-Seq,GCA_000001405.13,50,3801343629,PRJNA338808,SAMN05571233,1681344523,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018639,GSM2277400,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277400,Airway Epithelial cells,SRP081599
SRR4026704,RNA-Seq,GCA_000001405.13,50,796628953,PRJNA338808,SAMN05571266,328821324,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018656,GSM2277417,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277417,Airway Epithelial cells,SRP081599
