!Series_title	"A distinct epigenetic profile distinguishes stenotic from non-inflamed fibroblasts in the ileal mucosa of Crohn's disease patients [RNA-seq]"
!Series_geo_accession	"GSE99816"
!Series_status	"Public on Dec 19 2018"
!Series_submission_date	"Jun 08 2017"
!Series_last_update_date	"May 15 2019"
!Series_pubmed_id	"30589872"
!Series_summary	"The Illumina NextSeq500 was used to sequence the gene expression profiles of 21 ileal fibroblast samples. Samples included 6 control samples and 15 Crohn’s disease samples. The Crohn’s disease samples can be further subdivided into inflamed (4), non-inflamed (6) and stenotic (5) samples."
!Series_summary	""
!Series_summary	"This experiment together was performed in conjunction with a DNA methylation experiment (GSE99788). Use Supplemental Table 2 of the manuscript to quickly find the samples that were present in both experiments."
!Series_overall_design	"RNA from 21 samples were sequenced on the Illumina NextSeq500"
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"A,Y,Li Yim"
!Series_contributor	"J,R,de Bruyn"
!Series_contributor	"N,W,Duijvis"
!Series_contributor	"C,,Sharp"
!Series_contributor	"E,,Ferrero"
!Series_contributor	"W,J,de Jonge"
!Series_contributor	"M,E,Wildenberg"
!Series_contributor	"M,M,Mannens"
!Series_contributor	"C,J,Buskens"
!Series_contributor	"G,R,D’Haens"
!Series_contributor	"P,,Henneman"
!Series_contributor	"A,A,te Velde"
!Series_sample_id	"GSM2653405 GSM2653406 GSM2653407 GSM2653408 GSM2653409 GSM2653410 GSM2653411 GSM2653412 GSM2653413 GSM2653414 GSM2653415 GSM2653416 GSM2653417 GSM2653418 GSM2653419 GSM2653420 GSM2653421 GSM2653422 GSM2653423 GSM2653424 GSM2653425 "
!Series_contact_name	"Peter,,Henneman"
!Series_contact_laboratory	"Genome Diagnostics"
!Series_contact_department	"Clinical Genetics"
!Series_contact_institute	"Academic Medical Center Amsterdam"
!Series_contact_address	"Meibergdreef 9"
!Series_contact_city	"Amsterdam"
!Series_contact_state	"Noord Holland"
!Series_contact_zip/postal_code	"1105 AZ"
!Series_contact_country	"Netherlands"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99816/suppl/GSE99816_Normalized_Fibroblast_Expression_Data.csv.gz"
!Series_platform_id	"GPL18573"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA389715"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP108847"

!Sample_title	"Fibroblast Non_CD sample 28 from patient 15"	"Fibroblast Non_CD sample 29 from patient 15"	"Fibroblast Non_CD sample 30 from patient 15"	"Fibroblast Non_CD sample 4 from patient 3"	"Fibroblast Non_CD sample 7 from patient 5"	"Fibroblast Non_CD sample 18 from patient 10"	"Fibroblast NINF sample 19 from patient 11"	"Fibroblast NINF sample 2 from patient 2"	"Fibroblast NINF sample 16 from patient 9"	"Fibroblast NINF sample 1 from patient 1"	"Fibroblast NINF sample 9 from patient 7"	"Fibroblast NINF sample 14 from patient 8"	"Fibroblast INF sample 15 from patient 8"	"Fibroblast INF sample 11 from patient 7"	"Fibroblast INF sample 8 from patient 6"	"Fibroblast INF sample 20 from patient 11"	"Fibroblast STEN sample 24 from patient 12"	"Fibroblast STEN sample 26 from patient 14"	"Fibroblast STEN sample 27 from patient 14"	"Fibroblast STEN sample 25 from patient 13"	"Fibroblast STEN sample 12 from patient 7"
