SYMBOL,dataset_corr_count
A1BG,4
A4GALT,2
A4GNT,1
AAAS,2
AACS,1
AADACL2-AS1,1
AADAT,1
AAK1,1
AAMDC,1
AAMP,1
AANAT,2
AARS2,3
AARSD1,4
AASDH,2
AASS,1
AATBC,1
AATF,2
AATK,1
ABALON,1
ABAT,1
ABCA1,2
ABCA13,1
ABCA2,1
ABCA3,1
ABCA4,1
ABCA5,1
ABCA6,1
ABCA8,2
ABCA9,1
ABCA9-AS1,1
ABCB1,1
ABCB10,1
ABCB11,1
ABCB5,1
ABCB6,1
ABCB8,1
ABCB9,1
ABCC1,2
ABCC11,1
ABCC12,1
ABCC2,1
ABCC3,1
ABCC4,2
ABCC5,2
ABCC5-AS1,1
ABCC6P1,1
ABCC8,1
ABCC9,1
ABCD1,1
ABCD2,1
ABCD3,2
ABCF1,1
ABCF2,2
ABCF3,1
ABCG1,1
ABCG2,1
ABHD1,1
ABHD10,3
ABHD11,2
ABHD12,1
ABHD12B,1
ABHD14A-ACY1,1
ABHD14B,1
ABHD17A,1
ABHD17B,1
ABHD2,2
ABHD3,1
ABHD4,1
ABHD5,3
ABHD6,2
ABI1,1
ABI2,1
ABI3BP,2
ABL1,1
ABL2,1
ABLIM1,2
ABLIM2,2
ABLIM3,2
ABR,1
ABRA,1
ABRACL,4
ABRAXAS2,2
ABT1,2
ABTB1,3
ABTB2,1
ACAA1,1
ACAA2,1
ACACA,3
ACACB,1
ACAD11,1
ACAD8,1
ACAD9,1
ACADM,1
ACADSB,1
ACAP1,1
ACAP2,1
ACAP3,1
ACAT1,2
ACAT2,1
ACBD3,2
ACBD3-AS1,1
ACBD4,1
ACBD5,2
ACBD6,1
ACBD7,1
ACCS,2
ACCSL,1
ACE,1
ACER2,1
ACER3,1
ACIN1,1
ACKR2,2
ACKR3,1
ACKR4,1
ACLY,1
ACO1,1
ACO2,1
ACOD1,2
ACOT1,1
ACOT11,1
ACOT13,1
ACOT2,1
ACOT6,2
ACOT7,2
ACOT8,2
ACOX1,1
ACOX2,1
ACOX3,1
ACOXL,1
ACP1,1
ACP2,1
ACP6,2
ACP7,2
ACRV1,1
ACSF2,1
ACSF3,1
ACSL3,1
ACSL4,1
ACSM1,1
ACSS1,1
ACSS2,1
ACSS3,3
ACTA1,1
ACTA2,1
ACTA2-AS1,1
ACTB,1
ACTBL2,1
ACTG1,2
ACTL10,1
ACTL6A,1
ACTL7B,1
ACTL8,1
ACTN1,1
ACTN1-AS1,2
ACTN2,1
ACTN4,3
ACTR1A,2
ACTR1B,3
ACTR2,1
ACTR3,1
ACTR3-AS1,2
ACTR3BP2,2
ACTR3BP5,5
ACTR3C,1
ACTR5,4
ACTR6,1
ACTR8,2
ACTRT1,1
ACTRT2,1
ACVR1,2
ACVR1B,1
ACVR1C,1
ACVR2A,1
ACVR2B-AS1,2
ACY1,1
ACY3,1
ACYP1,1
ACYP2,1
ADAL,1
ADAM10,2
ADAM11,1
ADAM12,1
ADAM15,3
ADAM17,1
ADAM19,1
ADAM2,1
ADAM22,1
ADAM23,1
ADAM28,1
ADAM33,1
ADAM8,1
ADAM9,2
ADAMTS1,1
ADAMTS12,1
ADAMTS14,1
ADAMTS15,1
ADAMTS16,1
ADAMTS17,1
ADAMTS18,1
ADAMTS2,1
ADAMTS20,1
ADAMTS3,1
ADAMTS5,1
ADAMTS6,2
ADAMTS7,1
ADAMTS8,1
ADAMTS9,1
ADAMTSL1,2
ADAMTSL3,1
ADAMTSL4,1
ADAMTSL4-AS1,3
ADAMTSL5,1
ADAP1,1
ADAR,3
ADARB1,1
ADARB2,1
ADAT1,1
ADAT2,2
ADAT3,1
ADCK1,1
ADCK5,1
ADCY1,1
ADCY10,1
ADCY3,2
ADCY6,3
ADCY7,2
ADCY8,1
ADCY9,2
ADD1,1
ADD3,1
ADGRA3,2
ADGRB2,1
ADGRD1,1
ADGRE2,1
ADGRE4P,1
ADGRE5,1
ADGRF1,2
ADGRF3,2
ADGRF4,1
ADGRF5,1
ADGRG1,1
ADGRG5,2
ADGRG6,1
ADGRG7,1
ADGRL1,1
ADGRL2,2
ADGRL3-AS1,1
ADGRL4,2
ADGRV1,1
ADH1A,1
ADH1B,1
ADHFE1,1
ADI1,2
ADIPOQ-AS1,1
ADIPOR1,1
ADIPOR2,1
ADK,2
ADM,1
ADNP,1
ADNP-AS1,1
ADNP2,1
ADORA2A,1
ADORA2B,2
ADORA3,2
ADPGK,1
ADPGK-AS1,1
ADPRH,2
ADPRHL1,1
ADRA1B,1
ADRA1D,1
ADRA2A,1
ADRA2B,1
ADRB1,1
ADRB2,1
ADRM1,1
ADSL,1
ADSS1,1
ADSS2,1
ADTRP,1
AEBP2,2
AEN,1
AFAP1,2
AFAP1L1,1
AFDN,2
AFF1,1
AFF1-AS1,1
AFF3,2
AFF4,1
AFG1L,1
AFG3L1P,1
AFG3L2,2
AFM,1
AFMID,1
AGA,1
AGAP1,1
AGAP11,3
AGAP2-AS1,1
AGAP3,1
AGBL2,1
AGBL3,2
AGBL5,1
AGFG1,1
AGFG2,2
AGGF1,1
AGK,2
AGMAT,1
AGMO,1
AGO1,1
AGO2,1
AGO3,1
AGO4,2
AGPAT2,1
AGPAT3,1
AGPAT4,1
AGPAT5,1
AGPS,1
AGR2,1
AGR3,1
AGRN,1
AGRP,1
AGT,1
AGTPBP1,1
AGTR1,1
AGTRAP,2
AHCTF1,1
AHCY,1
AHCYL1,2
AHCYL2,1
AHDC1,2
AHI1,2
AHNAK,1
AHNAK2,1
AHR,1
AHRR,3
AHSA1,1
AIF1L,2
AIFM1,1
AIFM2,2
AIG1,1
AIM2,1
AIMP1,1
AIP,3
AIPL1,1
AK3,2
AK4,2
AK5,2
AK6,2
AK7,1
AK8,1
AKAP1,2
AKAP10,1
AKAP11,2
AKAP12,2
AKAP13,2
AKAP17A,1
AKAP6,1
AKAP7,1
AKAP8,2
AKAP8L,1
AKIRIN1,2
AKIRIN2,1
AKNA,2
AKNAD1,1
AKR1A1,1
AKR1B1,2
AKR1B10,1
AKR1C2,1
AKR1D1,1
AKR1E2,1
AKT2,1
AKT3,3
AKTIP,1
ALAS1,1
ALCAM,2
ALDH16A1,1
ALDH18A1,2
ALDH1A1,1
ALDH1A2,1
ALDH1A3,1
ALDH1B1,3
ALDH1L1-AS2,2
ALDH1L2,2
ALDH2,2
ALDH3A1,2
ALDH3A2,1
ALDH3B1,1
ALDH3B2,1
ALDH4A1,1
ALDH6A1,1
ALDH7A1,1
ALDH9A1,1
ALDOA,2
ALDOC,1
ALG1,1
ALG10,1
ALG10B,1
ALG13,2
ALG14,2
ALG1L2,1
ALG3,1
ALG5,1
ALG6,2
ALK,1
ALKBH1,2
ALKBH2,1
ALKBH3,1
ALKBH3-AS1,1
ALKBH5,2
ALKBH6,2
ALKBH8,1
ALMS1,2
ALOX12B,2
ALOX12P2,2
ALOX15B,1
ALOX5AP,1
ALOXE3,1
ALPK1,1
ALPK2,1
ALPK3,3
ALPL,1
ALS2,1
ALX3,1
AMACR,1
AMBP,1
AMBRA1,2
AMD1,1
AMDHD1,3
AMELY,2
AMER1,1
AMFR,2
AMHR2,1
AMIGO2,2
AMMECR1,1
AMN1,1
AMOT,2
AMOTL1,1
AMOTL2,2
AMPD2,1
AMPD3,1
AMT,1
AMZ2,1
AMZ2P1,2
ANAPC1,1
ANAPC10,2
ANAPC11,1
ANAPC13,1
ANAPC15,1
ANAPC16,1
ANAPC4,1
ANAPC5,2
ANAPC7,1
ANG,1
ANGEL1,1
ANGEL2,2
ANGPT1,1
ANGPT2,1
ANGPT4,1
ANGPTL1,1
ANGPTL2,1
ANGPTL3,1
ANGPTL4,2
ANGPTL6,1
ANHX,3
ANK1,1
ANK2,2
ANK3,2
ANKAR,3
ANKDD1B,1
ANKFN1,1
ANKFY1,2
ANKH,3
ANKHD1,1
ANKK1,1
ANKLE2,1
ANKMY1,2
ANKMY2,1
ANKRA2,3
ANKRD1,2
ANKRD10,1
ANKRD11,1
ANKRD12,2
ANKRD13A,1
ANKRD13B,2
ANKRD13C,1
ANKRD13D,1
ANKRD16,1
ANKRD17,2
ANKRD18B,1
ANKRD2,1
ANKRD20A11P,1
ANKRD20A19P,1
ANKRD20A2,1
ANKRD20A4-ANKRD20A20P,1
ANKRD20A5P,1
ANKRD22,1
ANKRD23,3
ANKRD26,1
ANKRD26P1,7
ANKRD27,1
ANKRD28,3
ANKRD29,2
ANKRD30A,1
ANKRD30BL,1
ANKRD31,1
ANKRD33,1
ANKRD33B,1
ANKRD34A,1
ANKRD35,1
ANKRD36,2
ANKRD36B,1
ANKRD36C,1
ANKRD37,1
ANKRD40,1
ANKRD42,3
ANKRD44,2
ANKRD44-IT1,1
ANKRD46,2
ANKRD49,1
ANKRD50,1
ANKRD52,2
ANKRD53,2
ANKRD55,2
ANKRD6,1
ANKRD62,1
ANKRD7,2
ANKRD9,1
ANKS1A,1
ANKS1B,1
ANKS3,1
ANKS6,3
ANKUB1,1
ANKZF1,1
ANLN,2
ANO1,1
ANO10,1
ANO3,1
ANO4,1
ANO5,1
ANO6,2
ANO7,1
ANOS1,1
ANP32A,1
ANP32B,1
ANP32D,1
ANP32E,1
ANPEP,2
ANTXR1,1
ANTXR2,2
ANTXRL,1
ANXA1,3
ANXA10,1
ANXA11,1
ANXA13,1
ANXA2,2
ANXA2P2,1
ANXA2R,1
ANXA3,1
ANXA4,2
ANXA5,1
ANXA6,2
ANXA7,2
ANXA8,2
AOAH,2
AOPEP,2
AOX1,1
AOX3P-AOX2P,2
AP1AR,2
AP1B1,3
AP1B1P1,2
AP1G1,2
AP1M1,2
AP1M2,1
AP1S2,2
AP1S3,1
AP2A1,2
AP2A2,2
AP2B1,1
AP2M1,2
AP2S1,1
AP3B1,1
AP3D1,3
AP3M2,2
AP3S1,1
AP3S2,1
AP4B1,3
AP4B1-AS1,1
AP4E1,2
AP4M1,1
AP4S1,1
AP5B1,2
AP5M1,2
AP5S1,2
APBA1,2
APBA2,1
APBB1,1
APBB2,2
APBB3,1
APC,1
APCDD1,1
APCDD1L,2
APCDD1L-DT,1
APCS,2
APEH,2
APEX2,3
APH1B,2
API5,1
APIP,2
APLF,2
APLN,1
APLP2,1
APOBEC3B,1
APOBEC3D,2
APOBEC3F,1
APOBEC3G,1
APOBEC4,1
APOD,1
APOH,1
APOL2,1
APOL3,1
APOL4,2
APOL6,1
APOLD1,2
APOM,1
APOO,1
APOOL,1
APOOP5,1
APP,2
APPBP2,1
APPL1,2
APPL2,2
APRT,1
APTR,1
APTX,2
AQP11,1
AQP2,1
AQP3,1
AQP4-AS1,1
AQP5,1
AQP7,1
AQP8,1
AQR,1
