SYMBOL,dataset_corr_count
A1BG,6
A2M-AS1,3
A4GALT,4
A4GNT,1
AA06,1
AAAS,3
AACS,1
AADACL2-AS1,2
AADACP1,1
AADAT,3
AAGAB,1
AAK1,6
AAMDC,1
AAMP,2
AANAT,2
AAR2,5
AARS1,4
AARS2,2
AARSD1,2
AASDH,6
AASDHPPT,6
AASS,4
AATF,5
ABALON,5
ABAT,2
ABCA1,4
ABCA10,1
ABCA11P,4
ABCA13,1
ABCA3,1
ABCA4,1
ABCA5,3
ABCA8,2
ABCA9,2
ABCA9-AS1,1
ABCB10,5
ABCB11,1
ABCB5,1
ABCB6,4
ABCB8,2
ABCB9,8
ABCC1,6
ABCC10,6
ABCC11,2
ABCC12,1
ABCC2,1
ABCC3,1
ABCC4,2
ABCC5,2
ABCC5-AS1,1
ABCC8,3
ABCC9,1
ABCD3,4
ABCD4,2
ABCF1,4
ABCF2,3
ABCF3,5
ABCG1,3
ABCG2,1
ABHD1,1
ABHD10,2
ABHD11,2
ABHD12,5
ABHD12B,1
ABHD14A,5
ABHD14A-ACY1,4
ABHD14B,6
ABHD15,2
ABHD16A,6
ABHD16B,1
ABHD17A,4
ABHD17B,3
ABHD17C,5
ABHD2,2
ABHD3,4
ABHD4,4
ABHD5,5
ABHD6,3
ABHD8,1
ABI1,6
ABI2,4
ABI3,1
ABI3BP,2
ABITRAM,7
ABL1,7
ABL2,2
ABLIM1,1
ABLIM2,2
ABLIM3,2
ABO,1
ABR,3
ABRA,1
ABRACL,2
ABRAXAS1,5
ABRAXAS2,4
ABT1,4
ABTB1,4
ABTB2,3
ACAA1,5
ACAA2,6
ACACA,3
ACACB,5
ACAD10,4
ACAD11,2
ACAD8,2
ACAD9,5
ACADL,1
ACADM,7
ACADS,3
ACADSB,4
ACADVL,6
ACAP2,6
ACAP3,1
ACAT1,3
ACAT2,3
ACBD3,6
ACBD3-AS1,4
ACBD5,3
ACBD6,1
ACBD7,1
ACCS,4
ACCSL,1
ACD,2
ACE,2
ACER2,2
ACER3,4
ACIN1,6
ACKR2,4
ACKR3,1
ACKR4,1
ACLY,5
ACO1,2
ACO2,6
ACOT1,3
ACOT11,5
ACOT13,3
ACOT2,4
ACOT4,2
ACOT6,2
ACOT7,6
ACOT8,3
ACOT9,5
ACOX1,4
ACOX2,2
ACOX3,4
ACOXL,1
ACOXL-AS1,1
ACP1,3
ACP5,1
ACP6,3
ACP7,1
ACRBP,1
ACSBG1,2
ACSF2,1
ACSF3,4
ACSL1,3
ACSL3,5
ACSL4,4
ACSL5,3
ACSM1,1
ACSM6,5
ACSS1,2
ACSS2,1
ACSS3,2
ACTA1,1
ACTA2,1
ACTB,8
ACTBL2,2
ACTG1,6
ACTL10,2
ACTL6A,6
ACTL7B,2
ACTL8,2
ACTN1,5
ACTN1-AS1,1
ACTN2,1
ACTN4,4
ACTR10,7
ACTR1A,2
ACTR1B,7
ACTR2,5
ACTR3,6
ACTR3-AS1,2
ACTR3B,5
ACTR3BP5,2
ACTR3C,1
ACTR5,3
ACTR6,3
ACTR8,6
ACTRT1,1
ACVR1,4
