pathway,pval,padj,log2err,ES,NES,size
KEGG_ABC_TRANSPORTERS,0.5384615384615384,0.7269230769230769,0.042246818836005263,0.32311302806110387,0.9858218473464173,31
KEGG_ACUTE_MYELOID_LEUKEMIA,0.04195804195804196,0.10706216860063014,0.21925034670375515,0.4038740617180984,1.2999717501605854,53
KEGG_ADHERENS_JUNCTION,0.017982017982017984,0.0662065207519753,0.34179338089747546,0.4062178541882201,1.3371895897784203,69
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.014985014985014986,0.06068931068931069,0.3760393069936389,0.4325475908286145,1.3922648220714418,53
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.7482517482517482,0.9126212133730932,0.02646490174708551,0.281769387377383,0.8483317396420869,28
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.4985014985014985,0.6943825405363867,0.04577044581080999,0.329074157411447,1.0067687975663906,32
KEGG_ALLOGRAFT_REJECTION,0.7432567432567433,0.9126212133730932,0.02681587623738419,0.29598755006514504,0.8439882079315015,18
KEGG_ALZHEIMERS_DISEASE,0.0036443131937980247,0.021084954906974283,0.4317076958033464,0.3917439037154373,1.3424383658253265,131
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.0939060939060939,0.18981018981018982,0.14205664357582118,0.40185485459697823,1.2590656608740753,41
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.005019433068454847,0.026101025998028285,0.40701791892395395,0.4646421462400596,1.4557867454715787,41
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.42157842157842157,0.5990851254009149,0.05345721410899102,0.33440874920401564,1.0425969107455286,39
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.005688679291098757,0.02710488368111761,0.40701791892395395,0.47425195371637285,1.4966781596838767,44
KEGG_APOPTOSIS,0.023976023976023976,0.07768231768231769,0.29406667231886474,0.396179315137347,1.3076839024732183,72
KEGG_ARACHIDONIC_ACID_METABOLISM,0.973026973026973,1,0.007595910533528144,0.191345886796645,0.5901414010849972,35
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.7272727272727273,0.9062937062937063,0.027940279099526344,0.279373019843255,0.8897968635833953,47
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.7492507492507493,0.9126212133730932,0.026394713977627656,0.2721660947353547,0.8870358064026826,61
KEGG_AUTOIMMUNE_THYROID_DISEASE,0.8541458541458542,0.9883687740830599,0.018853254183090227,0.25868575868575866,0.7495366495894475,20
KEGG_AXON_GUIDANCE,0.5014985014985015,0.6943825405363867,0.04549678100850074,0.29367568955691764,0.9936331095479918,104
KEGG_BASAL_CELL_CARCINOMA,0.977022977022977,1,0.0069963491062699406,0.19275333356444146,0.6052401094338008,42
KEGG_BASAL_TRANSCRIPTION_FACTORS,0.06893106893106893,0.1550949050949051,0.16823816568963962,0.43044572782467055,1.3088130028780443,30
KEGG_BASE_EXCISION_REPAIR,0.03396603396603397,0.09487064659478453,0.24504178543099617,0.463171363614304,1.4083185499893625,30
KEGG_BETA_ALANINE_METABOLISM,0.14585414585414586,0.2568301263953438,0.11056471633661853,0.43606534982305006,1.2518799043303783,19
