,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,geo_id,is_sample,is_healthy,condition
0,SRR6353584,ChIP-Seq,50,1580316050,PRJNA421310,SAMN08138347,553415507,JMSU-1,GEO,none,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3450316,RXRA WT,GSM2877292,Illumina HiSeq 3000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2877292,bladder cancer cells,SRP126243,GSE107734,0,1,bladder cancer cells + RXRA WT
1,SRR6353585,ChIP-Seq,50,1283768000,PRJNA421310,SAMN08138345,453818146,JMSU-1,GEO,none,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX3450317,RXRA WT,GSM2877293,Illumina HiSeq 3000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2877293,bladder cancer cells,SRP126243,GSE107734,0,1,bladder cancer cells + RXRA WT
2,SRR6353586,ChIP-Seq,50,571583450,PRJNA421310,SAMN08138344,199983351,JMSU-1,GEO,none,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX3450318,RXRA S427F,GSM2877294,Illumina HiSeq 3000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2877294,bladder cancer cells,SRP126243,GSE107734,0,0,bladder cancer cells + RXRA S427F
3,SRR6353587,ChIP-Seq,50,857049950,PRJNA421310,SAMN08138343,304142940,JMSU-1,GEO,none,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX3450319,RXRA S427F,GSM2877295,Illumina HiSeq 3000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2877295,bladder cancer cells,SRP126243,GSE107734,0,0,bladder cancer cells + RXRA S427F
4,SRR6353588,ChIP-Seq,50,1566217650,PRJNA421310,SAMN08138342,560100521,JMSU-1,GEO,"H3K27Ac (Abcam\, 4729\, lot GR286678-2)",public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX3450320,RXRA WT,GSM2877296,Illumina HiSeq 3000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2877296,bladder cancer cells,SRP126243,GSE107734,1,1,bladder cancer cells + RXRA WT
5,SRR6353589,ChIP-Seq,50,821039000,PRJNA421310,SAMN08138341,292148275,JMSU-1,GEO,"H3K27Ac (Abcam\, 4729\, lot GR286678-2)",public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX3450321,RXRA WT,GSM2877297,Illumina HiSeq 3000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2877297,bladder cancer cells,SRP126243,GSE107734,1,1,bladder cancer cells + RXRA WT
6,SRR6353590,ChIP-Seq,50,1076264900,PRJNA421310,SAMN08138340,382227719,JMSU-1,GEO,"H3K27Ac (Abcam\, 4729\, lot GR286678-2)",public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX3450322,RXRA WT,GSM2877298,Illumina HiSeq 3000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2877298,bladder cancer cells,SRP126243,GSE107734,1,1,bladder cancer cells + RXRA WT
7,SRR6353591,ChIP-Seq,50,947725100,PRJNA421310,SAMN08138339,337488934,JMSU-1,GEO,"H3K27Ac (Abcam\, 4729\, lot GR286678-2)",public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX3450323,RXRA S427F,GSM2877299,Illumina HiSeq 3000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2877299,bladder cancer cells,SRP126243,GSE107734,1,0,bladder cancer cells + RXRA S427F
8,SRR6353592,ChIP-Seq,50,1059844100,PRJNA421310,SAMN08138338,378281572,JMSU-1,GEO,"H3K27Ac (Abcam\, 4729\, lot GR286678-2)",public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX3450324,RXRA S427F,GSM2877300,Illumina HiSeq 3000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2877300,bladder cancer cells,SRP126243,GSE107734,1,0,bladder cancer cells + RXRA S427F
9,SRR6353593,ChIP-Seq,50,1826277350,PRJNA421310,SAMN08138337,654487682,JMSU-1,GEO,"H3K27Ac (Abcam\, 4729\, lot GR286678-2)",public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX3450325,RXRA S427F,GSM2877301,Illumina HiSeq 3000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2877301,bladder cancer cells,SRP126243,GSE107734,1,0,bladder cancer cells + RXRA S427F
