,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,chip_antibody,chip_antibody_vendor,tissue,geo_id,is_sample,is_healthy,condition
0,SRR11856321,ChIP-Seq,75,3570512625,PRJNA540151,SAMN15032431,1355199428,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
1,SRR11856322,ChIP-Seq,75,2126278200,PRJNA540151,SAMN15032430,796851392,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
2,SRR11856323,ChIP-Seq,75,4650220125,PRJNA540151,SAMN15032392,1853335730,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
3,SRR11856324,ChIP-Seq,75,2149908600,PRJNA540151,SAMN15032391,856748616,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
4,SRR11856325,ChIP-Seq,75,2273524425,PRJNA540151,SAMN15032390,897188225,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
5,SRR11856326,ChIP-Seq,75,3093277050,PRJNA540151,SAMN15032389,1227704216,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
6,SRR11856327,ChIP-Seq,75,3314205375,PRJNA540151,SAMN15032388,1324342333,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
7,SRR11856328,ChIP-Seq,75,3552361200,PRJNA540151,SAMN15032387,1400377768,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
8,SRR11856329,ChIP-Seq,75,2594300250,PRJNA540151,SAMN15032386,1145445355,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
9,SRR11856330,ChIP-Seq,75,20537254800,PRJNA540151,SAMN15032385,9101519849,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
10,SRR11856331,ChIP-Seq,75,12415431975,PRJNA540151,SAMN15032384,5505258188,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
11,SRR11856332,ChIP-Seq,75,3139334550,PRJNA540151,SAMN15032383,1224196742,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
12,SRR11856333,ChIP-Seq,75,5583773550,PRJNA540151,SAMN15032382,2470156020,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
13,SRR11856334,ChIP-Seq,75,3250425675,PRJNA540151,SAMN15032381,1429655994,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
14,SRR11856335,ChIP-Seq,75,4502826225,PRJNA540151,SAMN15032417,1979503268,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
15,SRR11856336,ChIP-Seq,75,2385678000,PRJNA540151,SAMN15032416,969687244,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
16,SRR11856337,ChIP-Seq,75,1498109325,PRJNA540151,SAMN15032415,613508958,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
17,SRR11856338,ChIP-Seq,75,2302902600,PRJNA540151,SAMN15032483,951334998,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
18,SRR11856339,ChIP-Seq,75,1453625025,PRJNA540151,SAMN15032482,594251386,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
19,SRR11856340,ChIP-Seq,75,1940103975,PRJNA540151,SAMN15032481,791083206,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
20,SRR11856341,ChIP-Seq,75,1885461000,PRJNA540151,SAMN15032475,774620893,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
21,SRR11856342,ChIP-Seq,75,1373647200,PRJNA540151,SAMN15032474,569517086,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
22,SRR11856343,ChIP-Seq,75,1461095475,PRJNA540151,SAMN15032480,600456967,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
23,SRR11856344,ChIP-Seq,75,1744778025,PRJNA540151,SAMN15032479,714724911,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
