,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,donor_id,passage,source_name,treatment,chip_antibody,geo_id,is_healthy,is_sample,condition
0,SRR10344750,ChIP-Seq,50,1365037100,PRJNA579487,SAMN13112361,571309939,human aortic endothelial cell,donor1,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
1,SRR10344751,ChIP-Seq,50,711576050,PRJNA579487,SAMN13112360,261704788,human aortic endothelial cell,donor2,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
2,SRR10344752,ChIP-Seq,50,1506502250,PRJNA579487,SAMN13112359,568380381,human aortic endothelial cell,donor3,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
3,SRR10344753,ChIP-Seq,50,1419399500,PRJNA579487,SAMN13112358,514280575,human aortic endothelial cell,donor4,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
4,SRR10344754,ChIP-Seq,50,1850176400,PRJNA579487,SAMN13112357,719303714,human aortic endothelial cell,donor5,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
5,SRR10344755,ChIP-Seq,50,1556747450,PRJNA579487,SAMN13112356,622150502,human aortic endothelial cell,donor7,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
6,SRR10344756,ChIP-Seq,50,1325423750,PRJNA579487,SAMN13112355,537741221,human aortic endothelial cell,donor9,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
7,SRR10344757,ChIP-Seq,50,1069418850,PRJNA579487,SAMN13112354,428785557,human aortic endothelial cell,donor10,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
8,SRR10344758,ChIP-Seq,50,1203225150,PRJNA579487,SAMN13112352,476086864,human aortic endothelial cell,donor11,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
9,SRR10344759,ChIP-Seq,50,792824700,PRJNA579487,SAMN13112351,292052161,human aortic endothelial cell,donor13,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
10,SRR10344760,ChIP-Seq,50,1495628600,PRJNA579487,SAMN13112350,602338011,human aortic endothelial cell,donor14,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
11,SRR10344761,ChIP-Seq,50,924411550,PRJNA579487,SAMN13112349,374089249,human aortic endothelial cell,donor16,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
12,SRR10344762,ChIP-Seq,50,688186650,PRJNA579487,SAMN13112348,290981878,human aortic endothelial cell,donor17,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
13,SRR10344763,ChIP-Seq,50,1083570700,PRJNA579487,SAMN13112347,392100568,human aortic endothelial cell,donor18,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
14,SRR10344764,ChIP-Seq,50,531387150,PRJNA579487,SAMN13112386,208941211,human aortic endothelial cell,donor19,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
15,SRR10344765,ChIP-Seq,50,1310620150,PRJNA579487,SAMN13112353,480768217,human aortic endothelial cell,donor21,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
16,SRR10344766,ChIP-Seq,50,813811100,PRJNA579487,SAMN13112385,303450746,human aortic endothelial cell,donor22,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
