,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,chip_antibody,Cell_Line,tissue,geo_id,is_sample,is_healthy,condition
0,SRR2748087,ChIP-Seq,20,1120048560,PRJNA299597,SAMN04201347,565889426,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX1360795,GSM1914980,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914980,highly metastatic osteosarcoma cell line,SRP065191,,143B,,GSE74230,0,0,metastatic osteosarcoma
1,SRR2748088,ChIP-Seq,44,1297576324,PRJNA299597,SAMN04201348,606713756,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1360796,GSM1914981,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914981,highly metastatic osteosarcoma cell line,SRP065191,rabbit anti-H3K27ac (Abcam #4729).,143B,,GSE74230,1,0,metastatic osteosarcoma
2,SRR2748090,ChIP-Seq,44,1838366420,PRJNA299597,SAMN04201350,851735472,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1360798,GSM1914983,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914983,highly metastatic osteosarcoma cell line,SRP065191,,143B,,GSE74230,0,0,metastatic osteosarcoma
3,SRR2748091,ChIP-Seq,20,1330364160,PRJNA299597,SAMN04201351,671200967,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX1360799,GSM1914984,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914984,non-metastatic osteosarcoma cell line,SRP065191,,HOS,,GSE74230,0,1,non-metastatic osteosarcoma
4,SRR2748092,ChIP-Seq,51,4146966876,PRJNA299597,SAMN04201352,1858891979,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1360800,GSM1914985,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914985,non-metastatic osteosarcoma cell line,SRP065191,rabbit anti-H3K27ac (Abcam #4729).,HOS,,GSE74230,1,1,non-metastatic osteosarcoma
5,SRR2748094,ChIP-Seq,44,1917277252,PRJNA299597,SAMN04201354,948849810,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX1360802,GSM1914987,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914987,non-metastatic osteosarcoma cell line,SRP065191,,HOS,,GSE74230,0,1,non-metastatic osteosarcoma
6,SRR2748095,ChIP-Seq,20,632355080,PRJNA299597,SAMN04201355,364796132,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX1360803,GSM1914988,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914988,non-metastatic osteosarcoma cell line,SRP065191,,Hu09,,GSE74230,0,1,non-metastatic osteosarcoma
7,SRR2748096,ChIP-Seq,51,2966665818,PRJNA299597,SAMN04201356,1232913069,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1360804,GSM1914989,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914989,non-metastatic osteosarcoma cell line,SRP065191,rabbit anti-H3K27ac (Abcam #4729).,Hu09,,GSE74230,1,1,non-metastatic osteosarcoma
8,SRR2748098,ChIP-Seq,44,1125700620,PRJNA299597,SAMN04201358,568430755,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1360806,GSM1914991,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914991,non-metastatic osteosarcoma cell line,SRP065191,,Hu09,,GSE74230,0,1,non-metastatic osteosarcoma
9,SRR2748099,ChIP-Seq,20,817601860,PRJNA299597,SAMN04201359,471911080,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1360807,GSM1914992,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914992,highly metastatic osteosarcoma cell line,SRP065191,,LM7,,GSE74230,0,0,metastatic osteosarcoma
