,Run,antibody_used,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment,geo_id,chip_antibody,differentiation_time_point,msc_donor,donor_id,passage,Biomaterial_provider,disease_state,tissue,Antibody,Condition,replicate,antibody,controls,selected,is_sample,peak_width,has_disease
0,SRR8752203,H3K4me1 (abcam #8895),ChIP-Seq,51,1111164489,PRJNA528019,SAMN11166165,1068945028,NB4,Leukemia cell line,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX5543129,GSM3678999,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3678999,Leukemia cell line NB4,SRP188841,DMSO,GSE128528,,,,,,,,,,,,H3K4me1,"['SRR8752226', 'SRR8752227']",1,True,broad,
1,SRR8752204,H3K4me1 (abcam #8895),ChIP-Seq,51,803483631,PRJNA528019,SAMN11166191,776150285,NB4,Leukemia cell line,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5543130,GSM3679000,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679000,Leukemia cell line NB4,SRP188841,MC_2580,GSE128528,,,,,,,,,,,,H3K4me1,"['SRR8752226', 'SRR8752227']",1,True,broad,
2,SRR8752205,H3K4me1 (abcam #8895),ChIP-Seq,51,528829302,PRJNA528019,SAMN11166190,508904157,NB4,Leukemia cell line,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5543131,GSM3679001,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679001,Leukemia cell line NB4,SRP188841,RA 0.01uM,GSE128528,,,,,,,,,,,,H3K4me1,"['SRR8752226', 'SRR8752227']",1,True,broad,
3,SRR8752206,H3K4me1 (abcam #8895),ChIP-Seq,51,755285622,PRJNA528019,SAMN11166189,728499905,NB4,Leukemia cell line,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX5543132,GSM3679002,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679002,Leukemia cell line NB4,SRP188841,RA 1uM,GSE128528,,,,,,,,,,,,H3K4me1,"['SRR8752226', 'SRR8752227']",1,True,broad,
4,SRR8752207,H3K4me1 (abcam #8895),ChIP-Seq,51,1418758545,PRJNA528019,SAMN11166188,1366509288,NB4,Leukemia cell line,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5543133,GSM3679003,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679003,Leukemia cell line NB4,SRP188841,MC_2580 + RA 0.01uM,GSE128528,,,,,,,,,,,,H3K4me1,"['SRR8752226', 'SRR8752227']",1,True,broad,
5,SRR8752208,H3K4me2 (abcam #32356),ChIP-Seq,36,1244889612,PRJNA528019,SAMN11166187,744477951,NB4,Leukemia cell line,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX5543134,GSM3679004,Illumina Genome Analyzer II,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679004,Leukemia cell line NB4,SRP188841,DMSO,GSE128528,,,,,,,,,,,,H3K4me2,"['SRR8752226', 'SRR8752227']",1,True,narrow,
6,SRR8752209,H3K4me2 (abcam #32356),ChIP-Seq,36,1330068672,PRJNA528019,SAMN11166186,823680167,NB4,Leukemia cell line,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5543135,GSM3679005,Illumina Genome Analyzer II,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679005,Leukemia cell line NB4,SRP188841,MC_2580,GSE128528,,,,,,,,,,,,H3K4me2,"['SRR8752226', 'SRR8752227']",1,True,narrow,
7,SRR8752210,H3K4me2 (abcam #32356),ChIP-Seq,36,1218965256,PRJNA528019,SAMN11166184,744609233,NB4,Leukemia cell line,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5543136,GSM3679006,Illumina Genome Analyzer II,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679006,Leukemia cell line NB4,SRP188841,RA 0.01uM,GSE128528,,,,,,,,,,,,H3K4me2,"['SRR8752226', 'SRR8752227']",1,True,narrow,
8,SRR8752211,H3K4me2 (abcam #32356),ChIP-Seq,36,1488453120,PRJNA528019,SAMN11166183,921660043,NB4,Leukemia cell line,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5543137,GSM3679007,Illumina Genome Analyzer II,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679007,Leukemia cell line NB4,SRP188841,RA 1uM,GSE128528,,,,,,,,,,,,H3K4me2,"['SRR8752226', 'SRR8752227']",1,True,narrow,
9,SRR8752212,H3K4me2 (abcam #32356),ChIP-Seq,36,1284022800,PRJNA528019,SAMN11166182,797909322,NB4,Leukemia cell line,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5543138,GSM3679008,Illumina Genome Analyzer II,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679008,Leukemia cell line NB4,SRP188841,MC_2580 + RA 0.01uM,GSE128528,,,,,,,,,,,,H3K4me2,"['SRR8752226', 'SRR8752227']",1,True,narrow,
