Run,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,experiment_type,GEO_Accession (exp),Instrument,ip_target,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR6010107,ChIP-Seq,51,2780745573,ATCC,PRJNA401723,SAMN07610297,1911229248,SCC25,head and neck sequamous cell carcinoma cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3164014,ChIP-seq,GSM2773919,Illumina HiSeq 2500,H3K27ac,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-09-07T00:00:00Z,GSM2773919,cultured cells,SRP116893
SRR6010108,ChIP-Seq,51,1745714394,ATCC,PRJNA401723,SAMN07610296,1178881811,SCC25,head and neck sequamous cell carcinoma cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3164015,ChIP-seq,GSM2773920,Illumina HiSeq 2500,H3K4me1,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-09-07T00:00:00Z,GSM2773920,cultured cells,SRP116893
SRR6010109,ChIP-Seq,51,3197503038,ATCC,PRJNA401723,SAMN07610295,2256615826,SCC25,head and neck sequamous cell carcinoma cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3164016,ChIP-seq,GSM2773921,Illumina HiSeq 2500,H3K4me3,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-09-07T00:00:00Z,GSM2773921,cultured cells,SRP116893
SRR6010110,ChIP-Seq,51,2202019809,ATCC,PRJNA401723,SAMN07610294,1477347213,SCC25,head and neck sequamous cell carcinoma cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3164017,ChIP-seq,GSM2773922,Illumina HiSeq 2500,mock_rabbit IgG,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-09-07T00:00:00Z,GSM2773922,cultured cells,SRP116893
SRR6010111,ChIP-Seq,51,1747357869,ATCC,PRJNA401723,SAMN07610293,1142298500,SCC25,head and neck sequamous cell carcinoma cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3164018,ChIP-seq,GSM2773923,Illumina HiSeq 2500,H3K36me3,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-09-07T00:00:00Z,GSM2773923,cultured cells,SRP116893
SRR6010112,ChIP-Seq,51,1766764287,ATCC,PRJNA401723,SAMN07610292,1149938329,SCC25,head and neck sequamous cell carcinoma cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3164019,ChIP-seq,GSM2773924,Illumina HiSeq 2500,H3K27me3,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-09-07T00:00:00Z,GSM2773924,cultured cells,SRP116893
SRR6010113,ChIP-Seq,51,3068316672,ATCC,PRJNA401723,SAMN07610291,1974219714,SCC25,head and neck sequamous cell carcinoma cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3164020,ChIP-seq,GSM2773925,Illumina HiSeq 2500,Input,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-09-07T00:00:00Z,GSM2773925,cultured cells,SRP116893
SRR6010114,ChIP-Seq,51,1101423897,ATCC,PRJNA401723,SAMN07610290,671148811,SCC25,head and neck sequamous cell carcinoma cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3164021,ChIP-seq,GSM2773926,Illumina HiSeq 2500,H3K27ac,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-09-07T00:00:00Z,GSM2773926,cultured cells,SRP116893
SRR6010115,ChIP-Seq,51,1222441950,ATCC,PRJNA401723,SAMN07610289,737750223,SCC25,head and neck sequamous cell carcinoma cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3164022,ChIP-seq,GSM2773927,Illumina HiSeq 2500,H3K4me1,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-09-07T00:00:00Z,GSM2773927,cultured cells,SRP116893
SRR6010116,ChIP-Seq,51,1013798400,ATCC,PRJNA401723,SAMN07610288,645013456,SCC25,head and neck sequamous cell carcinoma cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3164023,ChIP-seq,GSM2773928,Illumina HiSeq 2500,H3K4me3,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-09-07T00:00:00Z,GSM2773928,cultured cells,SRP116893
