Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,passage,Platform,ReleaseDate,replicate,Sample Name,source_name,SRA Study
SRR8531015,ChIP-Seq,51,2133915888,PRJNA521022,SAMN10873631,975957226,Primary Human Skeletal Muscle cells (hSMCs),GEO,None,public,sra,"s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5334336,GSM3591584,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,Pool of samples,ILLUMINA,2020-03-27T00:00:00Z,None,GSM3591584,hSMCs_Input,SRP183729
SRR8531016,ChIP-Seq,51,1240933122,PRJNA521022,SAMN10873630,582090164,Primary Human Skeletal Muscle cells (hSMCs),GEO,"H3K27ac (Abcam\, Ab4729)",public,sra,"ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX5334337,GSM3591585,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,5,ILLUMINA,2020-03-27T00:00:00Z,1,GSM3591585,hSMCs_P5 Ctrl K27ac,SRP183729
SRR8531017,ChIP-Seq,51,2117445897,PRJNA521022,SAMN10873628,1030447001,Primary Human Skeletal Muscle cells (hSMCs),GEO,"H3K4me1 (Abcam\, Ab8895)",public,sra,"ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX5334338,GSM3591586,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,5,ILLUMINA,2020-03-27T00:00:00Z,1,GSM3591586,hSMCs_P5 Ctrl K4me1,SRP183729
SRR8531018,ChIP-Seq,51,1349269974,PRJNA521022,SAMN10873627,631301369,Primary Human Skeletal Muscle cells (hSMCs),GEO,"H3K27ac (Abcam\, Ab4729)",public,sra,"gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5334339,GSM3591587,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,5,ILLUMINA,2020-03-27T00:00:00Z,2,GSM3591587,hSMCs_P5 Ctrl K27ac,SRP183729
SRR8531019,ChIP-Seq,51,2297821677,PRJNA521022,SAMN10873626,1111169691,Primary Human Skeletal Muscle cells (hSMCs),GEO,"H3K4me1 (Abcam\, Ab8895)",public,sra,"ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX5334340,GSM3591588,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,5,ILLUMINA,2020-03-27T00:00:00Z,2,GSM3591588,hSMCs_P5 Ctrl K4me1,SRP183729
SRR8531020,ChIP-Seq,51,1251170709,PRJNA521022,SAMN10873625,581769315,Primary Human Skeletal Muscle cells (hSMCs),GEO,"H3K27ac (Abcam\, Ab4729)",public,sra,"s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5334341,GSM3591589,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,5,ILLUMINA,2020-03-27T00:00:00Z,1,GSM3591589,hSMCs_P5 Palm K27ac,SRP183729
SRR8531021,ChIP-Seq,51,2080225281,PRJNA521022,SAMN10873624,1018020396,Primary Human Skeletal Muscle cells (hSMCs),GEO,"H3K4me1 (Abcam\, Ab8895)",public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5334342,GSM3591590,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,5,ILLUMINA,2020-03-27T00:00:00Z,1,GSM3591590,hSMCs_P5 Palm K4me1,SRP183729
SRR8531022,ChIP-Seq,51,1275158355,PRJNA521022,SAMN10873623,594524225,Primary Human Skeletal Muscle cells (hSMCs),GEO,"H3K27ac (Abcam\, Ab4729)",public,sra,"s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5334343,GSM3591591,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,5,ILLUMINA,2020-03-27T00:00:00Z,2,GSM3591591,hSMCs_P5 Palm K27ac,SRP183729
SRR8531023,ChIP-Seq,51,2108262888,PRJNA521022,SAMN10873622,1025671022,Primary Human Skeletal Muscle cells (hSMCs),GEO,"H3K4me1 (Abcam\, Ab8895)",public,sra,"gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5334344,GSM3591592,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,5,ILLUMINA,2020-03-27T00:00:00Z,2,GSM3591592,hSMCs_P5 Palm K4me1,SRP183729
SRR8531024,ChIP-Seq,51,1425872841,PRJNA521022,SAMN10873667,667036664,Primary Human Skeletal Muscle cells (hSMCs),GEO,"H3K27ac (Abcam\, Ab4729)",public,sra,"ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX5334345,GSM3591593,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,5,ILLUMINA,2020-03-27T00:00:00Z,1,GSM3591593,hSMCs_P5 TNFa K27ac,SRP183729
