Run,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,Bytes,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR9018094,ChIP-Seq,74,1993422616,CNDR brain bank (Penn),PRJNA541273,SAMN11581303,847396583,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Young,SRX5796361,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752815,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018095,ChIP-Seq,74,1869816877,CNDR brain bank (Penn),PRJNA541273,SAMN11581302,787786731,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Young,SRX5796362,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752816,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018096,ChIP-Seq,74,1068014689,CNDR brain bank (Penn),PRJNA541273,SAMN11581301,453679742,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Young,SRX5796232,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752817,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018097,ChIP-Seq,74,1355549499,CNDR brain bank (Penn),PRJNA541273,SAMN11581261,575425014,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Young,SRX5796233,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752818,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018098,ChIP-Seq,74,1507326276,CNDR brain bank (Penn),PRJNA541273,SAMN11581260,640073806,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Young,SRX5796234,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752819,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018099,ChIP-Seq,74,1246884753,CNDR brain bank (Penn),PRJNA541273,SAMN11581259,529586611,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Young,SRX5796235,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752820,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018100,ChIP-Seq,74,2890868134,CNDR brain bank (Penn),PRJNA541273,SAMN11581300,1259867652,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Young,SRX5796236,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752821,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018101,ChIP-Seq,74,1471592524,CNDR brain bank (Penn),PRJNA541273,SAMN11581299,623522952,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Young,SRX5796237,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752822,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018102,ChIP-Seq,74,1206470223,CNDR brain bank (Penn),PRJNA541273,SAMN11581258,509936847,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Young,SRX5796238,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752823,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018103,ChIP-Seq,74,2153375059,CNDR brain bank (Penn),PRJNA541273,SAMN11581360,920652307,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",Old,SRX5796239,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752824,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018104,ChIP-Seq,74,2212740372,CNDR brain bank (Penn),PRJNA541273,SAMN11581359,960346955,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Old,SRX5796240,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752825,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018105,ChIP-Seq,74,1168831736,CNDR brain bank (Penn),PRJNA541273,SAMN11581358,497653501,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Old,SRX5796241,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752826,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018106,ChIP-Seq,74,2241217728,CNDR brain bank (Penn),PRJNA541273,SAMN11581357,954485847,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Old,SRX5796242,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752827,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018107,ChIP-Seq,74,1423450856,CNDR brain bank (Penn),PRJNA541273,SAMN11581356,607828067,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Old,SRX5796243,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752828,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018108,ChIP-Seq,74,1949397515,CNDR brain bank (Penn),PRJNA541273,SAMN11581355,829085936,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Old,SRX5796244,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752829,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018109,ChIP-Seq,74,2467608013,CNDR brain bank (Penn),PRJNA541273,SAMN11581354,1078812445,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Old,SRX5796245,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752830,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018110,ChIP-Seq,74,1814672765,CNDR brain bank (Penn),PRJNA541273,SAMN11581353,778754490,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Old,SRX5796246,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752831,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018111,ChIP-Seq,74,1974440050,CNDR brain bank (Penn),PRJNA541273,SAMN11581352,842923264,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Old,SRX5796247,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752832,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018112,ChIP-Seq,74,1113776663,CNDR brain bank (Penn),PRJNA541273,SAMN11581351,473038693,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Old,SRX5796248,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752833,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
