Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment
SRR11518175,ChIP-Seq,49,1203485345,PRJNA624051,SAMN14566620,453140573,VCaP,GEO,AR,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8089613,GSM4462676,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462676,VCaP (prostate),SRP255862,Control
SRR11518176,ChIP-Seq,49,1388887382,PRJNA624051,SAMN14566619,525378701,VCaP,GEO,AR,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX8089614,GSM4462677,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462677,VCaP (prostate),SRP255862,Control
SRR11518177,ChIP-Seq,49,1292813637,PRJNA624051,SAMN14566618,477789430,VCaP,GEO,AR,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX8089615,GSM4462678,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462678,VCaP (prostate),SRP255862,Control
SRR11518178,ChIP-Seq,49,1314641811,PRJNA624051,SAMN14566617,493446734,VCaP,GEO,AR,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8089616,GSM4462679,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462679,VCaP (prostate),SRP255862,Darolutamide
SRR11518179,ChIP-Seq,49,1349876519,PRJNA624051,SAMN14566616,497593434,VCaP,GEO,AR,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8089617,GSM4462680,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462680,VCaP (prostate),SRP255862,Darolutamide
SRR11518180,ChIP-Seq,49,1189068733,PRJNA624051,SAMN14566615,440225882,VCaP,GEO,AR,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8089618,GSM4462681,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462681,VCaP (prostate),SRP255862,Darolutamide
SRR11518181,ChIP-Seq,49,1115058495,PRJNA624051,SAMN14566614,416303043,VCaP,GEO,AR,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8089619,GSM4462682,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462682,VCaP (prostate),SRP255862,R1881
SRR11518182,ChIP-Seq,49,1233413506,PRJNA624051,SAMN14566613,454986362,VCaP,GEO,AR,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8089620,GSM4462683,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462683,VCaP (prostate),SRP255862,R1881
SRR11518183,ChIP-Seq,49,1283281749,PRJNA624051,SAMN14566612,472914329,VCaP,GEO,AR,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX8089621,GSM4462684,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462684,VCaP (prostate),SRP255862,R1881
SRR11518184,ChIP-Seq,49,1092069740,PRJNA624051,SAMN14566611,398342417,VCaP,GEO,BRD4,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX8089622,GSM4462685,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462685,VCaP (prostate),SRP255862,Control
SRR11518185,ChIP-Seq,49,1433525773,PRJNA624051,SAMN14566610,538253587,VCaP,GEO,BRD4,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX8089623,GSM4462686,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462686,VCaP (prostate),SRP255862,Control
SRR11518186,ChIP-Seq,49,1110621999,PRJNA624051,SAMN14566609,403765269,VCaP,GEO,BRD4,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX8089624,GSM4462687,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462687,VCaP (prostate),SRP255862,Control
SRR11518187,ChIP-Seq,49,1444113178,PRJNA624051,SAMN14566608,535856053,VCaP,GEO,BRD4,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8089625,GSM4462688,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462688,VCaP (prostate),SRP255862,Darolutamide
SRR11518188,ChIP-Seq,49,1003912505,PRJNA624051,SAMN14566607,364521181,VCaP,GEO,BRD4,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX8089626,GSM4462689,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462689,VCaP (prostate),SRP255862,Darolutamide
SRR11518189,ChIP-Seq,49,1142580442,PRJNA624051,SAMN14566606,427096060,VCaP,GEO,BRD4,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX8089627,GSM4462690,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462690,VCaP (prostate),SRP255862,Darolutamide
SRR11518190,ChIP-Seq,49,1320708233,PRJNA624051,SAMN14566605,495513989,VCaP,GEO,BRD4,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8089628,GSM4462691,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462691,VCaP (prostate),SRP255862,R1881
SRR11518191,ChIP-Seq,49,1101527587,PRJNA624051,SAMN14566604,398463455,VCaP,GEO,BRD4,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8089629,GSM4462692,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462692,VCaP (prostate),SRP255862,R1881
SRR11518192,ChIP-Seq,49,1104716545,PRJNA624051,SAMN14566603,410293549,VCaP,GEO,BRD4,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8089630,GSM4462693,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462693,VCaP (prostate),SRP255862,R1881
SRR11518193,ChIP-Seq,49,876758910,PRJNA624051,SAMN14566602,334484816,VCaP,GEO,FOXA1,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8089631,GSM4462694,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462694,VCaP (prostate),SRP255862,Control
SRR11518194,ChIP-Seq,49,911829413,PRJNA624051,SAMN14566601,347679638,VCaP,GEO,FOXA1,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8089632,GSM4462695,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462695,VCaP (prostate),SRP255862,Control
