Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,origin,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR8351056,ChIP-Seq,GRCH37.P13,73,1118764738,PRJNA510655,SAMN10612690,191088505,GEO,"H3K27ac (AB4729\, Abcam)",public,"bam,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX5162018,GSM3520035,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,dcSSc patient,ILLUMINA,2019-03-06T00:00:00Z,GSM3520035,CD14+ monocytes,SRP173837,peripheral blood
SRR8351057,ChIP-Seq,GRCH37.P13,70,866995428,PRJNA510655,SAMN10612689,179262955,GEO,"H3K27ac (AB4729\, Abcam)",public,"sra,bam","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5162019,GSM3520036,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,dcSSc patient,ILLUMINA,2019-03-06T00:00:00Z,GSM3520036,CD14+ monocytes,SRP173837,peripheral blood
SRR8351059,ChIP-Seq,GRCH37.P13,74,944704491,PRJNA510655,SAMN10612687,168235348,GEO,"H3K27ac (AB4729\, Abcam)",public,"bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5162021,GSM3520038,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,dcSSc patient,ILLUMINA,2019-03-06T00:00:00Z,GSM3520038,CD14+ monocytes,SRP173837,peripheral blood
SRR8351060,ChIP-Seq,GRCH37.P13,74,1267334875,PRJNA510655,SAMN10612686,224421713,GEO,"H3K27ac (AB4729\, Abcam)",public,"sra,bam","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5162022,GSM3520039,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,dcSSc patient,ILLUMINA,2019-03-06T00:00:00Z,GSM3520039,CD14+ monocytes,SRP173837,peripheral blood
SRR8351061,ChIP-Seq,GRCH37.P13,75,1676387658,PRJNA510655,SAMN10612685,281441267,GEO,"H3K27ac (AB4729\, Abcam)",public,"sra,bam","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5162023,GSM3520040,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,dcSSc patient,ILLUMINA,2019-03-06T00:00:00Z,GSM3520040,CD14+ monocytes,SRP173837,peripheral blood
SRR8351062,ChIP-Seq,GRCH37.P13,71,641752003,PRJNA510655,SAMN10612684,114445987,GEO,"H3K27ac (AB4729\, Abcam)",public,"sra,bam","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5162024,GSM3520041,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,dcSSc patient,ILLUMINA,2019-03-06T00:00:00Z,GSM3520041,CD14+ monocytes,SRP173837,peripheral blood
SRR8351063,ChIP-Seq,GRCH37.P13,70,566368706,PRJNA510655,SAMN10612683,105089223,GEO,"H3K27ac (AB4729\, Abcam)",public,"bam,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5162025,GSM3520042,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,dcSSc patient,ILLUMINA,2019-03-06T00:00:00Z,GSM3520042,CD14+ monocytes,SRP173837,peripheral blood
SRR8351064,ChIP-Seq,GRCH37.P13,75,1540202352,PRJNA510655,SAMN10612682,263227510,GEO,"H3K27ac (AB4729\, Abcam)",public,"bam,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5162026,GSM3520043,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,healthy donor,ILLUMINA,2019-03-06T00:00:00Z,GSM3520043,CD14+ monocytes,SRP173837,peripheral blood
SRR8351065,ChIP-Seq,GCF_000001405.25,75,82092218,PRJNA510655,SAMN10612681,19099619,GEO,"H3K27ac (AB4729\, Abcam)",public,"bam,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX5162027,GSM3520044,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,healthy donor,ILLUMINA,2019-09-19T00:00:00Z,GSM3520044,CD14+ monocytes,SRP173837,peripheral blood
SRR8351066,ChIP-Seq,GRCH37.P13,74,1028305123,PRJNA510655,SAMN10612680,175664928,GEO,"H3K27ac (AB4729\, Abcam)",public,"bam,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5162028,GSM3520045,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,healthy donor,ILLUMINA,2019-03-06T00:00:00Z,GSM3520045,CD14+ monocytes,SRP173837,peripheral blood
