Run,Antibody,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,disease,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR8575218,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1261613650,PRJNA522418,SAMN10936324,642084321,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",adult,-,SRX5376026,GSM3605873,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605873,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575219,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1025983650,PRJNA522418,SAMN10936323,527155693,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",adult,-,SRX5376027,GSM3605875,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605875,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575220,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1136494550,PRJNA522418,SAMN10936322,584057329,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,-,SRX5376028,GSM3605877,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605877,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575221,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,936649750,PRJNA522418,SAMN10936220,440665660,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",adult,-,SRX5376029,GSM3605879,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605879,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575222,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,915924850,PRJNA522418,SAMN10936219,432434082,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",adult,-,SRX5376030,GSM3605880,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605880,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575223,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,2091558450,PRJNA522418,SAMN10936212,1325020683,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",adult,-,SRX5376031,GSM3605882,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605882,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575224,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1431927300,PRJNA522418,SAMN10936218,980995299,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",adult,-,SRX5376032,GSM3605884,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605884,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575225,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,2868313350,PRJNA522418,SAMN10936217,1881708997,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",adult,-,SRX5376033,GSM3605886,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605886,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575226,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,934468350,PRJNA522418,SAMN10936216,645299381,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",adult,-,SRX5376034,GSM3605888,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605888,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575227,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,2685314000,PRJNA522418,SAMN10936215,974847785,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,-,SRX5376035,GSM3605890,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605890,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
