Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR10363158,ChIP-Seq,75,802951768,PRJNA580365,SAMN13155873,355583936,GEO,"H3K27Ac (Active motif\, cat # 39685\, clone 0309\, lot # 14517014)",public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX7071213,AP-1 depleted,GSM4143965,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4143965,Human uterine smooth muscle cells (HUtSMCs),SRP227429,Myometrium
SRR10363159,ChIP-Seq,75,785330057,PRJNA580365,SAMN13155873,346099330,GEO,"H3K27Ac (Active motif\, cat # 39685\, clone 0309\, lot # 14517014)",public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7071213,AP-1 depleted,GSM4143965,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4143965,Human uterine smooth muscle cells (HUtSMCs),SRP227429,Myometrium
SRR10363160,ChIP-Seq,75,742134098,PRJNA580365,SAMN13155873,345486527,GEO,"H3K27Ac (Active motif\, cat # 39685\, clone 0309\, lot # 14517014)",public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7071213,AP-1 depleted,GSM4143965,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4143965,Human uterine smooth muscle cells (HUtSMCs),SRP227429,Myometrium
SRR10363161,ChIP-Seq,75,730644782,PRJNA580365,SAMN13155873,338150504,GEO,"H3K27Ac (Active motif\, cat # 39685\, clone 0309\, lot # 14517014)",public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7071213,AP-1 depleted,GSM4143965,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4143965,Human uterine smooth muscle cells (HUtSMCs),SRP227429,Myometrium
SRR10363162,ChIP-Seq,75,766833756,PRJNA580365,SAMN13155872,344735933,GEO,"H3K27Ac (Active motif\, cat # 39685\, clone 0309\, lot # 14517014)",public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7071214,AP-1 depleted,GSM4143966,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4143966,Human uterine smooth muscle cells (HUtSMCs),SRP227429,Myometrium
SRR10363163,ChIP-Seq,75,745428775,PRJNA580365,SAMN13155872,333648202,GEO,"H3K27Ac (Active motif\, cat # 39685\, clone 0309\, lot # 14517014)",public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7071214,AP-1 depleted,GSM4143966,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4143966,Human uterine smooth muscle cells (HUtSMCs),SRP227429,Myometrium
SRR10363164,ChIP-Seq,75,692330696,PRJNA580365,SAMN13155872,326364502,GEO,"H3K27Ac (Active motif\, cat # 39685\, clone 0309\, lot # 14517014)",public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7071214,AP-1 depleted,GSM4143966,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4143966,Human uterine smooth muscle cells (HUtSMCs),SRP227429,Myometrium
SRR10363165,ChIP-Seq,75,679792522,PRJNA580365,SAMN13155872,318920446,GEO,"H3K27Ac (Active motif\, cat # 39685\, clone 0309\, lot # 14517014)",public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7071214,AP-1 depleted,GSM4143966,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4143966,Human uterine smooth muscle cells (HUtSMCs),SRP227429,Myometrium
SRR10363166,ChIP-Seq,75,909382370,PRJNA580365,SAMN13155871,401943311,GEO,"H3K27Ac (Active motif\, cat # 39685\, clone 0309\, lot # 14517014)",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7071215,AP-1 depleted,GSM4143967,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4143967,Human uterine smooth muscle cells (HUtSMCs),SRP227429,Myometrium
SRR10363167,ChIP-Seq,75,888001288,PRJNA580365,SAMN13155871,390631184,GEO,"H3K27Ac (Active motif\, cat # 39685\, clone 0309\, lot # 14517014)",public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7071215,AP-1 depleted,GSM4143967,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4143967,Human uterine smooth muscle cells (HUtSMCs),SRP227429,Myometrium
