Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,chip_antibody,chip_antibody_vendor,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR11856321,ChIP-Seq,75,3570512625,PRJNA540151,SAMN15032431,1355199428,GEO,H3K27ac,Diagenode,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX8406326,GSM4569952,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569952,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856322,ChIP-Seq,75,2126278200,PRJNA540151,SAMN15032430,796851392,GEO,H3K27ac,Diagenode,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8406327,GSM4569953,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569953,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856323,ChIP-Seq,75,4650220125,PRJNA540151,SAMN15032392,1853335730,GEO,H3K27ac,Diagenode,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8406328,GSM4569954,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569954,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856324,ChIP-Seq,75,2149908600,PRJNA540151,SAMN15032391,856748616,GEO,H3K27ac,Diagenode,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX8406329,GSM4569955,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569955,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856325,ChIP-Seq,75,2273524425,PRJNA540151,SAMN15032390,897188225,GEO,H3K27ac,Diagenode,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8406330,GSM4569956,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569956,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856326,ChIP-Seq,75,3093277050,PRJNA540151,SAMN15032389,1227704216,GEO,H3K27ac,Diagenode,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8406331,GSM4569957,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569957,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856327,ChIP-Seq,75,3314205375,PRJNA540151,SAMN15032388,1324342333,GEO,H3K27ac,Diagenode,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX8406332,GSM4569958,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569958,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856328,ChIP-Seq,75,3552361200,PRJNA540151,SAMN15032387,1400377768,GEO,H3K27ac,Diagenode,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8406333,GSM4569959,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569959,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856329,ChIP-Seq,75,2594300250,PRJNA540151,SAMN15032386,1145445355,GEO,H3K27ac,Diagenode,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8406334,GSM4569960,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569960,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856330,ChIP-Seq,75,20537254800,PRJNA540151,SAMN15032385,9101519849,GEO,H3K27ac,Diagenode,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8406335,GSM4569961,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569961,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856331,ChIP-Seq,75,12415431975,PRJNA540151,SAMN15032384,5505258188,GEO,H3K27ac,Diagenode,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX8406336,GSM4569962,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569962,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856332,ChIP-Seq,75,3139334550,PRJNA540151,SAMN15032383,1224196742,GEO,H3K27ac,Diagenode,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8406337,GSM4569964,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569964,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856333,ChIP-Seq,75,5583773550,PRJNA540151,SAMN15032382,2470156020,GEO,H3K27ac,Diagenode,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX8406338,GSM4569966,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569966,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856334,ChIP-Seq,75,3250425675,PRJNA540151,SAMN15032381,1429655994,GEO,H3K27ac,Diagenode,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8406339,GSM4569969,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569969,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856335,ChIP-Seq,75,4502826225,PRJNA540151,SAMN15032417,1979503268,GEO,H3K27ac,Diagenode,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8406340,GSM4569973,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569973,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856336,ChIP-Seq,75,2385678000,PRJNA540151,SAMN15032416,969687244,GEO,H3K27ac,Diagenode,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8406341,GSM4569976,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569976,Patient localized prostate tissue,SRP194063,localized prostate tissue
SRR11856337,ChIP-Seq,75,1498109325,PRJNA540151,SAMN15032415,613508958,GEO,H3K27ac,Diagenode,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX8406342,GSM4569978,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-16T00:00:00Z,GSM4569978,Patient localized prostate tissue,SRP194063,localized prostate tissue
