Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Cell_type,donor_id,passage,source_name,treatment,chip_antibody
SRR10344750,ChIP-Seq,50,1365037100,PRJNA579487,SAMN13112361,571309939,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054855,GSM4139479,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139479,SRP226959,human aortic endothelial cell,donor1,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344751,ChIP-Seq,50,711576050,PRJNA579487,SAMN13112360,261704788,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7054856,GSM4139480,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139480,SRP226959,human aortic endothelial cell,donor2,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344752,ChIP-Seq,50,1506502250,PRJNA579487,SAMN13112359,568380381,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054857,GSM4139481,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139481,SRP226959,human aortic endothelial cell,donor3,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344753,ChIP-Seq,50,1419399500,PRJNA579487,SAMN13112358,514280575,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7054858,GSM4139482,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139482,SRP226959,human aortic endothelial cell,donor4,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344754,ChIP-Seq,50,1850176400,PRJNA579487,SAMN13112357,719303714,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7054859,GSM4139483,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139483,SRP226959,human aortic endothelial cell,donor5,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344755,ChIP-Seq,50,1556747450,PRJNA579487,SAMN13112356,622150502,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054860,GSM4139484,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139484,SRP226959,human aortic endothelial cell,donor7,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344756,ChIP-Seq,50,1325423750,PRJNA579487,SAMN13112355,537741221,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7054861,GSM4139485,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139485,SRP226959,human aortic endothelial cell,donor9,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344757,ChIP-Seq,50,1069418850,PRJNA579487,SAMN13112354,428785557,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7054862,GSM4139486,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139486,SRP226959,human aortic endothelial cell,donor10,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344758,ChIP-Seq,50,1203225150,PRJNA579487,SAMN13112352,476086864,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054863,GSM4139487,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139487,SRP226959,human aortic endothelial cell,donor11,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344759,ChIP-Seq,50,792824700,PRJNA579487,SAMN13112351,292052161,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7054864,GSM4139488,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139488,SRP226959,human aortic endothelial cell,donor13,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344760,ChIP-Seq,50,1495628600,PRJNA579487,SAMN13112350,602338011,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7054913,GSM4139489,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139489,SRP226959,human aortic endothelial cell,donor14,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344761,ChIP-Seq,50,924411550,PRJNA579487,SAMN13112349,374089249,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX7054914,GSM4139490,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139490,SRP226959,human aortic endothelial cell,donor16,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344762,ChIP-Seq,50,688186650,PRJNA579487,SAMN13112348,290981878,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7054915,GSM4139491,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139491,SRP226959,human aortic endothelial cell,donor17,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344763,ChIP-Seq,50,1083570700,PRJNA579487,SAMN13112347,392100568,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7054916,GSM4139492,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139492,SRP226959,human aortic endothelial cell,donor18,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344764,ChIP-Seq,50,531387150,PRJNA579487,SAMN13112386,208941211,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7054917,GSM4139493,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139493,SRP226959,human aortic endothelial cell,donor19,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344765,ChIP-Seq,50,1310620150,PRJNA579487,SAMN13112353,480768217,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7054918,GSM4139494,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139494,SRP226959,human aortic endothelial cell,donor21,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344766,ChIP-Seq,50,813811100,PRJNA579487,SAMN13112385,303450746,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054919,GSM4139495,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139495,SRP226959,human aortic endothelial cell,donor22,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344767,ChIP-Seq,50,1290943550,PRJNA579487,SAMN13112384,496873005,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054920,GSM4139496,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139496,SRP226959,human aortic endothelial cell,donor22,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344768,ChIP-Seq,50,987760850,PRJNA579487,SAMN13112383,393083136,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7054921,GSM4139497,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139497,SRP226959,human aortic endothelial cell,donor23,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344769,ChIP-Seq,50,1026934050,PRJNA579487,SAMN13112382,398504770,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7054922,GSM4139498,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139498,SRP226959,human aortic endothelial cell,donor24,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344770,ChIP-Seq,50,652141600,PRJNA579487,SAMN13112381,244689279,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7054923,GSM4139499,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139499,SRP226959,human aortic endothelial cell,donor24,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344771,ChIP-Seq,50,569011800,PRJNA579487,SAMN13112380,209340815,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7054924,GSM4139500,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139500,SRP226959,human aortic endothelial cell,donor25,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
